[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       TDU_17       TDU_18       TDU_19       TDU_20       TDU_21       TDU_22       TDU_23       TDU_24       
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     1.47E-02     1.91E-02     2.43E-02     3.04E-02     3.73E-02     4.51E-02     5.37E-02     6.27E-02     7.15E-02     7.86E-02     8.30E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.62E-02     2.24E-02     3.05E-02     4.08E-02     5.35E-02     6.87E-02     8.66E-02     1.07E-01     1.30E-01     1.54E-01     1.80E-01     2.07E-01     2.32E-01     2.51E-01     2.63E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.49E-02     2.12E-02     2.96E-02     4.09E-02     5.51E-02     7.24E-02     9.31E-02     1.17E-01     1.44E-01     1.73E-01     2.03E-01     2.35E-01     2.64E-01     2.87E-01     3.01E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.52E-02     2.20E-02     3.13E-02     4.33E-02     5.82E-02     7.64E-02     9.77E-02     1.22E-01     1.49E-01     1.77E-01     2.06E-01     2.34E-01     2.56E-01     2.69E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.50E-02     2.07E-02     2.89E-02     4.04E-02     5.57E-02     7.51E-02     9.93E-02     1.28E-01     1.61E-01     1.98E-01     2.37E-01     2.76E-01     3.13E-01     3.42E-01     3.58E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.62E-02     2.36E-02     3.34E-02     4.60E-02     6.16E-02     8.01E-02     1.01E-01     1.25E-01     1.49E-01     1.73E-01     1.91E-01     2.03E-01     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.33E-02     1.61E-02     1.93E-02     2.35E-02     2.94E-02     3.76E-02     4.98E-02     6.67E-02     8.90E-02     1.18E-01     1.54E-01     1.97E-01     2.46E-01     2.99E-01     3.51E-01     4.01E-01     4.38E-01     4.59E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.51E-02     2.12E-02     2.77E-02     3.50E-02     4.35E-02     5.43E-02     6.88E-02     8.85E-02     1.17E-01     1.56E-01     2.05E-01     2.64E-01     3.35E-01     4.13E-01     4.96E-01     5.80E-01     6.60E-01     7.30E-01     7.82E-01     8.12E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.82E-02     2.55E-02     3.20E-02     3.82E-02     4.42E-02     5.00E-02     5.63E-02     6.28E-02     7.05E-02     8.18E-02     9.68E-02     1.17E-01     1.44E-01     1.78E-01     2.19E-01     2.68E-01     3.22E-01     3.77E-01     4.28E-01     4.67E-01     4.90E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     2.00E-02     2.95E-02     3.78E-02     4.63E-02     5.43E-02     6.19E-02     7.00E-02     7.76E-02     8.57E-02     9.76E-02     1.13E-01     1.33E-01     1.60E-01     1.96E-01     2.39E-01     2.90E-01     3.47E-01     4.05E-01     4.60E-01     5.02E-01     5.27E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.96E-02     2.89E-02     3.72E-02     4.57E-02     5.35E-02     6.08E-02     6.84E-02     7.54E-02     8.21E-02     9.16E-02     1.03E-01     1.19E-01     1.41E-01     1.69E-01     2.05E-01     2.49E-01     3.00E-01     3.54E-01     4.06E-01     4.45E-01     4.69E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     1.81E-02     2.32E-02     2.84E-02     3.33E-02     3.81E-02     4.32E-02     4.81E-02     5.27E-02     5.91E-02     6.69E-02     7.76E-02     9.21E-02     1.11E-01     1.36E-01     1.68E-01     2.07E-01     2.50E-01     2.92E-01     3.25E-01     3.45E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.58E-02     1.92E-02     2.25E-02     2.57E-02     2.94E-02     3.30E-02     3.64E-02     4.14E-02     4.75E-02     5.60E-02     6.78E-02     8.34E-02     1.04E-01     1.31E-01     1.64E-01     2.01E-01     2.38E-01     2.68E-01     2.85E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     1.22E-02     1.45E-02     1.73E-02     2.13E-02     2.69E-02     3.46E-02     4.48E-02     5.87E-02     7.66E-02     9.77E-02     1.19E-01     1.37E-01     1.49E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.43E-02     1.98E-02     2.45E-02     2.91E-02     3.32E-02     3.71E-02     4.13E-02     4.56E-02     4.97E-02     5.56E-02     6.29E-02     7.33E-02     8.78E-02     1.07E-01     1.32E-01     1.64E-01     2.04E-01     2.48E-01     2.92E-01     3.25E-01     3.45E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     1.38E-02     1.71E-02     2.18E-02     2.81E-02     3.67E-02     4.84E-02     6.38E-02     8.19E-02     1.01E-01     1.16E-01     1.25E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.86E-02     2.62E-02     3.27E-02     3.89E-02     4.43E-02     4.93E-02     5.44E-02     5.93E-02     6.39E-02     7.03E-02     7.85E-02     9.02E-02     1.07E-01     1.29E-01     1.58E-01     1.96E-01     2.42E-01     2.93E-01     3.43E-01     3.81E-01     4.02E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     1.77E-02     2.16E-02     2.50E-02     2.81E-02     3.12E-02     3.42E-02     3.70E-02     4.08E-02     4.57E-02     5.29E-02     6.36E-02     7.78E-02     9.68E-02     1.23E-01     1.56E-01     1.94E-01     2.31E-01     2.61E-01     2.80E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     2.06E-02     3.04E-02     3.90E-02     4.69E-02     5.36E-02     5.97E-02     6.60E-02     7.18E-02     7.72E-02     8.38E-02     9.18E-02     1.03E-01     1.18E-01     1.39E-01     1.66E-01     2.03E-01     2.51E-01     3.04E-01     3.56E-01     3.95E-01     4.16E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.47E-02     1.88E-02     2.23E-02     2.56E-02     2.90E-02     3.23E-02     3.52E-02     3.89E-02     4.31E-02     4.87E-02     5.67E-02     6.73E-02     8.16E-02     1.02E-01     1.30E-01     1.63E-01     1.98E-01     2.25E-01     2.42E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.37E-02     1.56E-02     1.74E-02     1.93E-02     2.10E-02     2.26E-02     2.46E-02     2.69E-02     2.99E-02     3.42E-02     3.98E-02     4.74E-02     5.84E-02     7.37E-02     9.24E-02     1.12E-01     1.28E-01     1.37E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     1.71E-02     2.37E-02     3.10E-02     3.70E-02     4.10E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     1.42E-02     1.69E-02     1.92E-02     2.13E-02     2.35E-02     2.56E-02     2.76E-02     3.02E-02     3.31E-02     3.71E-02     4.27E-02     5.00E-02     5.99E-02     7.39E-02     9.39E-02     1.18E-01     1.44E-01     1.64E-01     1.76E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     1.91E-02     2.38E-02     2.77E-02     3.12E-02     3.48E-02     3.81E-02     4.11E-02     4.50E-02     4.94E-02     5.52E-02     6.32E-02     7.34E-02     8.67E-02     1.05E-01     1.31E-01     1.61E-01     1.93E-01     2.19E-01     2.35E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.88E-02     5.18E-02     7.64E-02     9.81E-02     1.16E-01     1.30E-01     1.42E-01     1.53E-01     1.63E-01     1.72E-01     1.82E-01     1.91E-01     2.02E-01     2.16E-01     2.32E-01     2.53E-01     2.79E-01     3.14E-01     3.51E-01     3.88E-01     4.16E-01     4.33E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.86E-02     5.17E-02     7.69E-02     9.94E-02     1.18E-01     1.33E-01     1.45E-01     1.56E-01     1.66E-01     1.75E-01     1.84E-01     1.92E-01     2.02E-01     2.14E-01     2.27E-01     2.43E-01     2.64E-01     2.90E-01     3.17E-01     3.45E-01     3.66E-01     3.78E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     3.21E-02     5.73E-02     8.44E-02     1.08E-01     1.28E-01     1.44E-01     1.57E-01     1.69E-01     1.79E-01     1.89E-01     1.98E-01     2.07E-01     2.16E-01     2.26E-01     2.37E-01     2.52E-01     2.69E-01     2.90E-01     3.10E-01     3.30E-01     3.46E-01     3.56E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.94E-02     3.72E-02     5.71E-02     7.51E-02     9.00E-02     1.02E-01     1.12E-01     1.21E-01     1.29E-01     1.36E-01     1.43E-01     1.49E-01     1.56E-01     1.64E-01     1.72E-01     1.83E-01     1.97E-01     2.13E-01     2.30E-01     2.47E-01     2.60E-01     2.69E-01     
