[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       TDU_17       TDU_18       TDU_19       TDU_20       TDU_21       TDU_22       TDU_23       TDU_24       
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.15E-02     3.65E-02     5.34E-02     6.95E-02     8.37E-02     9.65E-02     1.08E-01     1.19E-01     1.28E-01     1.38E-01     1.49E-01     1.59E-01     1.70E-01     1.85E-01     2.00E-01     2.23E-01     2.50E-01     2.81E-01     3.10E-01     3.38E-01     3.59E-01     3.71E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     2.37E-02     3.28E-02     4.08E-02     4.81E-02     5.47E-02     6.11E-02     6.68E-02     7.27E-02     7.89E-02     8.49E-02     9.20E-02     1.01E-01     1.11E-01     1.25E-01     1.43E-01     1.64E-01     1.85E-01     2.04E-01     2.20E-01     2.30E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     2.95E-02     5.06E-02     7.36E-02     9.48E-02     1.13E-01     1.29E-01     1.43E-01     1.57E-01     1.69E-01     1.81E-01     1.94E-01     2.07E-01     2.21E-01     2.38E-01     2.57E-01     2.85E-01     3.18E-01     3.56E-01     3.91E-01     4.23E-01     4.48E-01     4.62E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.93E-02     3.78E-02     5.80E-02     7.66E-02     9.26E-02     1.07E-01     1.19E-01     1.31E-01     1.42E-01     1.53E-01     1.65E-01     1.76E-01     1.89E-01     2.05E-01     2.23E-01     2.49E-01     2.81E-01     3.17E-01     3.51E-01     3.83E-01     4.08E-01     4.24E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.07E-02     5.38E-02     7.80E-02     9.96E-02     1.18E-01     1.34E-01     1.48E-01     1.61E-01     1.73E-01     1.85E-01     1.98E-01     2.10E-01     2.24E-01     2.41E-01     2.60E-01     2.87E-01     3.20E-01     3.59E-01     3.94E-01     4.27E-01     4.52E-01     4.66E-01     
Re           75           0.00000E+00  -2.16E-02    -2.16E-02    -1.87E-02    -1.08E-02    0.00000E+00  0.00000E+00  1.79E-02     2.59E-02     3.31E-02     3.94E-02     4.56E-02     5.12E-02     5.72E-02     6.35E-02     6.97E-02     7.67E-02     8.56E-02     9.59E-02     1.11E-01     1.31E-01     1.55E-01     1.78E-01     2.00E-01     2.19E-01     2.31E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.72E-02     2.26E-02     2.73E-02     3.16E-02     3.54E-02     3.90E-02     4.25E-02     4.61E-02     5.00E-02     5.38E-02     5.82E-02     6.37E-02     7.02E-02     8.00E-02     9.27E-02     1.08E-01     1.23E-01     1.38E-01     1.49E-01     1.56E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     1.57E-02     1.82E-02     1.97E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.31E-02     1.61E-02     1.89E-02     2.15E-02     2.38E-02     2.61E-02     2.82E-02     3.04E-02     3.29E-02     3.53E-02     3.82E-02     4.17E-02     4.59E-02     5.24E-02     6.09E-02     7.13E-02     8.16E-02     9.18E-02     9.98E-02     1.04E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.32E-02     1.53E-02     1.72E-02     1.91E-02     2.10E-02     2.32E-02     2.53E-02     2.77E-02     3.08E-02     3.45E-02     4.00E-02     4.75E-02     5.66E-02     6.56E-02     7.46E-02     8.16E-02     8.56E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  1.36E-02     3.46E-02     5.83E-02     8.35E-02     1.05E-01     1.23E-01     1.39E-01     1.52E-01     1.65E-01     1.76E-01     1.88E-01     2.00E-01     2.12E-01     2.26E-01     2.42E-01     2.60E-01     2.87E-01     3.21E-01     3.60E-01     3.95E-01     4.28E-01     4.53E-01     4.66E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     3.33E-02     5.69E-02     8.20E-02     1.04E-01     1.21E-01     1.36E-01     1.49E-01     1.60E-01     1.70E-01     1.80E-01     1.90E-01     1.99E-01     2.10E-01     2.23E-01     2.39E-01     2.62E-01     2.91E-01     3.25E-01     3.58E-01     3.89E-01     4.14E-01     4.27E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  1.05E-01     2.73E-01     4.20E-01     5.34E-01     6.17E-01     6.79E-01     7.29E-01     7.70E-01     8.05E-01     8.35E-01     8.61E-01     8.88E-01     9.13E-01     9.38E-01     9.65E-01     9.96E-01     1.03E+00     1.07E+00     1.11E+00     1.15E+00     1.19E+00     1.21E+00     1.23E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  2.23E-02     7.65E-02     1.50E-01     2.28E-01     2.97E-01     3.55E-01     4.06E-01     4.51E-01     4.91E-01     5.27E-01     5.61E-01     5.95E-01     6.28E-01     6.62E-01     6.98E-01     7.40E-01     7.87E-01     8.39E-01     8.95E-01     9.49E-01     9.95E-01     1.02E+00     1.04E+00     
