[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.14E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.37E-02     1.42E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     1.37E-02     1.63E-02     1.80E-02     1.83E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.33E-02     1.66E-02     1.97E-02     2.18E-02     2.22E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.47E-02     1.75E-02     1.94E-02     1.97E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.33E-02     1.75E-02     2.18E-02     2.58E-02     2.84E-02     2.89E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.25E-02     1.38E-02     1.41E-02     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.88E-02     2.68E-02     3.49E-02     4.30E-02     5.03E-02     5.49E-02     5.58E-02     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     2.41E-02     3.74E-02     5.27E-02     6.96E-02     8.61E-02     9.68E-02     9.88E-02     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.43E-02     4.91E-02     7.73E-02     1.05E-01     1.31E-01     1.55E-01     1.75E-01     1.87E-01     1.89E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.42E-02     5.00E-02     8.10E-02     1.13E-01     1.44E-01     1.73E-01     1.98E-01     2.13E-01     2.15E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.55E-02     5.20E-02     8.31E-02     1.15E-01     1.46E-01     1.75E-01     1.99E-01     2.14E-01     2.17E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.62E-02     3.37E-02     5.45E-02     7.56E-02     9.60E-02     1.15E-01     1.32E-01     1.42E-01     1.44E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     2.63E-02     4.27E-02     5.95E-02     7.56E-02     9.04E-02     1.03E-01     1.11E-01     1.12E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     1.98E-02     2.79E-02     3.57E-02     4.31E-02     4.93E-02     5.32E-02     5.40E-02     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.80E-02     3.71E-02     5.96E-02     8.23E-02     1.04E-01     1.24E-01     1.41E-01     1.51E-01     1.53E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.89E-02     2.66E-02     3.41E-02     4.11E-02     4.71E-02     5.08E-02     5.15E-02     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.21E-02     4.61E-02     7.50E-02     1.04E-01     1.33E-01     1.58E-01     1.80E-01     1.93E-01     1.95E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.41E-02     2.98E-02     4.92E-02     6.94E-02     8.90E-02     1.07E-01     1.22E-01     1.32E-01     1.33E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.55E-02     5.33E-02     8.66E-02     1.21E-01     1.54E-01     1.84E-01     2.10E-01     2.25E-01     2.28E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.01E-02     3.45E-02     5.07E-02     6.77E-02     8.47E-02     1.00E-01     1.10E-01     1.12E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.75E-02     2.86E-02     4.02E-02     5.16E-02     6.25E-02     7.19E-02     7.76E-02     7.85E-02     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.61E-02     1.96E-02     2.26E-02     2.45E-02     2.49E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.84E-02     3.09E-02     4.42E-02     5.75E-02     7.03E-02     8.13E-02     8.81E-02     8.94E-02     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.11E-02     3.89E-02     5.97E-02     8.16E-02     1.03E-01     1.22E-01     1.35E-01     1.37E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     4.86E-02     1.07E-01     1.74E-01     2.40E-01     3.00E-01     3.52E-01     3.94E-01     4.18E-01     4.23E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.36E-02     9.89E-02     1.65E-01     2.30E-01     2.90E-01     3.43E-01     3.86E-01     4.10E-01     4.14E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.05E-02     9.60E-02     1.64E-01     2.31E-01     2.93E-01     3.47E-01     3.91E-01     4.17E-01     4.21E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.23E-02     5.75E-02     1.05E-01     1.58E-01     2.10E-01     2.57E-01     2.97E-01     3.21E-01     3.25E-01     
