[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  2.23E-02     7.83E-02     1.66E-01     2.65E-01     3.59E-01     4.42E-01     5.12E-01     5.71E-01     
Mo           42           0.00000E+00  0.00000E+00  1.33E-02     1.67E-01     3.99E-01     5.95E-01     7.40E-01     8.42E-01     9.15E-01     9.69E-01     1.00E+00     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  1.21E-01     3.17E-01     4.96E-01     6.34E-01     7.33E-01     8.04E-01     8.58E-01     8.90E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  6.03E-02     1.75E-01     2.97E-01     3.99E-01     4.77E-01     5.34E-01     5.78E-01     6.04E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  1.68E-01     4.15E-01     6.22E-01     7.73E-01     8.78E-01     9.52E-01     1.01E+00     1.04E+00     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  5.20E-02     1.56E-01     2.69E-01     3.66E-01     4.40E-01     4.96E-01     5.39E-01     5.65E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  1.98E-01     4.68E-01     6.85E-01     8.42E-01     9.50E-01     1.03E+00     1.08E+00     1.11E+00     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  1.33E-01     3.44E-01     5.31E-01     6.73E-01     7.73E-01     8.44E-01     8.97E-01     9.28E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  2.00E-01     4.78E-01     7.00E-01     8.59E-01     9.68E-01     1.04E+00     1.10E+00     1.13E+00     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  9.23E-02     2.41E-01     3.88E-01     5.07E-01     5.94E-01     6.58E-01     7.06E-01     7.34E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  6.36E-02     2.00E-01     3.43E-01     4.61E-01     5.46E-01     6.07E-01     6.53E-01     6.78E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  1.91E-02     6.64E-02     1.27E-01     1.86E-01     2.34E-01     2.71E-01     3.00E-01     3.17E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  6.28E-02     1.98E-01     3.41E-01     4.59E-01     5.44E-01     6.05E-01     6.51E-01     6.77E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  1.18E-01     2.52E-01     3.83E-01     4.94E-01     5.80E-01     6.44E-01     6.94E-01     7.22E-01     
