[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.83E-02     2.57E-02     3.23E-02     3.79E-02     4.27E-02     4.70E-02     5.08E-02     5.45E-02     5.86E-02     6.27E-02     6.55E-02     6.62E-02     
Ga           31           0.00000E+00  0.00000E+00  1.19E-02     3.68E-02     6.65E-02     9.50E-02     1.22E-01     1.46E-01     1.67E-01     1.85E-01     2.01E-01     2.16E-01     2.32E-01     2.47E-01     2.57E-01     2.60E-01     
Ge           32           0.00000E+00  0.00000E+00  1.14E-02     3.51E-02     6.51E-02     9.56E-02     1.25E-01     1.52E-01     1.77E-01     1.98E-01     2.17E-01     2.35E-01     2.54E-01     2.72E-01     2.85E-01     2.87E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  2.90E-02     5.51E-02     8.26E-02     1.10E-01     1.36E-01     1.59E-01     1.80E-01     1.98E-01     2.16E-01     2.34E-01     2.52E-01     2.64E-01     2.67E-01     
Se           34           0.00000E+00  0.00000E+00  1.39E-02     4.41E-02     8.23E-02     1.21E-01     1.59E-01     1.94E-01     2.25E-01     2.52E-01     2.76E-01     2.99E-01     3.22E-01     3.44E-01     3.59E-01     3.62E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  2.84E-02     5.76E-02     8.92E-02     1.21E-01     1.51E-01     1.79E-01     2.05E-01     2.28E-01     2.49E-01     2.70E-01     2.90E-01     3.05E-01     3.12E-01     
Kr           36           0.00000E+00  0.00000E+00  1.93E-02     5.95E-02     1.10E-01     1.59E-01     2.05E-01     2.47E-01     2.84E-01     3.17E-01     3.46E-01     3.73E-01     3.99E-01     4.25E-01     4.43E-01     4.47E-01     
Rb           37           0.00000E+00  0.00000E+00  5.31E-02     1.23E-01     1.83E-01     2.31E-01     2.70E-01     3.04E-01     3.35E-01     3.64E-01     3.92E-01     4.20E-01     4.49E-01     4.79E-01     5.01E-01     5.05E-01     
Sr           38           0.00000E+00  0.00000E+00  8.52E-02     3.00E-01     5.22E-01     6.95E-01     8.26E-01     9.29E-01     1.01E+00     1.08E+00     1.13E+00     1.18E+00     1.22E+00     1.26E+00     1.28E+00     1.29E+00     
Y            39           0.00000E+00  0.00000E+00  1.17E-01     3.44E-01     5.55E-01     7.15E-01     8.37E-01     9.34E-01     1.01E+00     1.08E+00     1.13E+00     1.18E+00     1.22E+00     1.26E+00     1.29E+00     1.30E+00     
