[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
C            6            -1.82E-01    3.58E-01     1.23E+00     1.62E+00     1.84E+00     2.00E+00     2.11E+00     2.20E+00     2.27E+00     2.31E+00     
N            7            3.54E-01     4.50E-01     4.53E-01     4.60E-01     4.72E-01     4.89E-01     5.10E-01     5.36E-01     5.66E-01     6.07E-01     
O            8            4.99E-01     4.95E-01     5.21E-01     5.65E-01     6.07E-01     6.45E-01     6.77E-01     7.04E-01     7.25E-01     7.37E-01     
F            9            0.00000E+00  4.88E-01     1.48E+00     1.80E+00     1.96E+00     2.07E+00     2.15E+00     2.21E+00     2.26E+00     2.30E+00     
Ne           10           4.77E-01     4.91E-01     6.50E-01     8.42E-01     1.00E+00     1.13E+00     1.23E+00     1.32E+00     1.40E+00     1.45E+00     
Na           11           8.34E-02     1.23E-01     2.20E-01     3.78E-01     5.34E-01     6.47E-01     7.26E-01     7.92E-01     8.54E-01     8.98E-01     
Mg           12           4.33E-01     4.33E-01     4.37E-01     4.48E-01     4.65E-01     4.87E-01     5.13E-01     5.43E-01     5.74E-01     5.96E-01     
Al           13           0.00000E+00  1.47E-02     5.56E-02     9.80E-02     1.28E-01     1.48E-01     1.61E-01     1.71E-01     1.79E-01     1.84E-01     
Si           14           4.76E-01     4.76E-01     4.77E-01     4.78E-01     4.79E-01     4.79E-01     4.80E-01     4.81E-01     4.81E-01     4.82E-01     
P            15           0.00000E+00  0.00000E+00  3.02E-02     7.10E-02     1.05E-01     1.32E-01     1.55E-01     1.75E-01     1.93E-01     2.03E-01     
S            16           4.85E-01     4.85E-01     4.85E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     
Cl           17           0.00000E+00  0.00000E+00  1.44E-02     3.30E-02     5.09E-02     6.69E-02     7.94E-02     8.88E-02     9.60E-02     1.00E-01     
Ar           18           4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     4.50E-01     4.50E-01     
K            19           0.00000E+00  0.00000E+00  0.00000E+00  1.77E-02     2.73E-02     3.64E-02     4.42E-02     5.10E-02     5.71E-02     6.13E-02     
Ca           20           4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.90E-01     4.90E-01     4.90E-01     4.89E-01     4.89E-01     4.89E-01     
Sc           21           0.00000E+00  0.00000E+00  3.67E-02     8.14E-02     1.23E-01     1.62E-01     1.93E-01     2.17E-01     2.36E-01     2.48E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  1.78E-02     2.82E-02     3.77E-02     4.60E-02     5.24E-02     5.71E-02     6.00E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.13E-02     1.19E-02     
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  2.22E-02     4.35E-02     6.30E-02     8.29E-02     1.04E-01     1.27E-01     1.51E-01     1.68E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.32E-02     1.43E-02     1.53E-02     1.60E-02     
Cu           29           0.00000E+00  1.35E-02     9.16E-02     1.65E-01     2.17E-01     2.55E-01     2.82E-01     3.03E-01     3.21E-01     3.32E-01     
Zn           30           0.00000E+00  0.00000E+00  2.86E-02     6.68E-02     9.95E-02     1.26E-01     1.43E-01     1.55E-01     1.62E-01     1.66E-01     
Ga           31           0.00000E+00  0.00000E+00  1.00E-01     2.16E-01     3.01E-01     3.62E-01     4.02E-01     4.28E-01     4.45E-01     4.53E-01     
Ge           32           0.00000E+00  0.00000E+00  1.03E-01     2.27E-01     3.21E-01     3.89E-01     4.33E-01     4.61E-01     4.78E-01     4.87E-01     
As           33           0.00000E+00  0.00000E+00  8.99E-02     2.04E-01     2.92E-01     3.59E-01     4.03E-01     4.30E-01     4.47E-01     4.55E-01     
Se           34           0.00000E+00  1.02E-02     1.28E-01     2.72E-01     3.74E-01     4.50E-01     4.99E-01     5.29E-01     5.47E-01     5.55E-01     
Br           35           0.00000E+00  0.00000E+00  7.22E-02     1.72E-01     2.55E-01     3.25E-01     3.77E-01     4.14E-01     4.40E-01     4.58E-01     
Kr           36           0.00000E+00  1.26E-02     1.44E-01     3.06E-01     4.20E-01     5.03E-01     5.56E-01     5.91E-01     6.13E-01     6.25E-01     
Rb           37           0.00000E+00  2.24E-02     2.02E-01     3.70E-01     5.03E-01     6.15E-01     6.97E-01     7.55E-01     7.95E-01     8.15E-01     
Sr           38           0.00000E+00  1.46E-02     4.43E-01     8.19E-01     1.02E+00     1.15E+00     1.22E+00     1.26E+00     1.29E+00     1.30E+00     
Y            39           0.00000E+00  1.17E-02     4.35E-01     8.03E-01     1.01E+00     1.15E+00     1.23E+00     1.28E+00     1.31E+00     1.33E+00     
Zr           40           0.00000E+00  0.00000E+00  4.06E-01     7.74E-01     9.79E-01     1.12E+00     1.20E+00     1.25E+00     1.28E+00     1.30E+00     
Nb           41           0.00000E+00  0.00000E+00  2.22E-02     1.01E-01     2.05E-01     3.16E-01     4.19E-01     5.06E-01     5.78E-01     6.36E-01     
Mo           42           0.00000E+00  0.00000E+00  2.87E-01     6.07E-01     7.97E-01     9.27E-01     1.00E+00     1.05E+00     1.08E+00     1.09E+00     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  2.35E-01     5.26E-01     7.08E-01     8.35E-01     9.10E-01     9.57E-01     9.85E-01     1.00E+00     
Rh           45           0.00000E+00  0.00000E+00  1.21E-01     3.12E-01     4.49E-01     5.52E-01     6.13E-01     6.51E-01     6.74E-01     6.88E-01     
Pd           46           0.00000E+00  0.00000E+00  3.01E-01     6.29E-01     8.21E-01     9.52E-01     1.03E+00     1.07E+00     1.10E+00     1.11E+00     
Ag           47           0.00000E+00  0.00000E+00  1.15E-01     3.00E-01     4.34E-01     5.35E-01     5.96E-01     6.33E-01     6.56E-01     6.71E-01     
Cd           48           0.00000E+00  0.00000E+00  3.61E-01     7.16E-01     9.19E-01     1.06E+00     1.14E+00     1.19E+00     1.21E+00     1.23E+00     
