[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
In           49           0.00000E+00  0.00000E+00  2.63E-01     5.67E-01     7.54E-01     8.85E-01     9.61E-01     1.01E+00     1.03E+00     1.05E+00     
Sn           50           0.00000E+00  0.00000E+00  4.00E-01     7.68E-01     9.74E-01     1.12E+00     1.20E+00     1.25E+00     1.28E+00     1.30E+00     
Sb           51           0.00000E+00  0.00000E+00  1.93E-01     4.53E-01     6.28E-01     7.59E-01     8.40E-01     8.93E-01     9.26E-01     9.46E-01     
Te           52           0.00000E+00  0.00000E+00  1.67E-01     3.99E-01     5.52E-01     6.64E-01     7.31E-01     7.74E-01     8.01E-01     8.16E-01     
I            53           0.00000E+00  0.00000E+00  5.73E-02     1.64E-01     2.52E-01     3.25E-01     3.70E-01     4.00E-01     4.19E-01     4.31E-01     
Xe           54           0.00000E+00  0.00000E+00  1.81E-01     4.27E-01     5.88E-01     7.06E-01     7.76E-01     8.21E-01     8.50E-01     8.67E-01     
Cs           55           0.00000E+00  0.00000E+00  2.51E-01     5.38E-01     7.30E-01     8.73E-01     9.58E-01     1.01E+00     1.04E+00     1.06E+00     
Ba           56           0.00000E+00  0.00000E+00  7.69E-01     1.20E+00     1.40E+00     1.54E+00     1.62E+00     1.68E+00     1.71E+00     1.73E+00     
La           57           0.00000E+00  0.00000E+00  7.84E-01     1.21E+00     1.41E+00     1.54E+00     1.63E+00     1.68E+00     1.72E+00     1.74E+00     
Ce           58           0.00000E+00  0.00000E+00  8.75E-01     1.31E+00     1.50E+00     1.63E+00     1.71E+00     1.77E+00     1.80E+00     1.82E+00     
Pr           59           0.00000E+00  0.00000E+00  6.99E-01     1.11E+00     1.30E+00     1.44E+00     1.52E+00     1.58E+00     1.62E+00     1.64E+00     
Nd           60           0.00000E+00  0.00000E+00  7.94E-01     1.21E+00     1.40E+00     1.52E+00     1.60E+00     1.66E+00     1.70E+00     1.72E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  5.98E-01     9.84E-01     1.16E+00     1.27E+00     1.36E+00     1.41E+00     1.45E+00     1.48E+00     
Eu           63           0.00000E+00  0.00000E+00  1.94E-01     4.23E-01     5.52E-01     6.45E-01     7.15E-01     7.65E-01     8.00E-01     8.21E-01     
Gd           64           0.00000E+00  0.00000E+00  3.72E-01     6.96E-01     8.61E-01     9.77E-01     1.06E+00     1.12E+00     1.16E+00     1.19E+00     
Tb           65           0.00000E+00  0.00000E+00  2.51E-01     5.16E-01     6.57E-01     7.57E-01     8.33E-01     8.88E-01     9.26E-01     9.49E-01     
Dy           66           0.00000E+00  0.00000E+00  3.83E-01     7.16E-01     8.70E-01     9.75E-01     1.05E+00     1.11E+00     1.14E+00     1.17E+00     
Ho           67           0.00000E+00  0.00000E+00  2.35E-01     5.00E-01     6.34E-01     7.26E-01     7.95E-01     8.43E-01     8.77E-01     8.98E-01     
Er           68           0.00000E+00  0.00000E+00  4.17E-01     7.68E-01     9.29E-01     1.04E+00     1.12E+00     1.17E+00     1.21E+00     1.23E+00     
Tm           69           0.00000E+00  0.00000E+00  3.02E-01     6.04E-01     7.46E-01     8.42E-01     9.12E-01     9.61E-01     9.95E-01     1.02E+00     
Yb           70           0.00000E+00  0.00000E+00  6.86E-01     1.09E+00     1.27E+00     1.39E+00     1.47E+00     1.53E+00     1.57E+00     1.59E+00     
Lu           71           0.00000E+00  0.00000E+00  5.88E-01     9.71E-01     1.14E+00     1.25E+00     1.33E+00     1.38E+00     1.42E+00     1.44E+00     
Hf           72           0.00000E+00  0.00000E+00  8.01E-01     1.21E+00     1.39E+00     1.51E+00     1.59E+00     1.65E+00     1.69E+00     1.71E+00     
Ta           73           0.00000E+00  0.00000E+00  7.50E-01     1.16E+00     1.33E+00     1.44E+00     1.53E+00     1.58E+00     1.62E+00     1.64E+00     
W            74           0.00000E+00  0.00000E+00  8.43E-01     1.27E+00     1.45E+00     1.56E+00     1.64E+00     1.70E+00     1.74E+00     1.76E+00     
Re           75           -8.74E-02    -9.04E-02    3.82E-01     7.58E-01     9.38E-01     1.06E+00     1.14E+00     1.20E+00     1.24E+00     1.27E+00     
Os           76           0.00000E+00  0.00000E+00  3.54E-01     6.58E-01     8.13E-01     9.18E-01     9.99E-01     1.05E+00     1.09E+00     1.12E+00     
Ir           77           0.00000E+00  0.00000E+00  6.58E-02     1.68E-01     2.39E-01     2.95E-01     3.42E-01     3.78E-01     4.04E-01     4.20E-01     
Pt           78           0.00000E+00  0.00000E+00  2.09E-01     4.52E-01     5.79E-01     6.69E-01     7.40E-01     7.91E-01     8.27E-01     8.49E-01     
Au           79           0.00000E+00  0.00000E+00  1.90E-01     4.24E-01     5.49E-01     6.35E-01     7.02E-01     7.49E-01     7.82E-01     8.02E-01     
Hg           80           0.00000E+00  0.00000E+00  8.33E-01     1.25E+00     1.43E+00     1.54E+00     1.63E+00     1.69E+00     1.73E+00     1.75E+00     
Tl           81           0.00000E+00  0.00000E+00  9.52E-01     1.38E+00     1.55E+00     1.66E+00     1.75E+00     1.81E+00     1.85E+00     1.87E+00     
Pb           82           0.00000E+00  0.00000E+00  8.98E-01     1.33E+00     1.52E+00     1.63E+00     1.83E+00     2.03E+00     2.18E+00     2.26E+00     
Bi           83           0.00000E+00  0.00000E+00  1.40E-01     3.58E-01     5.17E-01     6.37E-01     8.94E-01     1.19E+00     1.42E+00     1.52E+00     
