[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.22E-02     5.86E-02     8.40E-02     1.09E-01     1.35E-01     1.67E-01     2.06E-01     2.54E-01     3.13E-01     3.79E-01     4.31E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.94E-02     5.51E-02     7.98E-02     1.03E-01     1.27E-01     1.55E-01     1.89E-01     2.32E-01     2.86E-01     3.46E-01     3.95E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     4.32E-02     8.03E-02     1.16E-01     1.50E-01     1.83E-01     2.19E-01     2.63E-01     3.17E-01     3.83E-01     4.57E-01     5.14E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.08E-02     4.05E-02     6.13E-02     8.22E-02     1.04E-01     1.28E-01     1.57E-01     1.93E-01     2.38E-01     2.90E-01     3.32E-01     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  1.71E-02     6.07E-02     1.14E-01     1.66E-01     2.16E-01     2.65E-01     3.16E-01     3.71E-01     4.35E-01     5.11E-01     5.93E-01     6.53E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  2.38E-02     9.04E-02     1.90E-01     2.96E-01     3.95E-01     4.87E-01     5.75E-01     6.64E-01     7.60E-01     8.64E-01     9.70E-01     1.05E+00     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  9.02E-02     2.65E-01     4.11E-01     5.13E-01     5.86E-01     6.43E-01     6.92E-01     7.38E-01     7.86E-01     8.39E-01     8.96E-01     9.37E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  9.69E-02     2.92E-01     4.64E-01     5.87E-01     6.76E-01     7.44E-01     8.02E-01     8.55E-01     9.08E-01     9.64E-01     1.02E+00     1.06E+00     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  9.72E-02     2.91E-01     4.63E-01     5.91E-01     6.86E-01     7.59E-01     8.21E-01     8.77E-01     9.33E-01     9.91E-01     1.05E+00     1.09E+00     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.33E-02     2.41E-02     3.84E-02     5.55E-02     7.51E-02     9.68E-02     1.20E-01     1.46E-01     1.73E-01     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  6.26E-02     2.02E-01     3.32E-01     4.38E-01     5.23E-01     5.97E-01     6.61E-01     7.22E-01     7.82E-01     8.45E-01     9.07E-01     9.48E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  4.83E-02     1.60E-01     2.64E-01     3.45E-01     4.15E-01     4.80E-01     5.43E-01     6.06E-01     6.71E-01     7.40E-01     8.09E-01     8.52E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  2.30E-02     8.10E-02     1.41E-01     1.90E-01     2.33E-01     2.76E-01     3.20E-01     3.67E-01     4.17E-01     4.72E-01     5.29E-01     5.67E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  6.84E-02     2.14E-01     3.44E-01     4.36E-01     5.06E-01     5.70E-01     6.32E-01     6.96E-01     7.64E-01     8.38E-01     9.11E-01     9.57E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  2.19E-02     7.67E-02     1.35E-01     1.82E-01     2.20E-01     2.55E-01     2.92E-01     3.32E-01     3.78E-01     4.31E-01     4.86E-01     5.21E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  8.71E-02     2.68E-01     4.23E-01     5.32E-01     6.10E-01     6.73E-01     7.31E-01     7.91E-01     8.57E-01     9.31E-01     1.01E+00     1.05E+00     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  5.73E-02     1.89E-01     3.12E-01     4.01E-01     4.65E-01     5.17E-01     5.65E-01     6.15E-01     6.71E-01     7.37E-01     8.06E-01     8.50E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  1.01E-01     3.04E-01     4.81E-01     6.06E-01     6.95E-01     7.66E-01     8.27E-01     8.85E-01     9.44E-01     1.01E+00     1.08E+00     1.12E+00     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  4.04E-02     1.45E-01     2.63E-01     3.65E-01     4.45E-01     5.11E-01     5.69E-01     6.23E-01     6.78E-01     7.36E-01     7.96E-01     8.37E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  3.36E-02     1.14E-01     1.99E-01     2.71E-01     3.29E-01     3.78E-01     4.23E-01     4.65E-01     5.09E-01     5.57E-01     6.06E-01     6.38E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     3.83E-02     7.02E-02     9.97E-02     1.25E-01     1.49E-01     1.71E-01     1.95E-01     2.21E-01     2.50E-01     2.82E-01     3.06E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  3.68E-02     1.27E-01     2.22E-01     3.00E-01     3.63E-01     4.17E-01     4.68E-01     5.20E-01     5.75E-01     6.36E-01     6.99E-01     7.41E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  5.01E-02     1.76E-01     3.10E-01     4.16E-01     4.95E-01     5.60E-01     6.16E-01     6.70E-01     7.27E-01     7.88E-01     8.51E-01     8.94E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  2.35E-01     5.81E-01     8.19E-01     9.71E-01     1.07E+00     1.14E+00     1.20E+00     1.25E+00     1.30E+00     1.35E+00     1.40E+00     1.43E+00     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  2.37E-01     5.86E-01     8.27E-01     9.81E-01     1.08E+00     1.16E+00     1.22E+00     1.27E+00     1.31E+00     1.36E+00     1.40E+00     1.43E+00     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  2.65E-01     6.34E-01     8.80E-01     1.04E+00     1.14E+00     1.21E+00     1.27E+00     1.32E+00     1.36E+00     1.40E+00     1.44E+00     1.46E+00     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  1.81E-01     4.94E-01     7.30E-01     8.83E-01     9.83E-01     1.05E+00     1.11E+00     1.15E+00     1.19E+00     1.23E+00     1.27E+00     1.29E+00     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  2.24E-01     5.65E-01     8.01E-01     9.51E-01     1.05E+00     1.12E+00     1.18E+00     1.23E+00     1.28E+00     1.33E+00     1.38E+00     1.41E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  1.39E-01     3.96E-01     6.08E-01     7.57E-01     8.61E-01     9.42E-01     1.01E+00     1.07E+00     1.13E+00     1.19E+00     1.24E+00     1.28E+00     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  3.04E-02     1.11E-01     2.06E-01     2.89E-01     3.55E-01     4.10E-01     4.58E-01     5.05E-01     5.51E-01     5.99E-01     6.46E-01     6.76E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  7.10E-02     2.40E-01     4.11E-01     5.46E-01     6.45E-01     7.23E-01     7.89E-01     8.50E-01     9.09E-01     9.70E-01     1.03E+00     1.06E+00     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  4.24E-02     1.51E-01     2.74E-01     3.80E-01     4.61E-01     5.26E-01     5.83E-01     6.36E-01     6.89E-01     7.44E-01     7.97E-01     8.31E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  7.00E-02     2.24E-01     3.82E-01     5.11E-01     6.09E-01     6.84E-01     7.48E-01     8.07E-01     8.65E-01     9.25E-01     9.84E-01     1.02E+00     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  4.24E-02     1.45E-01     2.60E-01     3.60E-01     4.37E-01     4.98E-01     5.51E-01     6.01E-01     6.53E-01     7.08E-01     7.58E-01     7.79E-01     
