[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        
C            6            -1.57E-01    0.00000E+00  2.70E-01     4.82E-01     6.34E-01     7.38E-01     7.45E-01     
N            7            3.24E-01     3.41E-01     3.41E-01     3.41E-01     3.41E-01     3.41E-01     3.42E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     1.83E-02     1.85E-02     
F            9            0.00000E+00  3.67E-02     1.86E-01     3.46E-01     4.76E-01     5.72E-01     5.79E-01     
Ne           10           0.00000E+00  0.00000E+00  3.46E-02     7.78E-02     1.28E-01     1.74E-01     1.78E-01     
Na           11           4.16E-02     5.55E-02     6.39E-02     7.55E-02     8.97E-02     1.03E-01     1.05E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.05E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.44E-02     1.76E-02     1.78E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.46E-02     1.84E-02     1.86E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.10E-02     1.96E-02     2.79E-02     3.49E-02     3.54E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.93E-02     3.34E-02     4.57E-02     5.55E-02     5.75E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  3.27E-02     5.98E-02     8.36E-02     1.02E-01     1.03E-01     
Zn           30           0.00000E+00  0.00000E+00  1.26E-02     2.89E-02     4.46E-02     5.70E-02     5.78E-02     
Ga           31           0.00000E+00  0.00000E+00  6.04E-02     1.28E-01     1.84E-01     2.24E-01     2.26E-01     
Ge           32           0.00000E+00  0.00000E+00  5.73E-02     1.20E-01     1.72E-01     2.10E-01     2.12E-01     
As           33           0.00000E+00  0.00000E+00  3.87E-02     8.15E-02     1.18E-01     1.45E-01     1.47E-01     
Se           34           0.00000E+00  1.51E-02     8.17E-02     1.55E-01     2.11E-01     2.49E-01     2.50E-01     
Br           35           0.00000E+00  0.00000E+00  4.55E-02     9.72E-02     1.41E-01     1.74E-01     1.87E-01     
Kr           36           0.00000E+00  1.97E-02     9.79E-02     1.84E-01     2.49E-01     2.93E-01     2.95E-01     
Rb           37           0.00000E+00  3.98E-02     1.32E-01     2.09E-01     2.62E-01     2.98E-01     3.00E-01     
Sr           38           0.00000E+00  1.27E-01     4.46E-01     6.47E-01     7.61E-01     8.25E-01     8.29E-01     
Y            39           0.00000E+00  1.35E-01     4.32E-01     6.12E-01     7.15E-01     7.72E-01     7.76E-01     
Zr           40           0.00000E+00  1.22E-01     3.83E-01     5.46E-01     6.38E-01     6.88E-01     6.90E-01     
Nb           41           0.00000E+00  0.00000E+00  3.49E-02     8.64E-02     1.40E-01     1.86E-01     2.25E-01     
Mo           42           0.00000E+00  5.85E-02     2.29E-01     3.54E-01     4.30E-01     4.73E-01     4.75E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  4.02E-02     1.59E-01     2.57E-01     3.22E-01     3.60E-01     3.65E-01     
Rh           45           0.00000E+00  1.92E-02     7.97E-02     1.34E-01     1.71E-01     1.94E-01     1.95E-01     
Pd           46           0.00000E+00  6.42E-02     2.24E-01     3.42E-01     4.15E-01     4.56E-01     4.57E-01     
Ag           47           0.00000E+00  1.81E-02     7.24E-02     1.21E-01     1.54E-01     1.74E-01     1.76E-01     
Cd           48           0.00000E+00  8.32E-02     2.69E-01     4.00E-01     4.78E-01     5.21E-01     5.24E-01     
In           49           0.00000E+00  5.27E-02     1.83E-01     2.83E-01     3.47E-01     3.83E-01     3.85E-01     
Sn           50           0.00000E+00  8.21E-02     2.67E-01     3.98E-01     4.76E-01     5.20E-01     5.22E-01     
Sb           51           0.00000E+00  3.47E-02     1.12E-01     1.78E-01     2.23E-01     2.49E-01     2.50E-01     
Te           52           0.00000E+00  2.11E-02     8.33E-02     1.40E-01     1.80E-01     2.02E-01     2.04E-01     
I            53           0.00000E+00  0.00000E+00  2.33E-02     4.12E-02     5.42E-02     6.18E-02     6.22E-02     
Xe           54           0.00000E+00  2.06E-02     7.69E-02     1.30E-01     1.68E-01     1.91E-01     1.92E-01     
Cs           55           0.00000E+00  3.89E-02     1.08E-01     1.64E-01     2.03E-01     2.27E-01     2.27E-01     
Ba           56           0.00000E+00  5.56E-02     2.14E-01     3.48E-01     4.34E-01     4.82E-01     4.84E-01     
La           57           0.00000E+00  3.57E-02     1.60E-01     2.79E-01     3.57E-01     4.02E-01     4.05E-01     
Ce           58           0.00000E+00  2.06E-02     1.20E-01     2.24E-01     2.96E-01     3.38E-01     3.40E-01     
Pr           59           0.00000E+00  1.33E-02     7.11E-02     1.35E-01     1.84E-01     2.15E-01     2.17E-01     
Nd           60           0.00000E+00  0.00000E+00  7.40E-02     1.46E-01     2.00E-01     2.32E-01     2.34E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  3.68E-02     7.63E-02     1.08E-01     1.27E-01     1.28E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.64E-02     1.93E-02     1.94E-02     
Gd           64           0.00000E+00  0.00000E+00  1.62E-02     3.58E-02     5.14E-02     6.14E-02     6.19E-02     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  1.92E-02     2.80E-02     3.35E-02     3.37E-02     
Dy           66           0.00000E+00  0.00000E+00  1.77E-02     3.81E-02     5.43E-02     6.49E-02     6.55E-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  1.63E-02     2.34E-02     2.78E-02     2.80E-02     
Er           68           0.00000E+00  0.00000E+00  1.75E-02     3.96E-02     5.79E-02     6.97E-02     7.03E-02     
Tm           69           0.00000E+00  0.00000E+00  1.38E-02     3.24E-02     4.88E-02     5.96E-02     6.02E-02     
Yb           70           0.00000E+00  0.00000E+00  3.87E-02     8.25E-02     1.17E-01     1.40E-01     1.42E-01     
Lu           71           0.00000E+00  0.00000E+00  1.84E-02     4.33E-02     6.38E-02     7.74E-02     7.82E-02     
Hf           72           0.00000E+00  0.00000E+00  5.17E-02     1.07E-01     1.50E-01     1.77E-01     1.79E-01     
Ta           73           0.00000E+00  0.00000E+00  3.91E-02     8.39E-02     1.20E-01     1.43E-01     1.45E-01     
W            74           0.00000E+00  0.00000E+00  5.11E-02     1.07E-01     1.50E-01     1.77E-01     1.79E-01     
