[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        
Nd           60           0.00000E+00  0.00000E+00  2.55E-02     8.81E-02     1.66E-01     2.30E-01     2.35E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  1.17E-02     4.27E-02     8.44E-02     1.22E-01     1.25E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.88E-02     1.93E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  2.01E-02     4.20E-02     6.22E-02     6.37E-02     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     2.29E-02     3.49E-02     3.58E-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  2.13E-02     4.45E-02     6.63E-02     6.80E-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.84E-02     2.84E-02     2.91E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  2.11E-02     4.52E-02     6.82E-02     7.00E-02     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  1.67E-02     3.72E-02     5.75E-02     5.91E-02     
Yb           70           0.00000E+00  0.00000E+00  1.26E-02     4.63E-02     9.32E-02     1.36E-01     1.39E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  2.22E-02     4.90E-02     7.47E-02     7.67E-02     
Hf           72           0.00000E+00  0.00000E+00  1.80E-02     6.14E-02     1.20E-01     1.71E-01     1.75E-01     
Ta           73           0.00000E+00  0.00000E+00  1.27E-02     4.60E-02     9.27E-02     1.36E-01     1.39E-01     
W            74           0.00000E+00  0.00000E+00  1.69E-02     5.99E-02     1.18E-01     1.71E-01     1.75E-01     
Re           75           -1.07E-01    -1.04E-01    -9.95E-02    -8.78E-02    -6.90E-02    -4.99E-02    -4.83E-02    
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.53E-02     2.50E-02     3.46E-02     3.53E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     2.00E-02     2.06E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     1.50E-02     
Hg           80           0.00000E+00  0.00000E+00  1.24E-02     4.37E-02     8.80E-02     1.30E-01     1.33E-01     
Tl           81           0.00000E+00  0.00000E+00  1.39E-02     5.07E-02     1.05E-01     1.55E-01     1.58E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  1.48E-02     3.28E-02     5.21E-02     5.37E-02     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
