[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.51E-02     1.97E-02     2.09E-02     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.60E-02     3.55E-02     5.83E-02     7.59E-02     8.05E-02     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.22E-02     3.71E-02     4.88E-02     5.21E-02     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.55E-02     3.53E-02     5.87E-02     7.70E-02     8.18E-02     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     2.11E-02     2.89E-02     3.13E-02     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.65E-02     2.18E-02     2.32E-02     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.59E-02     2.14E-02     2.29E-02     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.93E-02     2.78E-02     3.05E-02     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     3.18E-02     5.68E-02     7.67E-02     8.20E-02     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.26E-02     4.19E-02     5.75E-02     6.17E-02     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.73E-02     3.28E-02     4.56E-02     4.89E-02     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.94E-02     2.80E-02     3.04E-02     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     2.08E-02     2.93E-02     3.15E-02     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.43E-02     1.55E-02     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     1.69E-02     1.82E-02     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.51E-02     2.15E-02     2.32E-02     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.24E-02     1.78E-02     1.93E-02     
