[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Nb           41           0.00000E+00  0.00000E+00  4.03E-02     1.29E-01     2.49E-01     3.81E-01     5.08E-01     6.22E-01     7.20E-01     8.04E-01     8.76E-01     
Mo           42           0.00000E+00  0.00000E+00  4.30E-01     7.69E-01     9.73E-01     1.10E+00     1.18E+00     1.24E+00     1.29E+00     1.34E+00     1.38E+00     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  3.43E-01     6.65E-01     8.69E-01     9.96E-01     1.08E+00     1.14E+00     1.18E+00     1.22E+00     1.25E+00     
Rh           45           0.00000E+00  0.00000E+00  1.91E-01     4.27E-01     5.96E-01     7.05E-01     7.78E-01     8.31E-01     8.72E-01     9.07E-01     9.38E-01     
Pd           46           0.00000E+00  0.00000E+00  4.37E-01     8.03E-01     1.02E+00     1.15E+00     1.24E+00     1.30E+00     1.35E+00     1.40E+00     1.43E+00     
Ag           47           0.00000E+00  0.00000E+00  1.59E-01     3.79E-01     5.44E-01     6.53E-01     7.27E-01     7.81E-01     8.25E-01     8.64E-01     8.98E-01     
Cd           48           0.00000E+00  0.00000E+00  4.84E-01     8.77E-01     1.11E+00     1.26E+00     1.35E+00     1.42E+00     1.47E+00     1.52E+00     1.56E+00     
In           49           0.00000E+00  0.00000E+00  3.25E-01     6.87E-01     9.17E-01     1.06E+00     1.16E+00     1.22E+00     1.27E+00     1.32E+00     1.36E+00     
Sn           50           0.00000E+00  0.00000E+00  4.94E-01     9.06E-01     1.15E+00     1.30E+00     1.40E+00     1.47E+00     1.53E+00     1.59E+00     1.63E+00     
Sb           51           0.00000E+00  0.00000E+00  2.83E-01     5.86E-01     8.02E-01     9.51E-01     1.06E+00     1.14E+00     1.20E+00     1.26E+00     1.31E+00     
Te           52           0.00000E+00  0.00000E+00  1.98E-01     4.88E-01     6.89E-01     8.16E-01     9.02E-01     9.65E-01     1.02E+00     1.06E+00     1.10E+00     
I            53           0.00000E+00  0.00000E+00  6.55E-02     2.08E-01     3.39E-01     4.33E-01     4.99E-01     5.47E-01     5.86E-01     6.20E-01     6.51E-01     
