[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
C            6            -2.30E-01    -2.38E-01    -1.94E-01    -8.73E-02    4.65E-02     1.75E-01     2.89E-01     3.87E-01     4.73E-01     5.52E-01     6.28E-01     7.05E-01     
N            7            4.63E-01     4.69E-01     4.69E-01     4.69E-01     4.69E-01     4.68E-01     4.67E-01     4.66E-01     4.65E-01     4.63E-01     4.62E-01     4.60E-01     
O            8            -2.50E-02    -2.53E-02    -2.53E-02    -2.49E-02    -2.41E-02    -2.30E-02    -2.19E-02    -2.10E-02    -2.03E-02    -1.99E-02    -1.95E-02    -1.94E-02    
F            9            -3.60E-02    -3.75E-02    -3.42E-02    0.00000E+00  5.07E-02     1.24E-01     2.00E-01     2.73E-01     3.43E-01     4.09E-01     4.77E-01     5.50E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.80E-02     3.72E-02     6.01E-02     8.54E-02     1.13E-01     1.43E-01     1.78E-01     2.18E-01     
Na           11           1.39E-01     1.43E-01     1.44E-01     1.45E-01     1.47E-01     1.51E-01     1.55E-01     1.60E-01     1.65E-01     1.70E-01     1.77E-01     1.84E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.34E-02     1.86E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.39E-02     1.71E-02     2.08E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.36E-02     1.65E-02     1.97E-02     2.31E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
