[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        
Lu           71           0.00000E+00  0.00000E+00  4.29E-02     2.36E-01     4.23E-01     5.80E-01     
Hf           72           0.00000E+00  0.00000E+00  1.31E-01     4.65E-01     7.14E-01     9.01E-01     
Ta           73           0.00000E+00  0.00000E+00  9.06E-02     3.84E-01     6.19E-01     8.03E-01     
W            74           0.00000E+00  0.00000E+00  1.16E-01     4.59E-01     7.10E-01     8.98E-01     
Re           75           -1.01E-01    -1.03E-01    -5.72E-02    8.93E-02     2.40E-01     3.79E-01     
Os           76           0.00000E+00  0.00000E+00  3.15E-02     1.40E-01     2.62E-01     3.74E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  1.89E-02     4.32E-02     7.10E-02     
Pt           78           0.00000E+00  0.00000E+00  1.10E-02     7.45E-02     1.55E-01     2.37E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  5.98E-02     1.29E-01     2.02E-01     
Hg           80           0.00000E+00  0.00000E+00  7.63E-02     3.86E-01     6.35E-01     8.22E-01     
Tl           81           0.00000E+00  0.00000E+00  9.22E-02     4.60E-01     7.32E-01     9.29E-01     
Pb           82           0.00000E+00  0.00000E+00  2.40E-02     2.28E-01     4.52E-01     6.42E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.35E-02     4.86E-02     
