[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        
C            6            -1.58E-01    -1.42E-01    2.89E-02     2.32E-01     3.81E-01     5.12E-01     
N            7            3.26E-01     3.41E-01     3.41E-01     3.41E-01     3.41E-01     3.41E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  0.00000E+00  3.08E-02     9.77E-02     1.75E-01     2.65E-01     
Ne           10           0.00000E+00  0.00000E+00  1.19E-02     3.70E-02     6.66E-02     1.03E-01     
Na           11           3.78E-02     4.56E-02     4.99E-02     5.77E-02     6.64E-02     7.70E-02     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.53E-02     2.13E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.36E-02     2.03E-02     2.69E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  1.78E-02     2.68E-02     3.57E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  2.23E-02     3.98E-02     6.01E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  2.48E-02     4.46E-02     6.76E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  2.24E-02     4.06E-02     6.18E-02     
Se           34           0.00000E+00  0.00000E+00  1.17E-02     3.72E-02     6.54E-02     9.73E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  2.30E-02     4.41E-02     6.79E-02     
Kr           36           0.00000E+00  0.00000E+00  1.40E-02     4.56E-02     8.20E-02     1.23E-01     
Rb           37           0.00000E+00  0.00000E+00  3.11E-02     7.12E-02     1.08E-01     1.45E-01     
Sr           38           0.00000E+00  0.00000E+00  1.13E-01     3.34E-01     5.17E-01     6.71E-01     
Y            39           0.00000E+00  0.00000E+00  1.33E-01     3.56E-01     5.33E-01     6.82E-01     
Zr           40           0.00000E+00  0.00000E+00  1.46E-01     3.91E-01     5.79E-01     7.34E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  4.07E-02     9.81E-02     1.67E-01     
Mo           42           0.00000E+00  0.00000E+00  8.11E-02     2.74E-01     4.43E-01     5.89E-01     
Tc           43           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  5.88E-02     2.16E-01     3.71E-01     5.09E-01     
Rh           45           0.00000E+00  0.00000E+00  2.82E-02     1.11E-01     2.04E-01     2.97E-01     
Pd           46           0.00000E+00  0.00000E+00  9.31E-02     2.96E-01     4.73E-01     6.23E-01     
Ag           47           0.00000E+00  0.00000E+00  3.02E-02     1.13E-01     2.05E-01     2.97E-01     
Cd           48           0.00000E+00  0.00000E+00  1.30E-01     3.69E-01     5.60E-01     7.17E-01     
In           49           0.00000E+00  0.00000E+00  8.67E-02     2.69E-01     4.30E-01     5.69E-01     
Sn           50           0.00000E+00  0.00000E+00  1.54E-01     4.21E-01     6.22E-01     7.83E-01     
Sb           51           0.00000E+00  0.00000E+00  7.62E-02     2.19E-01     3.48E-01     4.65E-01     
Te           52           0.00000E+00  0.00000E+00  4.96E-02     1.79E-01     3.06E-01     4.23E-01     
I            53           0.00000E+00  0.00000E+00  1.39E-02     5.74E-02     1.10E-01     1.67E-01     
Xe           54           0.00000E+00  0.00000E+00  5.66E-02     1.93E-01     3.24E-01     4.44E-01     
Cs           55           0.00000E+00  0.00000E+00  1.18E-01     2.75E-01     4.00E-01     5.15E-01     
Ba           56           0.00000E+00  0.00000E+00  2.53E-01     6.63E-01     9.25E-01     1.12E+00     
La           57           0.00000E+00  0.00000E+00  2.32E-01     6.35E-01     8.97E-01     1.09E+00     
Ce           58           0.00000E+00  0.00000E+00  2.20E-01     6.44E-01     9.18E-01     1.11E+00     
Pr           59           0.00000E+00  0.00000E+00  1.57E-01     4.66E-01     6.95E-01     8.73E-01     
Nd           60           0.00000E+00  0.00000E+00  1.49E-01     5.13E-01     7.70E-01     9.60E-01     
Pm           61           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  8.49E-02     3.44E-01     5.54E-01     7.22E-01     
Eu           63           0.00000E+00  0.00000E+00  1.71E-02     8.66E-02     1.65E-01     2.47E-01     
Gd           64           0.00000E+00  0.00000E+00  4.69E-02     1.98E-01     3.52E-01     4.83E-01     
Tb           65           0.00000E+00  0.00000E+00  2.49E-02     1.28E-01     2.42E-01     3.50E-01     
Dy           66           0.00000E+00  0.00000E+00  4.30E-02     2.13E-01     3.76E-01     5.15E-01     
Ho           67           0.00000E+00  0.00000E+00  1.82E-02     1.05E-01     2.08E-01     3.07E-01     
Er           68           0.00000E+00  0.00000E+00  4.07E-02     2.07E-01     3.77E-01     5.24E-01     
Tm           69           0.00000E+00  0.00000E+00  2.06E-02     1.38E-01     2.72E-01     3.99E-01     
Yb           70           0.00000E+00  0.00000E+00  9.12E-02     3.79E-01     6.11E-01     7.90E-01     
