[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        
Ag           47           0.00000E+00  1.29059E-02  8.14537E-02  1.38555E-01  
Cd           48           0.00000E+00  6.12703E-02  2.93062E-01  4.31332E-01  
In           49           0.00000E+00  3.90689E-02  2.09984E-01  3.21916E-01  
Sn           50           0.00000E+00  7.24274E-02  3.43322E-01  4.94025E-01  
Sb           51           0.00000E+00  3.46401E-02  1.81645E-01  2.72556E-01  
Te           52           0.00000E+00  2.08404E-02  1.38723E-01  2.26999E-01  
I            53           0.00000E+00  0.00000E+00  4.30106E-02  7.61926E-02  
Xe           54           0.00000E+00  2.28010E-02  1.47856E-01  2.39588E-01  
Cs           55           0.00000E+00  4.76445E-02  2.54152E-01  3.44133E-01  
Ba           56           0.00000E+00  9.29658E-02  5.77700E-01  8.05624E-01  
La           57           0.00000E+00  7.65342E-02  5.65200E-01  7.96946E-01  
Ce           58           0.00000E+00  6.24886E-02  6.01805E-01  8.52304E-01  
Pr           59           0.00000E+00  4.32734E-02  4.48142E-01  6.52991E-01  
Nd           60           0.00000E+00  3.69620E-02  4.98431E-01  7.35048E-01  
Pm           61           \N           \N           \N           \N           
Sm           62           0.00000E+00  1.95095E-02  3.30257E-01  5.26764E-01  
Eu           63           0.00000E+00  0.00000E+00  8.30485E-02  1.54864E-01  
Gd           64           0.00000E+00  1.03199E-02  1.96169E-01  3.40274E-01  
Tb           65           0.00000E+00  0.00000E+00  1.18101E-01  2.24538E-01  
Dy           66           0.00000E+00  0.00000E+00  1.97220E-01  3.50140E-01  
Ho           67           0.00000E+00  0.00000E+00  9.98673E-02  1.91716E-01  
Er           68           0.00000E+00  0.00000E+00  2.08653E-01  3.64520E-01  
Tm           69           0.00000E+00  0.00000E+00  1.31095E-01  2.53032E-01  
Yb           70           0.00000E+00  1.82721E-02  4.00388E-01  6.16660E-01  
Lu           71           0.00000E+00  0.00000E+00  2.96846E-01  4.93578E-01  
Hf           72           0.00000E+00  2.49268E-02  4.65195E-01  6.94751E-01  
Ta           73           0.00000E+00  1.74975E-02  4.01205E-01  6.27520E-01  
W            74           0.00000E+00  2.19626E-02  4.83450E-01  7.24020E-01  
Re           75           -1.25937E-01 -1.19438E-01 1.27867E-01  2.69580E-01  
Os           76           0.00000E+00  1.24814E-02  1.58633E-01  2.81081E-01  
Ir           77           0.00000E+00  0.00000E+00  2.12689E-02  4.66795E-02  
Pt           78           0.00000E+00  0.00000E+00  7.55263E-02  1.56280E-01  
Au           79           0.00000E+00  0.00000E+00  6.57226E-02  1.34219E-01  
Hg           80           0.00000E+00  1.20677E-02  4.44488E-01  6.87268E-01  
Tl           81           0.00000E+00  1.34335E-02  5.39819E-01  8.04716E-01  
Pb           82           0.00000E+00  0.00000E+00  3.45690E-01  5.87941E-01  
Bi           83           0.00000E+00  0.00000E+00  1.46295E-02  3.62598E-02  
