[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        
C            6            -1.35098E-01 0.00000E+00  2.66972E-01  4.00171E-01  
N            7            2.95144E-01  3.21464E-01  3.22335E-01  3.24149E-01  
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  0.00000E+00  6.14375E-02  1.16037E-01  
Ne           10           0.00000E+00  0.00000E+00  2.44024E-02  4.29319E-02  
Na           11           1.51628E-02  3.21610E-02  3.89911E-02  4.47276E-02  
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.22977E-02  
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Co           27           0.00000E+00  0.00000E+00  1.33630E-02  1.96241E-02  
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  1.67203E-02  2.40459E-02  
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ga           31           0.00000E+00  0.00000E+00  1.39436E-02  2.30613E-02  
Ge           32           0.00000E+00  0.00000E+00  1.56049E-02  2.57994E-02  
As           33           0.00000E+00  0.00000E+00  1.39040E-02  2.30900E-02  
Se           34           0.00000E+00  0.00000E+00  2.47231E-02  3.94853E-02  
Br           35           0.00000E+00  0.00000E+00  1.40189E-02  2.58156E-02  
Kr           36           0.00000E+00  0.00000E+00  3.27222E-02  5.30358E-02  
Rb           37           0.00000E+00  1.59388E-02  6.25694E-02  8.77041E-02  
Sr           38           0.00000E+00  5.93183E-02  2.65363E-01  3.88448E-01  
Y            39           0.00000E+00  7.14009E-02  2.97092E-01  4.20202E-01  
Zr           40           0.00000E+00  7.71649E-02  3.22946E-01  4.56879E-01  
Nb           41           0.00000E+00  0.00000E+00  2.17885E-02  7.19512E-02  
Mo           42           0.00000E+00  3.97301E-02  2.20300E-01  3.36544E-01  
Tc           43           \N           \N           \N           \N           
Ru           44           0.00000E+00  2.58523E-02  1.73104E-01  2.80531E-01  
Rh           45           0.00000E+00  1.22215E-02  8.49286E-02  1.43871E-01  
Pd           46           0.00000E+00  4.26287E-02  2.28856E-01  3.53098E-01  
