[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     2.04E-02     2.78E-02     3.70E-02     4.92E-02     6.54E-02     8.63E-02     1.13E-01     1.45E-01     1.82E-01     2.19E-01     2.33E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.73E-02     2.48E-02     3.32E-02     4.31E-02     5.60E-02     7.31E-02     9.57E-02     1.25E-01     1.61E-01     2.03E-01     2.44E-01     2.61E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.58E-02     2.27E-02     3.02E-02     3.87E-02     4.94E-02     6.37E-02     8.29E-02     1.08E-01     1.40E-01     1.78E-01     2.16E-01     2.31E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     2.32E-02     3.33E-02     4.41E-02     5.60E-02     7.02E-02     8.86E-02     1.13E-01     1.46E-01     1.87E-01     2.36E-01     2.85E-01     3.04E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.62E-02     2.18E-02     2.81E-02     3.57E-02     4.55E-02     5.86E-02     7.64E-02     9.99E-02     1.29E-01     1.59E-01     1.72E-01     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.16E-02     3.68E-02     5.33E-02     7.08E-02     8.91E-02     1.09E-01     1.33E-01     1.63E-01     2.02E-01     2.51E-01     3.10E-01     3.67E-01     3.89E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     3.13E-02     6.24E-02     9.99E-02     1.41E-01     1.85E-01     2.31E-01     2.81E-01     3.41E-01     4.12E-01     4.96E-01     5.90E-01     6.75E-01     7.09E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  4.21E-02     9.20E-02     1.42E-01     1.86E-01     2.24E-01     2.56E-01     2.86E-01     3.15E-01     3.45E-01     3.80E-01     4.21E-01     4.70E-01     5.17E-01     5.35E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  4.20E-02     9.90E-02     1.61E-01     2.17E-01     2.66E-01     3.09E-01     3.46E-01     3.82E-01     4.17E-01     4.56E-01     5.00E-01     5.51E-01     5.98E-01     6.17E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  4.05E-02     9.53E-02     1.56E-01     2.13E-01     2.64E-01     3.09E-01     3.49E-01     3.86E-01     4.23E-01     4.62E-01     5.04E-01     5.52E-01     5.95E-01     6.12E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     1.43E-02     1.80E-02     2.22E-02     2.71E-02     3.27E-02     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  2.47E-02     5.96E-02     9.82E-02     1.37E-01     1.75E-01     2.11E-01     2.46E-01     2.80E-01     3.14E-01     3.51E-01     3.91E-01     4.35E-01     4.74E-01     4.90E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  1.89E-02     4.56E-02     7.39E-02     1.01E-01     1.28E-01     1.54E-01     1.83E-01     2.12E-01     2.43E-01     2.78E-01     3.18E-01     3.61E-01     4.00E-01     4.15E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.15E-02     3.54E-02     4.86E-02     6.18E-02     7.53E-02     8.99E-02     1.06E-01     1.23E-01     1.44E-01     1.68E-01     1.96E-01     2.22E-01     2.32E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  2.65E-02     6.33E-02     1.02E-01     1.37E-01     1.69E-01     1.99E-01     2.30E-01     2.62E-01     2.97E-01     3.36E-01     3.81E-01     4.31E-01     4.74E-01     4.90E-01     
