[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
C            6            -2.45E-01    -2.57E-01    -1.96E-01    1.02E-01     3.85E-01     6.04E-01     7.66E-01     8.90E-01     9.90E-01     1.07E+00     1.15E+00     1.22E+00     1.25E+00     
N            7            4.58E-01     4.68E-01     4.69E-01     4.69E-01     4.68E-01     4.67E-01     4.66E-01     4.65E-01     4.64E-01     4.62E-01     4.61E-01     4.60E-01     4.61E-01     
O            8            -1.82E-02    -1.90E-02    -1.90E-02    -1.67E-02    -1.14E-02    0.00000E+00  0.00000E+00  1.01E-02     1.60E-02     2.11E-02     2.60E-02     3.09E-02     3.31E-02     
F            9            -3.59E-02    -3.86E-02    -3.78E-02    4.22E-02     1.93E-01     3.50E-01     4.83E-01     5.96E-01     6.94E-01     7.83E-01     8.67E-01     9.51E-01     9.90E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     4.77E-02     9.86E-02     1.55E-01     2.13E-01     2.73E-01     3.34E-01     3.98E-01     4.65E-01     4.98E-01     
Na           11           1.53E-01     1.60E-01     1.61E-01     1.63E-01     1.68E-01     1.77E-01     1.89E-01     2.02E-01     2.16E-01     2.32E-01     2.50E-01     2.72E-01     2.84E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.31E-02     1.98E-02     2.83E-02     3.93E-02     5.35E-02     6.16E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.54E-02     2.07E-02     2.57E-02     3.04E-02     3.50E-02     3.96E-02     4.19E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.55E-02     2.13E-02     2.69E-02     3.25E-02     3.83E-02     4.39E-02     4.66E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     1.41E-02     1.50E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.28E-02     1.42E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.36E-02     2.12E-02     3.04E-02     4.12E-02     5.36E-02     6.79E-02     8.35E-02     9.13E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.38E-02     1.56E-02     1.65E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.57E-02     2.26E-02     3.13E-02     4.24E-02     5.68E-02     7.54E-02     9.86E-02     1.13E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.82E-02     2.61E-02     3.49E-02     4.53E-02     5.85E-02     7.67E-02     9.74E-02     1.08E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     1.78E-02     2.25E-02     2.86E-02     3.35E-02     3.58E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     2.93E-02     4.77E-02     6.49E-02     8.12E-02     9.91E-02     1.20E-01     1.36E-01     1.43E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     2.83E-02     4.77E-02     6.65E-02     8.44E-02     1.04E-01     1.27E-01     1.43E-01     1.50E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.82E-02     3.15E-02     4.47E-02     5.76E-02     7.22E-02     8.92E-02     1.01E-01     1.06E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.77E-02     3.91E-02     6.53E-02     9.07E-02     1.15E-01     1.41E-01     1.70E-01     1.91E-01     1.98E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.12E-02     3.68E-02     5.37E-02     7.10E-02     9.00E-02     1.11E-01     1.28E-01     1.38E-01     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.86E-02     6.26E-02     1.03E-01     1.42E-01     1.78E-01     2.16E-01     2.53E-01     2.83E-01     2.95E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  1.75E-02     4.29E-02     7.98E-02     1.28E-01     1.85E-01     2.45E-01     3.11E-01     3.80E-01     4.38E-01     4.62E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  6.59E-02     2.24E-01     4.05E-01     5.58E-01     6.76E-01     7.67E-01     8.45E-01     9.07E-01     9.54E-01     9.72E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  8.22E-02     2.46E-01     4.25E-01     5.79E-01     7.02E-01     7.99E-01     8.84E-01     9.53E-01     1.01E+00     1.03E+00     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  9.64E-02     2.82E-01     4.69E-01     6.22E-01     7.42E-01     8.38E-01     9.20E-01     9.87E-01     1.04E+00     1.06E+00     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.84E-02     4.54E-02     8.57E-02     1.37E-01     1.95E-01     2.56E-01     3.17E-01     3.74E-01     4.26E-01     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  5.38E-02     1.94E-01     3.53E-01     4.88E-01     5.93E-01     6.77E-01     7.47E-01     8.04E-01     8.50E-01     8.70E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  3.45E-02     1.41E-01     2.77E-01     4.01E-01     5.03E-01     5.84E-01     6.53E-01     7.07E-01     7.51E-01     7.70E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  1.65E-02     7.21E-02     1.52E-01     2.32E-01     3.03E-01     3.62E-01     4.14E-01     4.56E-01     4.91E-01     5.05E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  6.07E-02     2.17E-01     3.89E-01     5.34E-01     6.47E-01     7.36E-01     8.10E-01     8.69E-01     9.16E-01     9.36E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  1.73E-02     6.96E-02     1.42E-01     2.17E-01     2.82E-01     3.38E-01     3.87E-01     4.28E-01     4.62E-01     4.77E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  9.11E-02     2.82E-01     4.75E-01     6.33E-01     7.54E-01     8.51E-01     9.32E-01     9.96E-01     1.05E+00     1.07E+00     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  5.89E-02     1.98E-01     3.55E-01     4.92E-01     6.02E-01     6.91E-01     7.65E-01     8.24E-01     8.72E-01     8.92E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  1.19E-01     3.38E-01     5.44E-01     7.05E-01     8.28E-01     9.26E-01     1.01E+00     1.08E+00     1.13E+00     1.15E+00     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  5.97E-02     1.73E-01     3.05E-01     4.30E-01     5.37E-01     6.28E-01     7.08E-01     7.76E-01     8.34E-01     8.59E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  3.91E-02     1.40E-01     2.59E-01     3.65E-01     4.51E-01     5.21E-01     5.82E-01     6.32E-01     6.75E-01     6.93E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     4.45E-02     9.30E-02     1.45E-01     1.92E-01     2.34E-01     2.72E-01     3.04E-01     3.31E-01     3.44E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  4.68E-02     1.58E-01     2.86E-01     4.01E-01     4.95E-01     5.75E-01     6.42E-01     6.99E-01     7.47E-01     7.68E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  9.34E-02     2.24E-01     3.77E-01     5.25E-01     6.51E-01     7.56E-01     8.43E-01     9.16E-01     9.76E-01     1.00E+00     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  3.42E-01     7.44E-01     1.02E+00     1.21E+00     1.35E+00     1.45E+00     1.53E+00     1.60E+00     1.65E+00     1.68E+00     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  3.74E-01     7.92E-01     1.08E+00     1.26E+00     1.40E+00     1.50E+00     1.58E+00     1.64E+00     1.70E+00     1.73E+00     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  4.54E-01     8.98E-01     1.19E+00     1.38E+00     1.51E+00     1.61E+00     1.69E+00     1.76E+00     1.81E+00     1.84E+00     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  3.48E-01     7.08E-01     9.78E-01     1.17E+00     1.31E+00     1.42E+00     1.51E+00     1.58E+00     1.65E+00     1.68E+00     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  3.84E-01     8.02E-01     1.09E+00     1.27E+00     1.41E+00     1.51E+00     1.58E+00     1.65E+00     1.70E+00     1.73E+00     
