[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       TDU_17       TDU_18       TDU_19       TDU_20       TDU_21       TDU_22       
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     1.32E-02     1.61E-02     1.92E-02     2.25E-02     2.58E-02     2.89E-02     3.16E-02     3.37E-02     3.49E-02     3.56E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.40E-02     1.78E-02     2.22E-02     2.72E-02     3.25E-02     3.81E-02     4.34E-02     4.81E-02     5.15E-02     5.35E-02     5.45E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     1.36E-02     1.65E-02     1.96E-02     2.27E-02     2.55E-02     2.76E-02     2.88E-02     2.95E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     1.48E-02     1.80E-02     2.12E-02     2.41E-02     2.63E-02     2.76E-02     2.82E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.48E-02     1.70E-02     1.87E-02     1.97E-02     2.02E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.41E-02     1.70E-02     1.99E-02     2.25E-02     2.45E-02     2.57E-02     2.63E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.19E-02     1.38E-02     1.58E-02     1.80E-02     2.05E-02     2.33E-02     2.63E-02     2.93E-02     3.20E-02     3.40E-02     3.51E-02     3.57E-02     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.31E-02     1.68E-02     2.08E-02     2.52E-02     3.01E-02     3.54E-02     4.13E-02     4.79E-02     5.51E-02     6.28E-02     7.04E-02     7.71E-02     8.21E-02     8.52E-02     8.68E-02     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     1.54E-02     1.91E-02     2.27E-02     2.64E-02     3.01E-02     3.39E-02     3.76E-02     4.13E-02     4.51E-02     4.88E-02     5.25E-02     5.59E-02     5.88E-02     6.09E-02     6.21E-02     6.27E-02     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     1.72E-02     2.19E-02     2.67E-02     3.17E-02     3.68E-02     4.19E-02     4.70E-02     5.19E-02     5.70E-02     6.17E-02     6.62E-02     7.03E-02     7.36E-02     7.60E-02     7.74E-02     7.81E-02     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.31E-02     1.75E-02     2.22E-02     2.70E-02     3.20E-02     3.73E-02     4.25E-02     4.76E-02     5.26E-02     5.76E-02     6.22E-02     6.64E-02     7.02E-02     7.32E-02     7.53E-02     7.64E-02     7.70E-02     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.44E-02     1.73E-02     2.04E-02     2.36E-02     2.70E-02     3.04E-02     3.39E-02     3.73E-02     4.05E-02     4.35E-02     4.62E-02     4.83E-02     4.97E-02     5.05E-02     5.08E-02     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     1.36E-02     1.58E-02     1.80E-02     2.03E-02     2.27E-02     2.51E-02     2.73E-02     2.95E-02     3.14E-02     3.29E-02     3.39E-02     3.45E-02     3.47E-02     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.07E-02     1.08E-02     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.36E-02     1.64E-02     1.92E-02     2.20E-02     2.49E-02     2.78E-02     3.07E-02     3.35E-02     3.64E-02     3.91E-02     4.16E-02     4.39E-02     4.57E-02     4.69E-02     4.75E-02     4.78E-02     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.40E-02     1.79E-02     2.17E-02     2.56E-02     2.95E-02     3.36E-02     3.76E-02     4.15E-02     4.53E-02     4.90E-02     5.24E-02     5.56E-02     5.83E-02     6.05E-02     6.19E-02     6.27E-02     6.32E-02     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     1.50E-02     1.76E-02     2.01E-02     2.26E-02     2.50E-02     2.73E-02     2.95E-02     3.15E-02     3.33E-02     3.47E-02     3.56E-02     3.62E-02     3.65E-02     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.51E-02     2.00E-02     2.49E-02     3.00E-02     3.51E-02     4.04E-02     4.57E-02     5.08E-02     5.59E-02     6.07E-02     6.53E-02     6.95E-02     7.31E-02     7.59E-02     7.78E-02     7.88E-02     7.93E-02     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.31E-02     1.60E-02     1.88E-02     2.18E-02     2.46E-02     2.75E-02     3.01E-02     3.26E-02     3.48E-02     3.66E-02     3.78E-02     3.85E-02     3.89E-02     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.17E-02     1.33E-02     1.48E-02     1.63E-02     1.78E-02     1.91E-02     2.04E-02     2.15E-02     2.23E-02     2.29E-02     2.31E-02     2.33E-02     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.33E-02     1.52E-02     1.70E-02     1.88E-02     2.07E-02     2.24E-02     2.41E-02     2.57E-02     2.71E-02     2.82E-02     2.89E-02     2.92E-02     2.94E-02     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.47E-02     1.80E-02     2.14E-02     2.48E-02     2.81E-02     3.13E-02     3.44E-02     3.74E-02     4.01E-02     4.24E-02     4.43E-02     4.57E-02     4.64E-02     4.69E-02     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.90E-02     3.14E-02     4.51E-02     5.89E-02     7.27E-02     8.60E-02     9.94E-02     1.12E-01     1.25E-01     1.36E-01     1.47E-01     1.57E-01     1.67E-01     1.75E-01     1.82E-01     1.87E-01     1.91E-01     1.93E-01     1.94E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.90E-02     3.20E-02     4.63E-02     6.08E-02     7.53E-02     8.94E-02     1.04E-01     1.17E-01     1.30E-01     1.43E-01     1.54E-01     1.64E-01     1.74E-01     1.83E-01     1.90E-01     1.96E-01     1.99E-01     2.01E-01     2.02E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.14E-02     3.62E-02     5.24E-02     6.90E-02     8.55E-02     1.01E-01     1.18E-01     1.33E-01     1.48E-01     1.61E-01     1.74E-01     1.85E-01     1.97E-01     2.06E-01     2.14E-01     2.20E-01     2.24E-01     2.26E-01     2.27E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     2.20E-02     3.37E-02     4.60E-02     5.85E-02     7.08E-02     8.32E-02     9.52E-02     1.07E-01     1.17E-01     1.27E-01     1.36E-01     1.45E-01     1.53E-01     1.59E-01     1.63E-01     1.67E-01     1.68E-01     1.69E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.74E-02     2.97E-02     4.34E-02     5.72E-02     7.08E-02     8.39E-02     9.68E-02     1.09E-01     1.21E-01     1.32E-01     1.42E-01     1.52E-01     1.61E-01     1.69E-01     1.76E-01     1.81E-01     1.84E-01     1.86E-01     1.87E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.52E-02     2.33E-02     3.18E-02     4.07E-02     4.96E-02     5.87E-02     6.77E-02     7.65E-02     8.51E-02     9.31E-02     1.01E-01     1.08E-01     1.15E-01     1.20E-01     1.24E-01     1.27E-01     1.28E-01     1.29E-01     
Eu           63           0.00000E+00  -1.21E-02    -1.21E-02    -1.19E-02    -1.12E-02    -1.01E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.21E-02     1.40E-02     1.59E-02     1.74E-02     1.85E-02     1.93E-02     1.97E-02     1.99E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.61E-02     2.08E-02     2.58E-02     3.11E-02     3.66E-02     4.22E-02     4.77E-02     5.32E-02     5.83E-02     6.32E-02     6.80E-02     7.24E-02     7.60E-02     7.87E-02     8.05E-02     8.14E-02     8.19E-02     
