[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        
C            6            -1.41E-01    -9.89E-02    -1.27E-02    8.83E-02     1.74E-01     
N            7            3.04E-01     3.14E-01     3.14E-01     3.14E-01     3.14E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  1.03E-02     3.58E-02     7.74E-02     1.26E-01     
Ne           10           0.00000E+00  0.00000E+00  1.83E-02     3.80E-02     5.92E-02     
Na           11           2.08E-02     2.66E-02     3.29E-02     4.21E-02     5.23E-02     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.43E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.64E-02     2.24E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  1.37E-02     2.55E-02     3.55E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     
Ga           31           0.00000E+00  0.00000E+00  2.01E-02     4.40E-02     6.75E-02     
Ge           32           0.00000E+00  0.00000E+00  2.24E-02     4.88E-02     7.48E-02     
As           33           0.00000E+00  0.00000E+00  1.97E-02     4.35E-02     6.72E-02     
Se           34           0.00000E+00  0.00000E+00  3.14E-02     6.84E-02     1.04E-01     
Br           35           0.00000E+00  0.00000E+00  1.84E-02     4.30E-02     7.04E-02     
Kr           36           0.00000E+00  0.00000E+00  2.96E-02     6.86E-02     1.08E-01     
Rb           37           0.00000E+00  1.33E-02     4.83E-02     8.95E-02     1.25E-01     
Sr           38           0.00000E+00  2.01E-02     1.47E-01     3.36E-01     4.88E-01     
Y            39           0.00000E+00  1.59E-02     1.25E-01     2.96E-01     4.37E-01     
Zr           40           0.00000E+00  0.00000E+00  9.42E-02     2.54E-01     3.93E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  1.73E-02     4.40E-02     
Mo           42           0.00000E+00  0.00000E+00  4.22E-02     1.41E-01     2.42E-01     
Tc           43           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  3.09E-02     1.09E-01     1.95E-01     
Rh           45           0.00000E+00  0.00000E+00  1.36E-02     5.12E-02     9.53E-02     
Pd           46           0.00000E+00  0.00000E+00  4.08E-02     1.41E-01     2.44E-01     
