[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.80E-02     2.80E-02     3.96E-02     5.42E-02     7.14E-02     9.03E-02     1.10E-01     1.27E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.39E-02     1.51E-02     1.60E-02     1.68E-02     1.76E-02     1.84E-02     
Cu           29           0.00000E+00  1.09E-01     2.07E-01     2.67E-01     3.01E-01     3.22E-01     3.36E-01     3.47E-01     3.58E-01     3.67E-01     
Zn           30           0.00000E+00  4.98E-02     1.10E-01     1.52E-01     1.77E-01     1.93E-01     2.01E-01     2.07E-01     2.11E-01     2.14E-01     
Ga           31           0.00000E+00  2.12E-01     3.88E-01     4.82E-01     5.33E-01     5.61E-01     5.78E-01     5.88E-01     5.95E-01     6.00E-01     
Ge           32           0.00000E+00  2.26E-01     4.05E-01     5.04E-01     5.58E-01     5.89E-01     6.07E-01     6.19E-01     6.26E-01     6.31E-01     
As           33           0.00000E+00  2.03E-01     3.70E-01     4.65E-01     5.18E-01     5.49E-01     5.67E-01     5.79E-01     5.86E-01     5.90E-01     
Se           34           0.00000E+00  2.78E-01     4.74E-01     5.75E-01     6.29E-01     6.60E-01     6.78E-01     6.89E-01     6.96E-01     7.00E-01     
Br           35           0.00000E+00  1.70E-01     3.23E-01     4.23E-01     4.88E-01     5.32E-01     5.62E-01     5.84E-01     6.00E-01     6.12E-01     
Kr           36           0.00000E+00  3.43E-01     5.82E-01     7.07E-01     7.72E-01     8.09E-01     8.30E-01     8.43E-01     8.52E-01     8.57E-01     
Rb           37           0.00000E+00  5.97E-01     8.55E-01     9.82E-01     1.05E+00     1.10E+00     1.12E+00     1.14E+00     1.15E+00     1.16E+00     
Sr           38           0.00000E+00  3.15E-01     6.46E-01     8.30E-01     9.44E-01     1.02E+00     1.07E+00     1.10E+00     1.12E+00     1.14E+00     
Y            39           0.00000E+00  2.46E-01     5.22E-01     7.00E-01     8.27E-01     9.18E-01     9.81E-01     1.03E+00     1.06E+00     1.08E+00     
Zr           40           0.00000E+00  1.92E-01     4.33E-01     6.00E-01     7.30E-01     8.25E-01     8.93E-01     9.44E-01     9.81E-01     1.00E+00     
Nb           41           0.00000E+00  0.00000E+00  3.13E-02     7.30E-02     1.26E-01     1.86E-01     2.45E-01     3.00E-01     3.50E-01     3.94E-01     
Mo           42           0.00000E+00  1.12E-01     2.90E-01     4.30E-01     5.48E-01     6.34E-01     6.97E-01     7.44E-01     7.79E-01     8.02E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  9.07E-02     2.50E-01     3.78E-01     4.89E-01     5.70E-01     6.30E-01     6.75E-01     7.09E-01     7.31E-01     
Rh           45           0.00000E+00  4.12E-02     1.27E-01     2.05E-01     2.80E-01     3.37E-01     3.81E-01     4.15E-01     4.40E-01     4.56E-01     
Pd           46           0.00000E+00  1.10E-01     2.99E-01     4.46E-01     5.72E-01     6.60E-01     7.24E-01     7.72E-01     8.06E-01     8.28E-01     
Ag           47           0.00000E+00  3.44E-02     1.10E-01     1.85E-01     2.59E-01     3.16E-01     3.59E-01     3.93E-01     4.18E-01     4.35E-01     
Cd           48           0.00000E+00  1.34E-01     3.44E-01     5.06E-01     6.48E-01     7.47E-01     8.19E-01     8.71E-01     9.09E-01     9.33E-01     
In           49           0.00000E+00  8.52E-02     2.42E-01     3.76E-01     5.01E-01     5.92E-01     6.59E-01     7.08E-01     7.43E-01     7.66E-01     
Sn           50           0.00000E+00  1.64E-01     3.89E-01     5.55E-01     7.02E-01     8.05E-01     8.81E-01     9.37E-01     9.78E-01     1.00E+00     
Sb           51           0.00000E+00  7.98E-02     2.03E-01     3.13E-01     4.26E-01     5.13E-01     5.81E-01     6.33E-01     6.72E-01     6.98E-01     
Te           52           0.00000E+00  5.42E-02     1.57E-01     2.49E-01     3.44E-01     4.15E-01     4.69E-01     5.11E-01     5.42E-01     5.62E-01     
