[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
Sr           38           0.00000E+00  0.00000E+00  8.60E-02     2.87E-01     4.73E-01     6.17E-01     7.28E-01     8.20E-01     9.01E-01     9.64E-01     1.01E+00     1.01E+00     
Y            39           0.00000E+00  0.00000E+00  1.20E-01     3.27E-01     5.07E-01     6.48E-01     7.59E-01     8.52E-01     9.35E-01     1.00E+00     1.05E+00     1.05E+00     
Zr           40           0.00000E+00  0.00000E+00  1.62E-01     3.98E-01     5.86E-01     7.26E-01     8.34E-01     9.24E-01     1.00E+00     1.07E+00     1.11E+00     1.11E+00     
Nb           41           0.00000E+00  0.00000E+00  1.08E-02     4.45E-02     9.93E-02     1.65E-01     2.37E-01     3.07E-01     3.74E-01     4.36E-01     4.92E-01     5.29E-01     
Mo           42           0.00000E+00  0.00000E+00  1.02E-01     2.96E-01     4.67E-01     5.99E-01     7.02E-01     7.86E-01     8.56E-01     9.13E-01     9.53E-01     9.54E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  6.04E-02     2.13E-01     3.67E-01     4.96E-01     5.98E-01     6.83E-01     7.55E-01     8.12E-01     8.53E-01     8.56E-01     
Rh           45           0.00000E+00  0.00000E+00  2.65E-02     1.08E-01     2.03E-01     2.93E-01     3.69E-01     4.36E-01     4.93E-01     5.40E-01     5.74E-01     5.74E-01     
Pd           46           0.00000E+00  0.00000E+00  7.75E-02     2.80E-01     4.69E-01     6.19E-01     7.33E-01     8.27E-01     9.04E-01     9.65E-01     1.01E+00     1.01E+00     
Ag           47           0.00000E+00  0.00000E+00  2.00E-02     9.04E-02     1.78E-01     2.63E-01     3.37E-01     4.02E-01     4.59E-01     5.06E-01     5.41E-01     5.42E-01     
Cd           48           0.00000E+00  0.00000E+00  9.78E-02     3.32E-01     5.40E-01     7.02E-01     8.26E-01     9.28E-01     1.01E+00     1.08E+00     1.12E+00     1.13E+00     
In           49           0.00000E+00  0.00000E+00  5.82E-02     2.29E-01     4.02E-01     5.47E-01     6.63E-01     7.58E-01     8.38E-01     9.03E-01     9.48E-01     9.49E-01     
Sn           50           0.00000E+00  0.00000E+00  1.66E-01     4.33E-01     6.43E-01     8.01E-01     9.21E-01     1.02E+00     1.10E+00     1.17E+00     1.21E+00     1.21E+00     
Sb           51           0.00000E+00  0.00000E+00  1.01E-01     2.55E-01     3.97E-01     5.18E-01     6.18E-01     7.05E-01     7.80E-01     8.44E-01     8.90E-01     8.90E-01     
Te           52           0.00000E+00  0.00000E+00  6.63E-02     2.08E-01     3.43E-01     4.57E-01     5.47E-01     6.23E-01     6.85E-01     7.38E-01     7.76E-01     7.76E-01     
I            53           0.00000E+00  0.00000E+00  1.88E-02     6.89E-02     1.30E-01     1.90E-01     2.45E-01     2.94E-01     3.38E-01     3.75E-01     4.04E-01     4.04E-01     
Xe           54           0.00000E+00  0.00000E+00  8.20E-02     2.38E-01     3.82E-01     5.02E-01     5.98E-01     6.78E-01     7.45E-01     8.00E-01     8.41E-01     8.41E-01     
Cs           55           0.00000E+00  0.00000E+00  1.36E-01     3.06E-01     4.63E-01     6.04E-01     7.22E-01     8.23E-01     9.07E-01     9.76E-01     1.03E+00     1.02E+00     
Ba           56           0.00000E+00  0.00000E+00  4.53E-01     8.97E-01     1.17E+00     1.35E+00     1.48E+00     1.58E+00     1.66E+00     1.72E+00     1.77E+00     1.77E+00     
La           57           0.00000E+00  0.00000E+00  4.86E-01     9.46E-01     1.22E+00     1.41E+00     1.53E+00     1.63E+00     1.71E+00     1.77E+00     1.82E+00     1.82E+00     
Ce           58           0.00000E+00  0.00000E+00  5.70E-01     1.05E+00     1.34E+00     1.52E+00     1.65E+00     1.75E+00     1.83E+00     1.89E+00     1.93E+00     1.93E+00     
Pr           59           0.00000E+00  0.00000E+00  4.21E-01     8.29E-01     1.10E+00     1.29E+00     1.42E+00     1.53E+00     1.61E+00     1.68E+00     1.72E+00     1.73E+00     
Nd           60           0.00000E+00  0.00000E+00  4.89E-01     9.55E-01     1.23E+00     1.42E+00     1.55E+00     1.64E+00     1.72E+00     1.78E+00     1.82E+00     1.82E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  4.04E-01     8.04E-01     1.05E+00     1.22E+00     1.34E+00     1.43E+00     1.50E+00     1.55E+00     1.59E+00     1.59E+00     
Eu           63           0.00000E+00  0.00000E+00  1.08E-01     2.94E-01     4.57E-01     5.86E-01     6.83E-01     7.59E-01     8.19E-01     8.70E-01     9.08E-01     9.08E-01     
Gd           64           0.00000E+00  0.00000E+00  2.81E-01     5.90E-01     7.97E-01     9.45E-01     1.05E+00     1.14E+00     1.21E+00     1.27E+00     1.31E+00     1.31E+00     
Tb           65           0.00000E+00  0.00000E+00  1.72E-01     4.26E-01     6.14E-01     7.48E-01     8.45E-01     9.19E-01     9.78E-01     1.03E+00     1.07E+00     1.07E+00     
Dy           66           0.00000E+00  0.00000E+00  2.82E-01     6.13E-01     8.32E-01     9.81E-01     1.09E+00     1.16E+00     1.22E+00     1.27E+00     1.31E+00     1.31E+00     
Ho           67           0.00000E+00  0.00000E+00  1.59E-01     3.95E-01     5.81E-01     7.17E-01     8.14E-01     8.89E-01     9.47E-01     9.95E-01     1.03E+00     1.03E+00     
Er           68           0.00000E+00  0.00000E+00  3.01E-01     6.47E-01     8.77E-01     1.04E+00     1.15E+00     1.23E+00     1.30E+00     1.35E+00     1.39E+00     1.39E+00     
Tm           69           0.00000E+00  0.00000E+00  2.24E-01     5.72E-01     8.16E-01     9.78E-01     1.09E+00     1.17E+00     1.23E+00     1.27E+00     1.31E+00     1.31E+00     
Yb           70           0.00000E+00  0.00000E+00  5.13E-01     9.38E-01     1.19E+00     1.37E+00     1.49E+00     1.58E+00     1.64E+00     1.70E+00     1.74E+00     1.74E+00     
Lu           71           0.00000E+00  0.00000E+00  3.15E-01     7.00E-01     9.53E-01     1.13E+00     1.24E+00     1.33E+00     1.40E+00     1.45E+00     1.49E+00     1.49E+00     
Hf           72           0.00000E+00  0.00000E+00  6.43E-01     1.08E+00     1.34E+00     1.51E+00     1.63E+00     1.72E+00     1.79E+00     1.85E+00     1.89E+00     1.89E+00     
Ta           73           0.00000E+00  0.00000E+00  5.19E-01     9.74E-01     1.25E+00     1.43E+00     1.55E+00     1.64E+00     1.71E+00     1.77E+00     1.81E+00     1.81E+00     
W            74           0.00000E+00  0.00000E+00  6.32E-01     1.11E+00     1.38E+00     1.56E+00     1.68E+00     1.78E+00     1.85E+00     1.90E+00     1.94E+00     1.94E+00     
Re           75           -5.64E-02    -5.81E-02    2.54E-01     5.93E-01     8.45E-01     1.03E+00     1.16E+00     1.26E+00     1.34E+00     1.40E+00     1.44E+00     1.44E+00     
Os           76           0.00000E+00  0.00000E+00  1.84E-01     4.59E-01     6.65E-01     8.12E-01     9.18E-01     9.99E-01     1.06E+00     1.11E+00     1.15E+00     1.15E+00     
Ir           77           0.00000E+00  0.00000E+00  3.67E-02     1.20E-01     2.09E-01     2.90E-01     3.57E-01     4.12E-01     4.58E-01     4.96E-01     5.26E-01     5.26E-01     
Pt           78           0.00000E+00  0.00000E+00  1.44E-01     3.79E-01     5.64E-01     7.00E-01     7.98E-01     8.73E-01     9.32E-01     9.81E-01     1.02E+00     1.02E+00     
Au           79           0.00000E+00  0.00000E+00  1.06E-01     3.23E-01     5.12E-01     6.55E-01     7.59E-01     8.37E-01     8.97E-01     9.46E-01     9.81E-01     9.82E-01     
Hg           80           0.00000E+00  0.00000E+00  5.16E-01     1.02E+00     1.31E+00     1.50E+00     1.63E+00     1.72E+00     1.80E+00     1.85E+00     1.89E+00     1.89E+00     
Tl           81           0.00000E+00  0.00000E+00  6.11E-01     1.19E+00     1.50E+00     1.70E+00     1.83E+00     1.93E+00     2.00E+00     2.05E+00     2.09E+00     2.09E+00     
Pb           82           0.00000E+00  0.00000E+00  6.49E-01     1.29E+00     1.64E+00     1.84E+00     1.97E+00     2.05E+00     2.11E+00     2.16E+00     2.19E+00     2.19E+00     
Bi           83           0.00000E+00  0.00000E+00  1.53E-01     4.99E-01     7.81E-01     9.73E-01     1.10E+00     1.19E+00     1.25E+00     1.30E+00     1.34E+00     1.34E+00     
