[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.65E-02     2.43E-02     3.12E-02     3.68E-02     3.82E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     3.46E-02     5.93E-02     8.22E-02     1.02E-01     1.18E-01     1.22E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.78E-02     3.24E-02     4.65E-02     5.87E-02     6.86E-02     7.12E-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  1.44E-02     3.64E-02     6.31E-02     8.81E-02     1.10E-01     1.27E-01     1.31E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48E-02     2.71E-02     3.90E-02     4.95E-02     5.80E-02     6.11E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  1.47E-02     3.76E-02     6.60E-02     9.29E-02     1.16E-01     1.35E-01     1.41E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     3.04E-02     5.51E-02     7.93E-02     1.01E-01     1.19E-01     1.24E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  3.27E-02     7.88E-02     1.33E-01     1.81E-01     2.22E-01     2.55E-01     2.64E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  1.51E-02     4.09E-02     7.31E-02     1.04E-01     1.31E-01     1.53E-01     1.59E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  4.29E-02     1.01E-01     1.68E-01     2.27E-01     2.75E-01     3.13E-01     3.23E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  3.19E-02     7.82E-02     1.34E-01     1.84E-01     2.27E-01     2.62E-01     2.71E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  4.39E-02     1.04E-01     1.72E-01     2.33E-01     2.82E-01     3.21E-01     3.31E-01     
Re           75           -6.96E-02    -7.08E-02    -6.87E-02    -6.02E-02    -4.27E-02    -1.97E-02    0.00000E+00  2.43E-02     4.18E-02     4.68E-02     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     2.07E-02     3.41E-02     4.71E-02     5.87E-02     6.79E-02     7.04E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     2.22E-02     3.25E-02     4.18E-02     4.97E-02     5.19E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.63E-02     2.46E-02     3.24E-02     3.92E-02     4.09E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  3.45E-02     8.45E-02     1.44E-01     1.98E-01     2.43E-01     2.79E-01     2.89E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  4.59E-02     1.14E-01     1.93E-01     2.61E-01     3.16E-01     3.57E-01     3.68E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  1.52E-02     4.51E-02     8.47E-02     1.23E-01     1.56E-01     1.82E-01     1.89E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
