[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
C            6            -1.80E-01    -1.33E-01    -5.15E-02    4.23E-02     1.32E-01     2.14E-01     2.83E-01     3.45E-01     4.03E-01     4.22E-01     
N            7            3.50E-01     3.55E-01     3.55E-01     3.54E-01     3.53E-01     3.52E-01     3.51E-01     3.49E-01     3.48E-01     3.47E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  0.00000E+00  3.11E-02     7.39E-02     1.29E-01     1.90E-01     2.51E-01     3.11E-01     3.72E-01     3.95E-01     
Ne           10           0.00000E+00  0.00000E+00  1.63E-02     3.47E-02     5.75E-02     8.31E-02     1.09E-01     1.37E-01     1.67E-01     1.79E-01     
Na           11           7.07E-02     7.46E-02     7.98E-02     8.77E-02     9.75E-02     1.09E-01     1.21E-01     1.35E-01     1.50E-01     1.57E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     1.33E-02     1.54E-02     1.61E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.30E-02     1.37E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     1.89E-02     2.35E-02     2.84E-02     3.35E-02     3.52E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.46E-02     2.02E-02     2.53E-02     3.01E-02     3.49E-02     3.99E-02     4.22E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  1.08E-02     1.93E-02     2.79E-02     3.62E-02     4.39E-02     5.12E-02     5.82E-02     6.05E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.49E-02     2.13E-02     2.75E-02     3.34E-02     3.91E-02     4.09E-02     
Ga           31           0.00000E+00  0.00000E+00  2.22E-02     4.88E-02     8.04E-02     1.13E-01     1.42E-01     1.69E-01     1.93E-01     2.01E-01     
Ge           32           0.00000E+00  0.00000E+00  2.18E-02     4.77E-02     7.87E-02     1.11E-01     1.40E-01     1.67E-01     1.91E-01     1.98E-01     
As           33           0.00000E+00  0.00000E+00  1.46E-02     3.23E-02     5.39E-02     7.66E-02     9.79E-02     1.18E-01     1.36E-01     1.41E-01     
Se           34           0.00000E+00  0.00000E+00  3.26E-02     6.92E-02     1.10E-01     1.51E-01     1.88E-01     2.20E-01     2.49E-01     2.58E-01     
Br           35           0.00000E+00  0.00000E+00  1.79E-02     4.28E-02     7.37E-02     1.06E-01     1.36E-01     1.64E-01     1.88E-01     1.99E-01     
Kr           36           0.00000E+00  0.00000E+00  3.84E-02     8.49E-02     1.38E-01     1.91E-01     2.37E-01     2.78E-01     3.14E-01     3.25E-01     
Rb           37           0.00000E+00  2.08E-02     6.23E-02     1.09E-01     1.55E-01     1.98E-01     2.34E-01     2.67E-01     2.97E-01     3.06E-01     
Sr           38           0.00000E+00  3.15E-02     1.96E-01     4.10E-01     5.93E-01     7.34E-01     8.37E-01     9.16E-01     9.78E-01     9.95E-01     
Y            39           0.00000E+00  2.82E-02     1.74E-01     3.68E-01     5.38E-01     6.71E-01     7.70E-01     8.46E-01     9.06E-01     9.23E-01     
Zr           40           0.00000E+00  1.62E-02     1.40E-01     3.26E-01     4.94E-01     6.26E-01     7.21E-01     7.94E-01     8.50E-01     8.65E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  2.91E-02     6.98E-02     1.22E-01     1.77E-01     2.29E-01     2.76E-01     3.02E-01     
Mo           42           0.00000E+00  0.00000E+00  6.93E-02     1.94E-01     3.23E-01     4.33E-01     5.15E-01     5.79E-01     6.28E-01     6.41E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  4.77E-02     1.44E-01     2.51E-01     3.46E-01     4.19E-01     4.77E-01     5.22E-01     5.35E-01     
Rh           45           0.00000E+00  0.00000E+00  2.28E-02     7.21E-02     1.32E-01     1.90E-01     2.37E-01     2.76E-01     3.07E-01     3.16E-01     
Pd           46           0.00000E+00  0.00000E+00  7.04E-02     2.01E-01     3.35E-01     4.46E-01     5.29E-01     5.92E-01     6.40E-01     6.53E-01     
Ag           47           0.00000E+00  0.00000E+00  1.96E-02     6.27E-02     1.16E-01     1.68E-01     2.11E-01     2.46E-01     2.75E-01     2.83E-01     
Cd           48           0.00000E+00  0.00000E+00  8.16E-02     2.27E-01     3.72E-01     4.90E-01     5.77E-01     6.42E-01     6.92E-01     7.06E-01     
In           49           0.00000E+00  0.00000E+00  5.15E-02     1.52E-01     2.62E-01     3.57E-01     4.29E-01     4.85E-01     5.28E-01     5.40E-01     
Sn           50           0.00000E+00  0.00000E+00  7.42E-02     2.14E-01     3.57E-01     4.73E-01     5.57E-01     6.21E-01     6.69E-01     6.82E-01     
Sb           51           0.00000E+00  0.00000E+00  2.71E-02     8.43E-02     1.52E-01     2.16E-01     2.67E-01     3.07E-01     3.39E-01     3.48E-01     
Te           52           0.00000E+00  0.00000E+00  1.95E-02     6.79E-02     1.29E-01     1.86E-01     2.33E-01     2.69E-01     2.98E-01     3.06E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  1.84E-02     3.73E-02     5.70E-02     7.40E-02     8.81E-02     9.94E-02     1.02E-01     
Xe           54           0.00000E+00  0.00000E+00  1.75E-02     6.17E-02     1.18E-01     1.72E-01     2.16E-01     2.52E-01     2.79E-01     2.87E-01     
Cs           55           0.00000E+00  0.00000E+00  2.89E-02     7.45E-02     1.28E-01     1.81E-01     2.25E-01     2.61E-01     2.91E-01     2.98E-01     
Ba           56           0.00000E+00  0.00000E+00  4.91E-02     1.74E-01     3.14E-01     4.32E-01     5.18E-01     5.82E-01     6.30E-01     6.42E-01     
La           57           0.00000E+00  0.00000E+00  3.29E-02     1.30E-01     2.51E-01     3.58E-01     4.40E-01     5.02E-01     5.48E-01     5.60E-01     
Ce           58           0.00000E+00  0.00000E+00  2.21E-02     9.92E-02     2.05E-01     3.07E-01     3.87E-01     4.48E-01     4.95E-01     5.07E-01     
Pr           59           0.00000E+00  0.00000E+00  1.18E-02     5.16E-02     1.12E-01     1.78E-01     2.34E-01     2.81E-01     3.18E-01     3.28E-01     
Nd           60           0.00000E+00  0.00000E+00  1.17E-02     5.88E-02     1.31E-01     2.08E-01     2.73E-01     3.24E-01     3.64E-01     3.75E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  2.73E-02     6.57E-02     1.11E-01     1.52E-01     1.87E-01     2.15E-01     2.23E-01     
