[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
C            6            -1.69E-01    3.90E-02     3.95E-01     6.67E-01     8.50E-01     9.86E-01     1.06E+00     1.06E+00     
N            7            3.38E-01     3.62E-01     3.62E-01     3.63E-01     3.63E-01     3.64E-01     3.67E-01     3.67E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  1.85E-02     2.96E-02     4.01E-02     4.64E-02     4.65E-02     
F            9            0.00000E+00  1.23E-01     4.45E-01     6.67E-01     8.09E-01     9.13E-01     9.72E-01     9.73E-01     
Ne           10           0.00000E+00  0.00000E+00  5.28E-02     1.17E-01     1.90E-01     2.62E-01     3.11E-01     3.12E-01     
Na           11           5.82E-02     7.76E-02     8.70E-02     1.01E-01     1.20E-01     1.40E-01     1.54E-01     1.55E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     1.85E-02     1.86E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     1.61E-02     1.88E-02     1.87E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.41E-02     1.84E-02     2.12E-02     2.12E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     1.87E-02     2.14E-02     2.14E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.04E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.68E-02     2.62E-02     3.62E-02     4.32E-02     4.33E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
