[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.70E-02     3.12E-02     4.43E-02     5.66E-02     6.51E-02     6.70E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  3.23E-02     6.13E-02     8.76E-02     1.10E-01     1.23E-01     1.23E-01     
Zn           30           0.00000E+00  0.00000E+00  1.16E-02     2.87E-02     4.60E-02     6.15E-02     7.01E-02     7.02E-02     
Ga           31           0.00000E+00  0.00000E+00  5.34E-02     1.25E-01     1.85E-01     2.33E-01     2.58E-01     2.59E-01     
Ge           32           0.00000E+00  0.00000E+00  4.80E-02     1.16E-01     1.75E-01     2.23E-01     2.49E-01     2.49E-01     
As           33           0.00000E+00  0.00000E+00  3.04E-02     7.73E-02     1.19E-01     1.55E-01     1.75E-01     1.75E-01     
Se           34           0.00000E+00  0.00000E+00  5.88E-02     1.41E-01     2.06E-01     2.58E-01     2.86E-01     2.85E-01     
Br           35           0.00000E+00  0.00000E+00  3.04E-02     8.33E-02     1.31E-01     1.73E-01     2.02E-01     2.15E-01     
Kr           36           0.00000E+00  0.00000E+00  5.99E-02     1.59E-01     2.36E-01     2.99E-01     3.33E-01     3.33E-01     
Rb           37           0.00000E+00  0.00000E+00  6.63E-02     1.50E-01     2.18E-01     2.79E-01     3.18E-01     3.19E-01     
Sr           38           0.00000E+00  0.00000E+00  2.30E-01     5.63E-01     7.24E-01     8.32E-01     8.94E-01     8.95E-01     
Y            39           0.00000E+00  0.00000E+00  1.84E-01     4.91E-01     6.45E-01     7.53E-01     8.19E-01     8.20E-01     
Zr           40           0.00000E+00  0.00000E+00  1.34E-01     4.34E-01     5.78E-01     6.75E-01     7.41E-01     7.42E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  3.63E-02     8.39E-02     1.32E-01     1.79E-01     2.21E-01     
Mo           42           0.00000E+00  0.00000E+00  6.36E-02     2.77E-01     3.92E-01     4.72E-01     5.31E-01     5.32E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  4.29E-02     2.12E-01     3.10E-01     3.80E-01     4.35E-01     4.39E-01     
Rh           45           0.00000E+00  0.00000E+00  1.96E-02     1.10E-01     1.68E-01     2.12E-01     2.49E-01     2.49E-01     
Pd           46           0.00000E+00  0.00000E+00  6.15E-02     2.90E-01     4.07E-01     4.86E-01     5.48E-01     5.49E-01     
Ag           47           0.00000E+00  0.00000E+00  1.59E-02     9.45E-02     1.47E-01     1.86E-01     2.20E-01     2.22E-01     
Cd           48           0.00000E+00  0.00000E+00  6.82E-02     3.25E-01     4.55E-01     5.41E-01     6.09E-01     6.10E-01     
In           49           0.00000E+00  0.00000E+00  4.10E-02     2.25E-01     3.28E-01     4.00E-01     4.59E-01     4.60E-01     
Sn           50           0.00000E+00  0.00000E+00  5.75E-02     3.17E-01     4.47E-01     5.32E-01     6.03E-01     6.04E-01     
Sb           51           0.00000E+00  0.00000E+00  1.75E-02     1.33E-01     2.07E-01     2.61E-01     3.12E-01     3.13E-01     
Te           52           0.00000E+00  0.00000E+00  1.36E-02     1.15E-01     1.78E-01     2.22E-01     2.63E-01     2.64E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  3.39E-02     5.63E-02     7.29E-02     9.04E-02     9.08E-02     
Xe           54           0.00000E+00  0.00000E+00  1.13E-02     1.09E-01     1.73E-01     2.18E-01     2.61E-01     2.62E-01     
Cs           55           0.00000E+00  0.00000E+00  1.36E-02     1.20E-01     1.96E-01     2.54E-01     3.11E-01     3.11E-01     
Ba           56           0.00000E+00  0.00000E+00  2.84E-02     3.29E-01     4.77E-01     5.68E-01     6.50E-01     6.52E-01     
La           57           0.00000E+00  0.00000E+00  1.60E-02     2.77E-01     4.14E-01     5.00E-01     5.79E-01     5.81E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  2.28E-01     3.55E-01     4.37E-01     5.13E-01     5.15E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  1.29E-01     2.20E-01     2.87E-01     3.51E-01     3.53E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  1.45E-01     2.40E-01     3.07E-01     3.71E-01     3.72E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  7.34E-02     1.30E-01     1.74E-01     2.17E-01     2.18E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     2.17E-02     3.06E-02     4.08E-02     4.11E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  3.51E-02     6.27E-02     8.55E-02     1.09E-01     1.10E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  2.06E-02     3.71E-02     5.02E-02     6.46E-02     6.49E-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  3.83E-02     6.82E-02     9.12E-02     1.16E-01     1.16E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  1.73E-02     3.19E-02     4.33E-02     5.62E-02     5.65E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  4.04E-02     7.40E-02     1.00E-01     1.28E-01     1.28E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  3.55E-02     6.62E-02     9.01E-02     1.15E-01     1.15E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  8.16E-02     1.45E-01     1.95E-01     2.42E-01     2.43E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  4.35E-02     8.21E-02     1.14E-01     1.46E-01     1.47E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  1.02E-01     1.78E-01     2.37E-01     2.92E-01     2.94E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  8.15E-02     1.46E-01     1.98E-01     2.49E-01     2.50E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  1.03E-01     1.81E-01     2.41E-01     2.99E-01     3.00E-01     
Re           75           -8.86E-02    -9.04E-02    -9.03E-02    -5.80E-02    -2.68E-02    0.00000E+00  3.30E-02     3.38E-02     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  2.11E-02     3.47E-02     4.61E-02     5.83E-02     5.86E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     2.06E-02     2.91E-02     3.81E-02     3.83E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.70E-02     2.49E-02     3.34E-02     3.36E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  7.56E-02     1.36E-01     1.87E-01     2.35E-01     2.36E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  9.40E-02     1.65E-01     2.22E-01     2.75E-01     2.76E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  3.04E-02     5.79E-02     8.50E-02     1.16E-01     1.16E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
