[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.56E-02     1.95E-02     2.38E-02     2.67E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.48E-02     1.90E-02     2.36E-02     2.83E-02     3.15E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.32E-02     1.70E-02     2.12E-02     2.53E-02     2.80E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     1.96E-02     2.51E-02     3.10E-02     3.67E-02     4.04E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.52E-02     1.82E-02     2.00E-02     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     2.00E-02     2.92E-02     3.88E-02     4.89E-02     5.93E-02     6.89E-02     7.47E-02     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.43E-02     2.67E-02     4.33E-02     6.35E-02     8.67E-02     1.12E-01     1.35E-01     1.50E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.45E-02     5.15E-02     8.21E-02     1.13E-01     1.43E-01     1.71E-01     1.96E-01     2.17E-01     2.29E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.44E-02     5.29E-02     8.72E-02     1.24E-01     1.60E-01     1.95E-01     2.28E-01     2.55E-01     2.70E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.60E-02     5.56E-02     9.02E-02     1.27E-01     1.63E-01     1.98E-01     2.31E-01     2.59E-01     2.74E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.67E-02     3.65E-02     5.96E-02     8.39E-02     1.08E-01     1.31E-01     1.54E-01     1.75E-01     1.86E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.32E-02     2.86E-02     4.70E-02     6.61E-02     8.41E-02     1.01E-01     1.18E-01     1.32E-01     1.40E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.31E-02     2.18E-02     3.11E-02     4.00E-02     4.85E-02     5.66E-02     6.38E-02     6.80E-02     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.88E-02     4.04E-02     6.55E-02     9.16E-02     1.16E-01     1.40E-01     1.61E-01     1.79E-01     1.90E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     2.09E-02     2.97E-02     3.83E-02     4.67E-02     5.47E-02     6.16E-02     6.56E-02     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.31E-02     5.06E-02     8.32E-02     1.17E-01     1.49E-01     1.80E-01     2.07E-01     2.30E-01     2.43E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48E-02     3.28E-02     5.48E-02     7.83E-02     1.01E-01     1.22E-01     1.41E-01     1.57E-01     1.66E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.70E-02     5.91E-02     9.69E-02     1.37E-01     1.75E-01     2.12E-01     2.46E-01     2.73E-01     2.89E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.26E-02     3.96E-02     5.94E-02     8.04E-02     1.03E-01     1.25E-01     1.44E-01     1.55E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.96E-02     3.24E-02     4.60E-02     5.95E-02     7.31E-02     8.61E-02     9.73E-02     1.04E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     1.85E-02     2.28E-02     2.70E-02     3.05E-02     3.27E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.10E-02     3.56E-02     5.16E-02     6.76E-02     8.35E-02     9.88E-02     1.12E-01     1.20E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.47E-02     4.64E-02     7.23E-02     9.91E-02     1.26E-01     1.52E-01     1.74E-01     1.87E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     5.79E-02     1.33E-01     2.16E-01     2.96E-01     3.67E-01     4.30E-01     4.84E-01     5.26E-01     5.48E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     5.43E-02     1.28E-01     2.12E-01     2.94E-01     3.67E-01     4.32E-01     4.88E-01     5.31E-01     5.54E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.44E-02     1.34E-01     2.25E-01     3.13E-01     3.91E-01     4.60E-01     5.18E-01     5.64E-01     5.89E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.03E-02     8.26E-02     1.51E-01     2.24E-01     2.93E-01     3.57E-01     4.11E-01     4.55E-01     4.78E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.01E-02     1.04E-01     1.81E-01     2.58E-01     3.27E-01     3.87E-01     4.39E-01     4.80E-01     5.01E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.16E-02     5.92E-02     1.07E-01     1.59E-01     2.11E-01     2.61E-01     3.06E-01     3.43E-01     3.63E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     2.21E-02     3.53E-02     4.98E-02     6.54E-02     8.08E-02     9.42E-02     1.02E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     2.88E-02     5.50E-02     8.64E-02     1.20E-01     1.56E-01     1.90E-01     2.19E-01     2.35E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.68E-02     3.21E-02     5.05E-02     7.09E-02     9.27E-02     1.14E-01     1.34E-01     1.44E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.74E-02     5.08E-02     7.79E-02     1.07E-01     1.38E-01     1.68E-01     1.95E-01     2.11E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.81E-02     3.30E-02     4.97E-02     6.75E-02     8.65E-02     1.05E-01     1.21E-01     1.26E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.32E-02     3.59E-02     6.60E-02     9.94E-02     1.34E-01     1.69E-01     2.04E-01     2.34E-01     2.50E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.31E-02     4.21E-02     6.28E-02     8.44E-02     1.07E-01     1.30E-01     1.51E-01     1.65E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.62E-02     7.35E-02     1.33E-01     1.95E-01     2.53E-01     3.08E-01     3.58E-01     4.00E-01     4.23E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.41E-02     4.20E-02     7.88E-02     1.17E-01     1.55E-01     1.91E-01     2.25E-01     2.54E-01     2.71E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.48E-02     9.63E-02     1.74E-01     2.51E-01     3.22E-01     3.86E-01     4.43E-01     4.90E-01     5.14E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.84E-02     8.12E-02     1.49E-01     2.18E-01     2.81E-01     3.40E-01     3.93E-01     4.36E-01     4.60E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.54E-02     1.02E-01     1.85E-01     2.65E-01     3.35E-01     3.97E-01     4.52E-01     4.97E-01     5.21E-01     
Re           75           -1.04E-02    -1.28E-02    -1.28E-02    -1.20E-02    0.00000E+00  1.80E-02     5.33E-02     9.29E-02     1.31E-01     1.67E-01     2.01E-01     2.31E-01     2.49E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.20E-02     4.31E-02     6.84E-02     9.43E-02     1.20E-01     1.44E-01     1.65E-01     1.76E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.41E-02     1.88E-02     2.34E-02     2.76E-02     3.01E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     2.28E-02     3.62E-02     5.10E-02     6.69E-02     8.27E-02     9.67E-02     1.05E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     2.08E-02     3.27E-02     4.54E-02     5.87E-02     7.19E-02     8.37E-02     9.05E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.14E-02     9.19E-02     1.71E-01     2.50E-01     3.22E-01     3.85E-01     4.39E-01     4.81E-01     5.04E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.74E-02     1.07E-01     1.93E-01     2.77E-01     3.53E-01     4.21E-01     4.79E-01     5.25E-01     5.49E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.91E-02     7.10E-02     1.49E-01     2.34E-01     3.14E-01     3.87E-01     4.48E-01     4.96E-01     5.22E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     2.64E-02     4.48E-02     6.70E-02     9.07E-02     1.13E-01     1.25E-01     
