[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
Rh           45           0.00000E+00  0.00000E+00  9.67E-02     2.50E-01     3.96E-01     5.07E-01     5.91E-01     6.57E-01     7.11E-01     7.46E-01     
Pd           46           0.00000E+00  0.00000E+00  2.59E-01     5.52E-01     7.74E-01     9.22E-01     1.03E+00     1.11E+00     1.17E+00     1.21E+00     
Ag           47           0.00000E+00  0.00000E+00  8.71E-02     2.29E-01     3.68E-01     4.75E-01     5.56E-01     6.20E-01     6.74E-01     7.09E-01     
Cd           48           0.00000E+00  0.00000E+00  3.10E-01     6.23E-01     8.52E-01     1.00E+00     1.11E+00     1.19E+00     1.26E+00     1.30E+00     
In           49           0.00000E+00  0.00000E+00  2.18E-01     4.79E-01     6.85E-01     8.28E-01     9.29E-01     1.01E+00     1.07E+00     1.11E+00     
Sn           50           0.00000E+00  0.00000E+00  3.25E-01     6.51E-01     8.86E-01     1.04E+00     1.15E+00     1.23E+00     1.29E+00     1.34E+00     
Sb           51           0.00000E+00  0.00000E+00  1.64E-01     3.66E-01     5.41E-01     6.68E-01     7.62E-01     8.35E-01     8.96E-01     9.35E-01     
Te           52           0.00000E+00  0.00000E+00  1.20E-01     3.15E-01     4.91E-01     6.19E-01     7.11E-01     7.81E-01     8.38E-01     8.73E-01     
I            53           0.00000E+00  0.00000E+00  3.84E-02     1.16E-01     2.05E-01     2.81E-01     3.42E-01     3.91E-01     4.33E-01     4.60E-01     
Xe           54           0.00000E+00  0.00000E+00  1.26E-01     3.24E-01     5.03E-01     6.32E-01     7.25E-01     7.96E-01     8.53E-01     8.89E-01     
Cs           55           0.00000E+00  0.00000E+00  2.33E-01     4.16E-01     5.74E-01     6.95E-01     7.89E-01     8.64E-01     9.28E-01     9.69E-01     
Ba           56           0.00000E+00  0.00000E+00  4.42E-01     8.62E-01     1.14E+00     1.31E+00     1.42E+00     1.50E+00     1.56E+00     1.60E+00     
La           57           0.00000E+00  0.00000E+00  4.14E-01     8.36E-01     1.12E+00     1.29E+00     1.40E+00     1.48E+00     1.54E+00     1.58E+00     
Ce           58           0.00000E+00  0.00000E+00  3.83E-01     8.11E-01     1.10E+00     1.27E+00     1.39E+00     1.47E+00     1.53E+00     1.56E+00     
Pr           59           0.00000E+00  0.00000E+00  2.71E-01     5.95E-01     8.44E-01     1.01E+00     1.12E+00     1.20E+00     1.26E+00     1.30E+00     
Nd           60           0.00000E+00  0.00000E+00  2.77E-01     6.57E-01     9.30E-01     1.10E+00     1.22E+00     1.29E+00     1.35E+00     1.38E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  1.53E-01     4.36E-01     6.74E-01     8.35E-01     9.43E-01     1.02E+00     1.07E+00     1.11E+00     
Eu           63           0.00000E+00  0.00000E+00  3.09E-02     1.11E-01     2.11E-01     2.98E-01     3.66E-01     4.18E-01     4.58E-01     4.82E-01     
Gd           64           0.00000E+00  0.00000E+00  8.49E-02     2.77E-01     4.64E-01     5.95E-01     6.85E-01     7.48E-01     7.95E-01     8.23E-01     
Tb           65           0.00000E+00  0.00000E+00  4.56E-02     1.75E-01     3.21E-01     4.34E-01     5.15E-01     5.73E-01     6.16E-01     6.40E-01     
Dy           66           0.00000E+00  0.00000E+00  8.03E-02     2.83E-01     4.80E-01     6.19E-01     7.14E-01     7.79E-01     8.27E-01     8.55E-01     
Ho           67           0.00000E+00  0.00000E+00  3.70E-02     1.48E-01     2.81E-01     3.87E-01     4.64E-01     5.21E-01     5.63E-01     5.88E-01     
Er           68           0.00000E+00  0.00000E+00  8.50E-02     2.89E-01     4.91E-01     6.35E-01     7.33E-01     8.02E-01     8.54E-01     8.83E-01     
Tm           69           0.00000E+00  0.00000E+00  6.37E-02     2.45E-01     4.40E-01     5.86E-01     6.87E-01     7.58E-01     8.10E-01     8.40E-01     
Yb           70           0.00000E+00  0.00000E+00  1.82E-01     4.97E-01     7.51E-01     9.19E-01     1.03E+00     1.11E+00     1.16E+00     1.19E+00     
Lu           71           0.00000E+00  0.00000E+00  1.00E-01     3.28E-01     5.46E-01     6.99E-01     8.04E-01     8.77E-01     9.31E-01     9.62E-01     
Hf           72           0.00000E+00  0.00000E+00  2.33E-01     5.87E-01     8.58E-01     1.03E+00     1.15E+00     1.22E+00     1.28E+00     1.31E+00     
Ta           73           0.00000E+00  0.00000E+00  1.81E-01     4.99E-01     7.63E-01     9.37E-01     1.05E+00     1.13E+00     1.19E+00     1.23E+00     
W            74           0.00000E+00  0.00000E+00  2.33E-01     5.99E-01     8.75E-01     1.05E+00     1.17E+00     1.25E+00     1.31E+00     1.34E+00     
Re           75           -6.14E-02    -6.25E-02    2.82E-02     1.95E-01     3.82E-01     5.26E-01     6.30E-01     7.06E-01     7.65E-01     8.00E-01     
Os           76           0.00000E+00  0.00000E+00  4.39E-02     1.65E-01     3.06E-01     4.17E-01     4.98E-01     5.55E-01     5.98E-01     6.23E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  2.97E-02     6.56E-02     1.01E-01     1.30E-01     1.53E-01     1.72E-01     1.83E-01     
Pt           78           0.00000E+00  0.00000E+00  2.57E-02     1.14E-01     2.27E-01     3.22E-01     3.93E-01     4.44E-01     4.83E-01     5.05E-01     
Au           79           0.00000E+00  0.00000E+00  2.16E-02     9.31E-02     1.91E-01     2.78E-01     3.46E-01     3.97E-01     4.37E-01     4.60E-01     
Hg           80           0.00000E+00  0.00000E+00  1.70E-01     5.06E-01     7.78E-01     9.55E-01     1.07E+00     1.15E+00     1.21E+00     1.24E+00     
Tl           81           0.00000E+00  0.00000E+00  2.03E-01     6.06E-01     9.11E-01     1.10E+00     1.23E+00     1.31E+00     1.37E+00     1.40E+00     
Pb           82           0.00000E+00  0.00000E+00  7.08E-02     3.56E-01     6.51E-01     8.56E-01     9.93E-01     1.09E+00     1.15E+00     1.19E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  2.21E-02     7.01E-02     1.31E-01     1.89E-01     2.40E-01     2.82E-01     3.08E-01     
