[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        
Tm           69           0.00000E+00  0.00000E+00  7.77E-02     2.31E-01     3.77E-01     4.16E-01     
Yb           70           0.00000E+00  0.00000E+00  2.41E-01     5.48E-01     7.65E-01     8.17E-01     
Lu           71           0.00000E+00  0.00000E+00  1.74E-01     4.37E-01     6.39E-01     6.88E-01     
Hf           72           0.00000E+00  0.00000E+00  2.78E-01     6.09E-01     8.37E-01     8.90E-01     
Ta           73           0.00000E+00  0.00000E+00  2.39E-01     5.49E-01     7.73E-01     8.27E-01     
W            74           0.00000E+00  0.00000E+00  2.92E-01     6.31E-01     8.62E-01     9.17E-01     
Re           75           -1.06E-01    -1.05E-01    1.86E-02     1.88E-01     3.45E-01     3.88E-01     
Os           76           0.00000E+00  0.00000E+00  7.71E-02     2.20E-01     3.53E-01     3.88E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  3.40E-02     6.57E-02     7.54E-02     
Pt           78           0.00000E+00  0.00000E+00  3.55E-02     1.24E-01     2.19E-01     2.45E-01     
Au           79           0.00000E+00  0.00000E+00  3.15E-02     1.05E-01     1.87E-01     2.11E-01     
Hg           80           0.00000E+00  0.00000E+00  2.37E-01     5.66E-01     7.97E-01     8.51E-01     
Tl           81           0.00000E+00  0.00000E+00  2.86E-01     6.63E-01     9.13E-01     9.67E-01     
Pb           82           0.00000E+00  0.00000E+00  1.36E-01     4.27E-01     6.71E-01     7.33E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  2.14E-02     5.17E-02     6.33E-02     
