[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       TDU_17       TDU_18       TDU_19       TDU_20       TDU_21       TDU_22       TDU_23       TDU_24       TDU_25       TDU_26       TDU_27       TDU_28       TDU_29       TDU_30       TDU_31       
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.24E-02     1.41E-02     1.58E-02     1.78E-02     2.01E-02     2.21E-02     2.42E-02     2.64E-02     2.92E-02     3.17E-02     3.41E-02     3.65E-02     3.90E-02     4.18E-02     4.48E-02     4.81E-02     5.14E-02     5.48E-02     5.76E-02     5.96E-02     6.09E-02     6.17E-02     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.21E-02     1.38E-02     1.56E-02     1.76E-02     2.01E-02     2.22E-02     2.43E-02     2.66E-02     2.94E-02     3.19E-02     3.43E-02     3.68E-02     3.92E-02     4.19E-02     4.48E-02     4.80E-02     5.11E-02     5.43E-02     5.69E-02     5.87E-02     6.00E-02     6.07E-02     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.38E-02     1.57E-02     1.77E-02     2.00E-02     2.28E-02     2.51E-02     2.75E-02     2.99E-02     3.31E-02     3.58E-02     3.84E-02     4.10E-02     4.36E-02     4.64E-02     4.95E-02     5.28E-02     5.60E-02     5.93E-02     6.20E-02     6.38E-02     6.50E-02     6.58E-02     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.22E-02     1.42E-02     1.58E-02     1.75E-02     1.93E-02     2.15E-02     2.35E-02     2.53E-02     2.71E-02     2.90E-02     3.10E-02     3.31E-02     3.55E-02     3.78E-02     4.02E-02     4.22E-02     4.36E-02     4.46E-02     4.52E-02     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.28E-02     1.43E-02     1.61E-02     1.82E-02     1.99E-02     2.17E-02     2.37E-02     2.61E-02     2.83E-02     3.03E-02     3.24E-02     3.45E-02     3.68E-02     3.94E-02     4.22E-02     4.50E-02     4.79E-02     5.02E-02     5.18E-02     5.28E-02     5.34E-02     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.14E-02     1.28E-02     1.46E-02     1.61E-02     1.77E-02     1.93E-02     2.09E-02     2.27E-02     2.47E-02     2.70E-02     2.92E-02     3.16E-02     3.34E-02     3.46E-02     3.54E-02     3.59E-02     
Eu           63           0.00000E+00  -1.58E-02    -1.58E-02    -1.58E-02    -1.57E-02    -1.56E-02    -1.55E-02    -1.53E-02    -1.51E-02    -1.49E-02    -1.47E-02    -1.44E-02    -1.43E-02    -1.41E-02    -1.38E-02    -1.35E-02    -1.32E-02    -1.30E-02    -1.27E-02    -1.23E-02    -1.20E-02    -1.16E-02    -1.13E-02    -1.09E-02    -1.05E-02    -1.01E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.15E-02     1.23E-02     1.31E-02     1.41E-02     1.50E-02     1.59E-02     1.68E-02     1.78E-02     1.89E-02     2.01E-02     2.14E-02     2.28E-02     2.42E-02     2.54E-02     2.61E-02     2.66E-02     2.69E-02     
Tb           65           0.00000E+00  -1.13E-02    -1.13E-02    -1.13E-02    -1.12E-02    -1.10E-02    -1.08E-02    -1.06E-02    -1.03E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.13E-02     1.22E-02     1.31E-02     1.42E-02     1.54E-02     1.66E-02     1.79E-02     1.90E-02     1.97E-02     2.02E-02     2.05E-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.13E-02     1.23E-02     1.31E-02     1.40E-02     1.49E-02     1.62E-02     1.72E-02     1.83E-02     1.93E-02     2.04E-02     2.17E-02     2.31E-02     2.46E-02     2.62E-02     2.78E-02     2.91E-02     3.00E-02     3.06E-02     3.09E-02     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.04E-02     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.18E-02     1.30E-02     1.43E-02     1.59E-02     1.79E-02     1.96E-02     2.15E-02     2.34E-02     2.60E-02     2.82E-02     3.04E-02     3.26E-02     3.49E-02     3.74E-02     4.02E-02     4.33E-02     4.65E-02     4.98E-02     5.24E-02     5.41E-02     5.52E-02     5.59E-02     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.30E-02     1.48E-02     1.68E-02     1.83E-02     1.93E-02     2.00E-02     2.04E-02     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.32E-02     1.51E-02     1.68E-02     1.86E-02     2.08E-02     2.34E-02     2.57E-02     2.82E-02     3.08E-02     3.42E-02     3.72E-02     4.01E-02     4.31E-02     4.62E-02     4.96E-02     5.33E-02     5.74E-02     6.16E-02     6.60E-02     6.94E-02     7.16E-02     7.30E-02     7.38E-02     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.35E-02     1.57E-02     1.81E-02     2.12E-02     2.39E-02     2.66E-02     2.94E-02     3.22E-02     3.53E-02     3.88E-02     4.27E-02     4.67E-02     5.08E-02     5.42E-02     5.66E-02     5.81E-02     5.90E-02     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.35E-02     1.53E-02     1.72E-02     1.95E-02     2.22E-02     2.45E-02     2.69E-02     2.96E-02     3.30E-02     3.60E-02     3.90E-02     4.20E-02     4.51E-02     4.85E-02     5.23E-02     5.65E-02     6.08E-02     6.52E-02     6.86E-02     7.09E-02     7.24E-02     7.31E-02     
Re           75           0.00000E+00  -2.18E-02    -2.18E-02    -2.18E-02    -2.17E-02    -2.12E-02    -2.05E-02    -1.97E-02    -1.88E-02    -1.79E-02    -1.71E-02    -1.63E-02    -1.55E-02    -1.47E-02    -1.37E-02    -1.25E-02    -1.15E-02    -1.05E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.14E-02     1.20E-02     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.12E-02     1.22E-02     1.32E-02     1.41E-02     1.47E-02     1.51E-02     1.53E-02     
Ir           77           0.00000E+00  -1.31E-02    -1.31E-02    -1.31E-02    -1.31E-02    -1.30E-02    -1.30E-02    -1.30E-02    -1.29E-02    -1.29E-02    -1.28E-02    -1.28E-02    -1.27E-02    -1.27E-02    -1.27E-02    -1.26E-02    -1.25E-02    -1.25E-02    -1.24E-02    -1.23E-02    -1.23E-02    -1.22E-02    -1.21E-02    -1.20E-02    -1.20E-02    -1.18E-02    -1.17E-02    -1.16E-02    -1.14E-02    -1.13E-02    -1.12E-02    -1.12E-02    -1.12E-02    
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.05E-02     1.09E-02     1.13E-02     1.18E-02     1.23E-02     1.29E-02     1.35E-02     1.41E-02     1.46E-02     1.49E-02     1.51E-02     1.52E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.23E-02     1.44E-02     1.66E-02     1.87E-02     2.07E-02     2.26E-02     2.45E-02     2.68E-02     2.95E-02     3.17E-02     3.41E-02     3.67E-02     3.99E-02     4.28E-02     4.56E-02     4.85E-02     5.14E-02     5.46E-02     5.82E-02     6.22E-02     6.63E-02     7.05E-02     7.39E-02     7.61E-02     7.75E-02     7.82E-02     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.33E-02     1.50E-02     1.68E-02     1.90E-02     2.14E-02     2.35E-02     2.56E-02     2.79E-02     3.06E-02     3.32E-02     3.55E-02     3.80E-02     4.05E-02     4.32E-02     4.63E-02     4.97E-02     5.33E-02     5.71E-02     6.04E-02     6.26E-02     6.41E-02     6.49E-02     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     2.07E-02     3.23E-02     4.47E-02     5.98E-02     7.47E-02     9.02E-02     1.04E-01     1.19E-01     1.34E-01     1.53E-01     1.68E-01     1.84E-01     2.00E-01     2.19E-01     2.36E-01     2.51E-01     2.65E-01     2.80E-01     2.95E-01     3.11E-01     3.29E-01     3.46E-01     3.62E-01     3.76E-01     3.85E-01     3.89E-01     3.92E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.67E-02     2.27E-02     2.95E-02     3.63E-02     4.37E-02     5.20E-02     6.28E-02     7.27E-02     8.30E-02     9.41E-02     1.08E-01     1.20E-01     1.32E-01     1.44E-01     1.55E-01     1.68E-01     1.82E-01     1.97E-01     2.12E-01     2.27E-01     2.39E-01     2.47E-01     2.51E-01     2.54E-01     
