[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Sr           38           0.00000E+00  0.00000E+00  4.22E-02     1.87E-01     3.31E-01     4.47E-01     5.37E-01     6.08E-01     6.69E-01     7.18E-01     7.59E-01     8.27E-01     
Y            39           0.00000E+00  0.00000E+00  5.47E-02     2.05E-01     3.54E-01     4.79E-01     5.81E-01     6.63E-01     7.36E-01     7.97E-01     8.47E-01     9.25E-01     
Zr           40           0.00000E+00  0.00000E+00  6.77E-02     2.39E-01     3.96E-01     5.21E-01     6.19E-01     6.99E-01     7.71E-01     8.32E-01     8.83E-01     9.57E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     2.75E-02     5.29E-02     8.71E-02     1.28E-01     1.73E-01     2.21E-01     2.69E-01     3.16E-01     
Mo           42           0.00000E+00  0.00000E+00  3.58E-02     1.63E-01     2.95E-01     4.03E-01     4.85E-01     5.52E-01     6.13E-01     6.68E-01     7.16E-01     7.82E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  2.12E-02     1.19E-01     2.33E-01     3.34E-01     4.13E-01     4.74E-01     5.27E-01     5.73E-01     6.14E-01     6.68E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  5.70E-02     1.19E-01     1.78E-01     2.28E-01     2.69E-01     3.05E-01     3.38E-01     3.67E-01     4.07E-01     
Pd           46           0.00000E+00  0.00000E+00  3.49E-02     1.68E-01     3.05E-01     4.19E-01     5.08E-01     5.77E-01     6.37E-01     6.89E-01     7.32E-01     7.91E-01     
Ag           47           0.00000E+00  0.00000E+00  1.06E-02     5.83E-02     1.18E-01     1.74E-01     2.22E-01     2.62E-01     2.99E-01     3.32E-01     3.62E-01     4.02E-01     
Cd           48           0.00000E+00  0.00000E+00  5.52E-02     2.21E-01     3.80E-01     5.08E-01     6.07E-01     6.84E-01     7.50E-01     8.05E-01     8.51E-01     9.13E-01     
In           49           0.00000E+00  0.00000E+00  3.45E-02     1.52E-01     2.78E-01     3.86E-01     4.71E-01     5.36E-01     5.92E-01     6.38E-01     6.76E-01     7.29E-01     
Sn           50           0.00000E+00  0.00000E+00  7.82E-02     2.75E-01     4.49E-01     5.83E-01     6.86E-01     7.67E-01     8.39E-01     9.01E-01     9.52E-01     1.02E+00     
Sb           51           0.00000E+00  0.00000E+00  4.22E-02     1.39E-01     2.48E-01     3.47E-01     4.33E-01     5.08E-01     5.77E-01     6.40E-01     6.93E-01     7.60E-01     
Te           52           0.00000E+00  0.00000E+00  2.36E-02     1.08E-01     2.00E-01     2.77E-01     3.39E-01     3.90E-01     4.37E-01     4.80E-01     5.17E-01     5.65E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  3.26E-02     6.81E-02     1.03E-01     1.32E-01     1.56E-01     1.78E-01     1.99E-01     2.17E-01     2.43E-01     
Xe           54           0.00000E+00  0.00000E+00  3.00E-02     1.23E-01     2.24E-01     3.12E-01     3.83E-01     4.42E-01     4.96E-01     5.44E-01     5.86E-01     6.38E-01     
Cs           55           0.00000E+00  0.00000E+00  6.11E-02     1.72E-01     3.05E-01     4.32E-01     5.36E-01     6.19E-01     6.92E-01     7.53E-01     8.04E-01     8.66E-01     
Ba           56           0.00000E+00  0.00000E+00  2.35E-01     6.22E-01     8.78E-01     1.05E+00     1.16E+00     1.25E+00     1.33E+00     1.39E+00     1.44E+00     1.50E+00     
La           57           0.00000E+00  0.00000E+00  2.57E-01     6.49E-01     9.05E-01     1.07E+00     1.19E+00     1.28E+00     1.35E+00     1.42E+00     1.47E+00     1.53E+00     
Ce           58           0.00000E+00  0.00000E+00  3.38E-01     7.64E-01     1.03E+00     1.19E+00     1.31E+00     1.40E+00     1.48E+00     1.54E+00     1.59E+00     1.65E+00     
Pr           59           0.00000E+00  0.00000E+00  2.59E-01     5.92E-01     8.36E-01     1.01E+00     1.14E+00     1.24E+00     1.32E+00     1.39E+00     1.45E+00     1.50E+00     
Nd           60           0.00000E+00  0.00000E+00  2.64E-01     6.62E-01     9.23E-01     1.09E+00     1.21E+00     1.30E+00     1.37E+00     1.43E+00     1.48E+00     1.53E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  2.00E-01     5.18E-01     7.43E-01     8.93E-01     1.01E+00     1.09E+00     1.17E+00     1.23E+00     1.29E+00     1.35E+00     
Eu           63           0.00000E+00  0.00000E+00  4.75E-02     1.58E-01     2.73E-01     3.66E-01     4.44E-01     5.12E-01     5.72E-01     6.26E-01     6.75E-01     7.26E-01     
Gd           64           0.00000E+00  0.00000E+00  1.34E-01     3.49E-01     5.19E-01     6.53E-01     7.62E-01     8.52E-01     9.32E-01     1.00E+00     1.07E+00     1.13E+00     
Tb           65           0.00000E+00  0.00000E+00  7.44E-02     2.36E-01     3.67E-01     4.69E-01     5.55E-01     6.30E-01     6.98E-01     7.59E-01     8.16E-01     8.73E-01     
Dy           66           0.00000E+00  0.00000E+00  1.27E-01     3.60E-01     5.34E-01     6.52E-01     7.45E-01     8.23E-01     8.94E-01     9.59E-01     1.02E+00     1.08E+00     
Ho           67           0.00000E+00  0.00000E+00  6.37E-02     2.13E-01     3.48E-01     4.45E-01     5.21E-01     5.85E-01     6.46E-01     7.03E-01     7.56E-01     8.10E-01     
Er           68           0.00000E+00  0.00000E+00  1.33E-01     3.86E-01     5.84E-01     7.18E-01     8.17E-01     8.95E-01     9.64E-01     1.03E+00     1.09E+00     1.15E+00     
