[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.71E-02     3.13E-02     4.72E-02     6.40E-02     8.12E-02     9.00E-02     9.35E-02     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  1.24E-02     4.68E-02     8.70E-02     1.28E-01     1.71E-01     2.12E-01     2.38E-01     2.44E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  1.29E-02     4.86E-02     1.01E-01     1.70E-01     2.51E-01     3.36E-01     3.89E-01     4.02E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  6.11E-02     2.07E-01     3.42E-01     4.47E-01     5.40E-01     6.21E-01     6.69E-01     6.79E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  5.91E-02     1.95E-01     3.33E-01     4.47E-01     5.55E-01     6.52E-01     7.15E-01     7.28E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  6.40E-02     1.85E-01     3.08E-01     4.12E-01     5.11E-01     6.05E-01     6.78E-01     6.93E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     2.25E-02     3.24E-02     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  4.20E-02     1.17E-01     2.00E-01     2.73E-01     3.44E-01     4.16E-01     4.81E-01     4.96E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  3.37E-02     9.25E-02     1.59E-01     2.20E-01     2.76E-01     3.32E-01     3.84E-01     3.97E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  1.56E-02     4.41E-02     7.90E-02     1.13E-01     1.46E-01     1.80E-01     2.13E-01     2.22E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  4.77E-02     1.25E-01     2.09E-01     2.83E-01     3.51E-01     4.18E-01     4.79E-01     4.93E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  1.47E-02     4.15E-02     7.43E-02     1.06E-01     1.37E-01     1.71E-01     2.03E-01     2.11E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  5.83E-02     1.49E-01     2.48E-01     3.36E-01     4.15E-01     4.92E-01     5.63E-01     5.78E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  3.83E-02     9.98E-02     1.71E-01     2.39E-01     3.01E-01     3.62E-01     4.20E-01     4.33E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  6.88E-02     1.66E-01     2.69E-01     3.63E-01     4.46E-01     5.28E-01     6.07E-01     6.24E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  2.62E-02     6.67E-02     1.19E-01     1.76E-01     2.33E-01     2.95E-01     3.62E-01     3.79E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  2.42E-02     5.97E-02     1.01E-01     1.42E-01     1.79E-01     2.20E-01     2.62E-01     2.73E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.81E-02     3.23E-02     4.73E-02     6.13E-02     7.66E-02     9.37E-02     9.86E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  2.53E-02     6.24E-02     1.07E-01     1.53E-01     1.95E-01     2.39E-01     2.85E-01     2.97E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  2.56E-02     6.84E-02     1.29E-01     2.01E-01     2.66E-01     3.33E-01     4.02E-01     4.20E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  1.69E-01     3.43E-01     5.01E-01     6.35E-01     7.34E-01     8.24E-01     8.93E-01     9.12E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  1.69E-01     3.43E-01     5.01E-01     6.36E-01     7.36E-01     8.27E-01     8.93E-01     9.13E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  1.85E-01     3.74E-01     5.42E-01     6.83E-01     7.86E-01     8.79E-01     9.41E-01     9.61E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  1.08E-01     2.47E-01     3.93E-01     5.30E-01     6.35E-01     7.31E-01     7.97E-01     8.18E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  1.48E-01     3.13E-01     4.67E-01     6.00E-01     6.97E-01     7.84E-01     8.41E-01     8.59E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  8.55E-02     1.99E-01     3.15E-01     4.23E-01     5.11E-01     5.94E-01     6.51E-01     6.69E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  1.65E-02     4.42E-02     7.97E-02     1.19E-01     1.57E-01     1.97E-01     2.28E-01     2.39E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  4.56E-02     1.06E-01     1.80E-01     2.60E-01     3.31E-01     4.04E-01     4.56E-01     4.74E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  2.68E-02     6.65E-02     1.13E-01     1.65E-01     2.13E-01     2.65E-01     3.04E-01     3.18E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  4.32E-02     1.04E-01     1.72E-01     2.42E-01     3.04E-01     3.69E-01     4.18E-01     4.36E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  3.24E-02     7.43E-02     1.21E-01     1.68E-01     2.10E-01     2.57E-01     2.85E-01     2.87E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  5.52E-02     1.33E-01     2.17E-01     2.98E-01     3.66E-01     4.35E-01     4.84E-01     5.01E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  3.38E-02     8.72E-02     1.44E-01     1.99E-01     2.46E-01     2.96E-01     3.35E-01     3.52E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  1.08E-01     2.46E-01     3.82E-01     5.02E-01     5.93E-01     6.78E-01     7.36E-01     7.56E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  6.12E-02     1.51E-01     2.50E-01     3.40E-01     4.10E-01     4.78E-01     5.24E-01     5.42E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  1.42E-01     3.09E-01     4.68E-01     6.04E-01     7.04E-01     7.96E-01     8.56E-01     8.76E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  1.17E-01     2.68E-01     4.15E-01     5.42E-01     6.36E-01     7.23E-01     7.81E-01     8.02E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  1.44E-01     3.21E-01     4.89E-01     6.27E-01     7.24E-01     8.11E-01     8.67E-01     8.87E-01     
Re           75           -1.58E-02    -1.83E-02    -1.83E-02    1.52E-02     8.42E-02     1.82E-01     2.80E-01     3.56E-01     4.26E-01     4.75E-01     4.96E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  3.53E-02     8.63E-02     1.50E-01     2.21E-01     2.80E-01     3.38E-01     3.77E-01     3.91E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     2.35E-02     3.77E-02     5.15E-02     6.67E-02     7.82E-02     8.27E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  1.94E-02     5.03E-02     8.72E-02     1.29E-01     1.68E-01     2.11E-01     2.41E-01     2.52E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  1.59E-02     4.39E-02     7.98E-02     1.17E-01     1.51E-01     1.87E-01     2.13E-01     2.22E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  1.40E-01     3.13E-01     4.77E-01     6.17E-01     7.18E-01     8.07E-01     8.61E-01     8.80E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  1.79E-01     3.81E-01     5.56E-01     6.99E-01     8.02E-01     8.93E-01     9.50E-01     9.70E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  9.83E-02     3.00E-01     5.16E-01     7.02E-01     8.34E-01     9.46E-01     1.01E+00     1.04E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.30E-02     6.84E-02     1.42E-01     2.23E-01     3.09E-01     3.72E-01     3.93E-01     
