[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     3.06E-02     6.04E-02     9.48E-02     1.29E-01     1.61E-01     1.92E-01     1.96E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.84E-02     6.18E-02     1.11E-01     1.71E-01     2.36E-01     3.02E-01     3.12E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  9.99E-02     2.52E-01     4.09E-01     5.39E-01     6.40E-01     7.20E-01     7.84E-01     7.93E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  9.73E-02     2.52E-01     4.18E-01     5.58E-01     6.71E-01     7.63E-01     8.40E-01     8.49E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  1.14E-01     2.89E-01     4.63E-01     6.05E-01     7.16E-01     8.08E-01     8.86E-01     8.95E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     2.74E-02     5.41E-02     9.10E-02     1.36E-01     1.86E-01     2.17E-01     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  8.13E-02     2.18E-01     3.64E-01     4.82E-01     5.74E-01     6.49E-01     7.13E-01     7.20E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  6.26E-02     1.74E-01     3.00E-01     4.08E-01     4.95E-01     5.65E-01     6.23E-01     6.31E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  3.09E-02     9.13E-02     1.68E-01     2.39E-01     2.99E-01     3.50E-01     3.93E-01     3.98E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  9.74E-02     2.54E-01     4.15E-01     5.43E-01     6.41E-01     7.20E-01     7.86E-01     7.93E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  2.80E-02     8.28E-02     1.53E-01     2.19E-01     2.75E-01     3.23E-01     3.64E-01     3.70E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  1.19E-01     3.04E-01     4.88E-01     6.33E-01     7.45E-01     8.34E-01     9.07E-01     9.16E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  7.96E-02     2.16E-01     3.66E-01     4.92E-01     5.92E-01     6.72E-01     7.39E-01     7.46E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  1.38E-01     3.44E-01     5.41E-01     6.93E-01     8.10E-01     9.05E-01     9.86E-01     9.95E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  5.61E-02     1.61E-01     2.92E-01     4.15E-01     5.21E-01     6.14E-01     6.97E-01     7.07E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  5.27E-02     1.50E-01     2.62E-01     3.58E-01     4.35E-01     4.99E-01     5.56E-01     5.63E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  1.58E-02     4.97E-02     9.68E-02     1.44E-01     1.86E-01     2.22E-01     2.55E-01     2.59E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  5.62E-02     1.61E-01     2.84E-01     3.91E-01     4.80E-01     5.55E-01     6.21E-01     6.28E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  5.76E-02     1.78E-01     3.43E-01     5.00E-01     6.30E-01     7.37E-01     8.28E-01     8.37E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  3.15E-01     6.65E-01     9.33E-01     1.12E+00     1.25E+00     1.35E+00     1.43E+00     1.44E+00     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  3.25E-01     6.85E-01     9.57E-01     1.14E+00     1.27E+00     1.37E+00     1.46E+00     1.46E+00     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  3.37E-01     7.15E-01     9.97E-01     1.19E+00     1.32E+00     1.42E+00     1.51E+00     1.52E+00     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  2.02E-01     5.08E-01     7.82E-01     9.84E-01     1.13E+00     1.25E+00     1.35E+00     1.36E+00     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  2.62E-01     6.04E-01     8.74E-01     1.06E+00     1.19E+00     1.29E+00     1.37E+00     1.38E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  1.56E-01     4.18E-01     6.54E-01     8.23E-01     9.48E-01     1.05E+00     1.13E+00     1.14E+00     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  3.05E-02     1.08E-01     2.12E-01     3.08E-01     3.90E-01     4.63E-01     5.29E-01     5.37E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  8.76E-02     2.52E-01     4.26E-01     5.75E-01     6.95E-01     7.96E-01     8.84E-01     8.94E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  5.25E-02     1.69E-01     2.96E-01     4.04E-01     4.95E-01     5.75E-01     6.48E-01     6.56E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  9.15E-02     2.66E-01     4.39E-01     5.72E-01     6.74E-01     7.59E-01     8.35E-01     8.44E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  4.81E-02     1.56E-01     2.82E-01     3.85E-01     4.67E-01     5.36E-01     5.98E-01     6.03E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  9.91E-02     2.94E-01     4.90E-01     6.39E-01     7.50E-01     8.38E-01     9.13E-01     9.21E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  8.51E-02     2.67E-01     4.50E-01     5.80E-01     6.73E-01     7.47E-01     8.13E-01     8.20E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  1.90E-01     4.88E-01     7.46E-01     9.27E-01     1.06E+00     1.16E+00     1.24E+00     1.25E+00     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  1.15E-01     3.36E-01     5.53E-01     7.11E-01     8.21E-01     9.07E-01     9.79E-01     9.87E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  2.43E-01     5.83E-01     8.59E-01     1.05E+00     1.18E+00     1.29E+00     1.37E+00     1.38E+00     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  2.01E-01     5.18E-01     7.88E-01     9.73E-01     1.10E+00     1.19E+00     1.27E+00     1.28E+00     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  2.53E-01     6.07E-01     8.93E-01     1.09E+00     1.22E+00     1.32E+00     1.40E+00     1.41E+00     
Re           75           -2.97E-02    -3.11E-02    -3.12E-02    4.26E-02     2.25E-01     4.50E-01     6.31E-01     7.60E-01     8.56E-01     9.33E-01     9.41E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  5.40E-02     1.72E-01     3.10E-01     4.31E-01     5.27E-01     6.06E-01     6.73E-01     6.80E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.31E-02     7.02E-02     1.11E-01     1.50E-01     1.86E-01     2.20E-01     2.24E-01     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  3.77E-02     1.28E-01     2.39E-01     3.37E-01     4.20E-01     4.89E-01     5.50E-01     5.57E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  3.06E-02     1.12E-01     2.21E-01     3.18E-01     3.94E-01     4.55E-01     5.06E-01     5.11E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  2.21E-01     5.56E-01     8.30E-01     1.02E+00     1.15E+00     1.25E+00     1.32E+00     1.33E+00     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  2.93E-01     6.89E-01     9.83E-01     1.18E+00     1.31E+00     1.40E+00     1.48E+00     1.48E+00     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  1.22E-01     4.41E-01     7.42E-01     9.54E-01     1.10E+00     1.20E+00     1.28E+00     1.29E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.87E-02     1.23E-01     2.33E-01     3.38E-01     4.29E-01     5.04E-01     5.13E-01     
