[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        
C            6            -1.53E-01    -9.96E-02    5.37E-02     2.32E-01     3.84E-01     4.92E-01     
N            7            3.20E-01     3.25E-01     3.25E-01     3.25E-01     3.24E-01     3.24E-01     
O            8            -1.77E-04    -3.62E-04    6.28E-04     2.54E-03     4.81E-03     6.55E-03     
F            9            3.55E-04     7.38E-03     8.67E-02     2.11E-01     3.26E-01     4.13E-01     
Ne           10           -1.01E-03    2.35E-03     1.71E-02     4.54E-02     8.08E-02     1.15E-01     
Na           11           3.29E-02     3.79E-02     4.43E-02     5.52E-02     6.78E-02     8.04E-02     
Mg           12           4.58E-07     8.03E-05     4.50E-04     1.30E-03     2.64E-03     4.21E-03     
Al           13           4.58E-07     6.76E-04     1.50E-03     2.90E-03     4.80E-03     6.65E-03     
Si           14           4.58E-07     2.06E-05     1.40E-04     3.30E-04     5.43E-04     7.12E-04     
P            15           4.58E-07     3.04E-04     2.09E-03     5.06E-03     8.61E-03     1.13E-02     
S            16           4.58E-07     1.52E-06     2.87E-05     8.37E-05     1.57E-04     2.18E-04     
Cl           17           3.38E-07     4.29E-04     2.81E-03     6.83E-03     1.13E-02     1.51E-02     
Ar           18           8.65E-07     -3.33E-05    -1.39E-04    -2.76E-04    -3.98E-04    -4.99E-04    
K            19           -3.94E-04    -1.63E-04    9.08E-04     2.63E-03     4.59E-03     6.29E-03     
Ca           20           2.26E-05     -2.07E-05    -1.66E-04    -3.48E-04    -5.08E-04    -6.35E-04    
Sc           21           4.58E-07     1.37E-03     5.53E-03     1.15E-02     1.83E-02     2.40E-02     
Ti           22           4.58E-07     5.77E-05     4.34E-04     1.07E-03     1.90E-03     2.54E-03     
V            23           4.58E-07     -1.11E-04    -4.48E-04    -7.85E-04    -9.23E-04    -8.60E-04    
Cr           24           4.58E-07     4.55E-07     6.08E-06     2.31E-05     4.72E-05     6.48E-05     
Mn           25           1.34E-08     -2.26E-05    -1.50E-04    -1.25E-04    2.07E-04     8.12E-04     
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           4.58E-07     2.24E-03     1.18E-02     2.48E-02     3.72E-02     4.69E-02     
Ni           28           4.58E-07     4.69E-05     6.79E-04     1.76E-03     2.92E-03     3.80E-03     
Cu           29           4.58E-07     2.65E-03     1.86E-02     4.17E-02     6.51E-02     8.30E-02     
Zn           30           4.58E-07     4.63E-04     5.52E-03     1.67E-02     3.10E-02     4.25E-02     
Ga           31           4.58E-07     2.82E-03     2.60E-02     7.16E-02     1.28E-01     1.68E-01     
Ge           32           4.58E-07     2.80E-03     2.29E-02     6.18E-02     1.13E-01     1.49E-01     
As           33           -3.54E-08    1.81E-03     1.42E-02     3.82E-02     7.19E-02     9.63E-02     
Se           34           3.73E-07     4.16E-03     2.91E-02     7.14E-02     1.28E-01     1.64E-01     
Br           35           -3.28E-08    2.14E-03     1.50E-02     3.96E-02     7.79E-02     1.07E-01     
Kr           36           4.58E-07     4.83E-03     3.05E-02     7.43E-02     1.36E-01     1.78E-01     
Rb           37           4.58E-07     1.14E-02     5.27E-02     9.62E-02     1.45E-01     1.77E-01     
Sr           38           4.58E-07     2.12E-02     9.87E-02     2.12E-01     3.75E-01     4.62E-01     
Y            39           4.58E-07     1.92E-02     8.69E-02     1.74E-01     2.96E-01     3.66E-01     
Zr           40           4.58E-07     1.18E-02     5.46E-02     1.13E-01     2.04E-01     2.59E-01     
Nb           41           4.58E-07     4.51E-04     2.45E-03     7.76E-03     1.75E-02     3.01E-02     
Mo           42           2.93E-07     3.27E-03     2.00E-02     4.59E-02     9.07E-02     1.21E-01     
Tc           43           \N           \N           \N           \N           \N           \N           
Ru           44           4.58E-07     1.70E-03     1.16E-02     2.79E-02     5.81E-02     7.98E-02     
Rh           45           4.58E-07     6.92E-04     4.67E-03     1.13E-02     2.45E-02     3.38E-02     
Pd           46           1.67E-07     2.91E-03     1.52E-02     3.62E-02     7.66E-02     1.05E-01     
Ag           47           4.58E-07     6.06E-04     3.14E-03     7.64E-03     1.76E-02     2.47E-02     
Cd           48           3.31E-07     3.59E-03     1.70E-02     3.92E-02     8.12E-02     1.11E-01     
In           49           4.58E-07     1.99E-03     1.00E-02     2.31E-02     4.86E-02     6.69E-02     
Sn           50           4.58E-07     2.65E-03     1.53E-02     3.58E-02     7.19E-02     9.77E-02     
Sb           51           4.58E-07     8.35E-04     4.51E-03     1.04E-02     2.14E-02     2.95E-02     
Te           52           4.21E-07     3.33E-04     2.85E-03     7.48E-03     1.67E-02     2.37E-02     
I            53           4.58E-07     -1.01E-04    -3.58E-05    1.44E-04     1.28E-03     1.81E-03     
Xe           54           4.58E-07     2.82E-04     2.27E-03     6.18E-03     1.41E-02     2.04E-02     
