[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.48e-02     7.99e-02     1.38e-01     1.93e-01     2.38e-01     2.50e-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  3.37e-02     1.07e-01     2.23e-01     3.50e-01     4.55e-01     5.32e-01     5.52e-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.78e-02     6.64e-02     1.18e-01     1.67e-01     2.08e-01     2.20e-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  3.53e-02     1.14e-01     2.43e-01     3.85e-01     4.98e-01     5.82e-01     6.04e-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  2.02e-02     7.05e-02     1.60e-01     2.69e-01     3.62e-01     4.33e-01     4.51e-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  2.73e-02     9.72e-02     2.21e-01     3.67e-01     4.83e-01     5.67e-01     5.88e-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.06e-02     8.14e-02     1.55e-01     2.23e-01     2.77e-01     2.91e-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.53e-02     6.92e-02     1.35e-01     1.95e-01     2.41e-01     2.53e-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.67e-02     3.79e-02     5.93e-02     7.75e-02     8.22e-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.17e-02     6.21e-02     1.26e-01     1.84e-01     2.30e-01     2.42e-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.05e-02     6.13e-02     1.30e-01     1.96e-01     2.50e-01     2.64e-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  1.45e-02     6.41e-02     1.81e-01     3.49e-01     4.75e-01     5.61e-01     5.82e-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.48e-02     1.39e-01     2.88e-01     4.04e-01     4.84e-01     5.03e-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.23e-02     1.08e-01     2.38e-01     3.45e-01     4.20e-01     4.40e-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.47e-02     5.47e-02     1.33e-01     2.07e-01     2.66e-01     2.81e-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.78e-02     6.45e-02     1.53e-01     2.33e-01     2.95e-01     3.11e-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.99e-02     7.77e-02     1.26e-01     1.66e-01     1.77e-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.79e-02     2.61e-02     2.83e-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45e-02     3.86e-02     6.33e-02     8.44e-02     9.03e-02     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.08e-02     3.61e-02     4.91e-02     5.27e-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.57e-02     4.21e-02     6.93e-02     9.20e-02     9.83e-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.67e-02     2.98e-02     4.11e-02     4.41e-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.68e-02     4.45e-02     7.41e-02     9.93e-02     1.06e-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.36e-02     3.85e-02     6.58e-02     8.94e-02     9.61e-02     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.65e-02     9.08e-02     1.46e-01     1.92e-01     2.05e-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.63e-02     4.77e-02     8.18e-02     1.12e-01     1.20e-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.32e-02     4.64e-02     1.14e-01     1.81e-01     2.35e-01     2.50e-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.51e-02     9.05e-02     1.48e-01     1.97e-01     2.10e-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.31e-02     4.68e-02     1.16e-01     1.85e-01     2.42e-01     2.57e-01     
Re           75           -6.26e-02    -6.38e-02    -6.40e-02    -6.43e-02    -6.26e-02    -5.37e-02    -3.16e-02    0.00000E+00  1.89e-02     2.63e-02     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.03e-02     3.32e-02     4.48e-02     4.80e-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.34e-02     2.34e-02     3.24e-02     3.51e-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.81e-02     2.63e-02     2.87e-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.29e-02     3.90e-02     9.26e-02     1.51e-01     2.00e-01     2.15e-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.52e-02     4.80e-02     1.18e-01     1.92e-01     2.53e-01     2.69e-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48e-02     4.54e-02     8.56e-02     1.23e-01     1.34e-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
