[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       TDU_17       TDU_18       TDU_19       TDU_20       TDU_21       TDU_22       TDU_23       TDU_24       TDU_25       TDU_26       TDU_27       TDU_28       TDU_29       TDU_30       TDU_31       TDU_32       TDU_33       TDU_34       TDU_35       TDU_36       TDU_37       TDU_38       TDU_39       TDU_40       TDU_41       
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.24E-02     1.41E-02     1.59E-02     1.79E-02     1.99E-02     2.21E-02     2.43E-02     2.68E-02     2.92E-02     3.17E-02     3.43E-02     3.70E-02     3.98E-02     4.25E-02     4.51E-02     4.80E-02     5.09E-02     5.37E-02     5.63E-02     5.87E-02     6.08E-02     6.25E-02     6.39E-02     6.49E-02     6.58E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.20E-02     1.40E-02     1.65E-02     1.94E-02     2.26E-02     2.59E-02     2.97E-02     3.39E-02     3.83E-02     4.32E-02     4.86E-02     5.47E-02     6.08E-02     6.74E-02     7.48E-02     8.17E-02     8.92E-02     9.67E-02     1.04E-01     1.12E-01     1.21E-01     1.30E-01     1.38E-01     1.46E-01     1.52E-01     1.58E-01     1.61E-01     1.64E-01     1.65E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.26E-02     1.44E-02     1.62E-02     1.83E-02     2.03E-02     2.25E-02     2.50E-02     2.77E-02     3.05E-02     3.32E-02     3.57E-02     3.79E-02     3.97E-02     4.10E-02     4.18E-02     4.24E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.40E-02     1.65E-02     1.94E-02     2.26E-02     2.63E-02     3.05E-02     3.53E-02     4.08E-02     4.67E-02     5.31E-02     5.93E-02     6.62E-02     7.32E-02     8.02E-02     8.85E-02     9.75E-02     1.06E-01     1.15E-01     1.23E-01     1.30E-01     1.35E-01     1.39E-01     1.42E-01     1.43E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.40E-02     1.71E-02     2.07E-02     2.49E-02     2.96E-02     3.51E-02     4.15E-02     4.84E-02     5.61E-02     6.34E-02     7.15E-02     7.98E-02     8.82E-02     9.81E-02     1.09E-01     1.19E-01     1.30E-01     1.39E-01     1.48E-01     1.55E-01     1.59E-01     1.62E-01     1.65E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.36E-02     1.70E-02     2.10E-02     2.56E-02     3.10E-02     3.70E-02     4.37E-02     5.01E-02     5.71E-02     6.44E-02     7.19E-02     8.07E-02     9.03E-02     9.99E-02     1.09E-01     1.18E-01     1.26E-01     1.32E-01     1.36E-01     1.39E-01     1.41E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     1.49E-02     1.84E-02     2.26E-02     2.75E-02     3.34E-02     4.03E-02     4.81E-02     5.69E-02     6.52E-02     7.45E-02     8.40E-02     9.39E-02     1.06E-01     1.18E-01     1.31E-01     1.44E-01     1.56E-01     1.66E-01     1.74E-01     1.80E-01     1.83E-01     1.86E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.37E-02     1.74E-02     2.16E-02     2.56E-02     3.01E-02     3.49E-02     3.98E-02     4.58E-02     5.25E-02     5.92E-02     6.58E-02     7.21E-02     7.77E-02     8.22E-02     8.53E-02     8.75E-02     8.92E-02     
