[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       TDU_17       TDU_18       TDU_19       TDU_20       TDU_21       TDU_22       TDU_23       TDU_24       TDU_25       TDU_26       TDU_27       TDU_28       TDU_29       TDU_30       TDU_31       TDU_32       TDU_33       TDU_34       TDU_35       TDU_36       TDU_37       TDU_38       TDU_39       TDU_40       TDU_41       
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     1.50E-02     1.85E-02     2.29E-02     2.81E-02     3.47E-02     4.25E-02     5.17E-02     6.23E-02     7.25E-02     8.38E-02     9.54E-02     1.08E-01     1.22E-01     1.39E-01     1.55E-01     1.71E-01     1.87E-01     2.00E-01     2.11E-01     2.18E-01     2.23E-01     2.26E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     1.65E-02     2.16E-02     2.76E-02     3.52E-02     4.41E-02     5.51E-02     6.82E-02     8.43E-02     1.03E-01     1.25E-01     1.50E-01     1.73E-01     1.98E-01     2.23E-01     2.49E-01     2.78E-01     3.10E-01     3.42E-01     3.72E-01     4.01E-01     4.25E-01     4.44E-01     4.56E-01     4.65E-01     4.71E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     1.44E-02     1.74E-02     2.10E-02     2.56E-02     3.13E-02     3.82E-02     4.65E-02     5.64E-02     6.63E-02     7.70E-02     8.81E-02     9.99E-02     1.14E-01     1.30E-01     1.47E-01     1.63E-01     1.79E-01     1.93E-01     2.04E-01     2.11E-01     2.16E-01     2.19E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.27E-02     1.56E-02     1.89E-02     2.32E-02     2.88E-02     3.55E-02     4.37E-02     5.37E-02     6.39E-02     7.50E-02     8.64E-02     9.86E-02     1.13E-01     1.30E-01     1.48E-01     1.65E-01     1.82E-01     1.97E-01     2.10E-01     2.18E-01     2.24E-01     2.27E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.32E-02     1.60E-02     1.97E-02     2.40E-02     2.95E-02     3.63E-02     4.34E-02     5.13E-02     5.95E-02     6.83E-02     7.93E-02     9.20E-02     1.06E-01     1.20E-01     1.33E-01     1.46E-01     1.56E-01     1.63E-01     1.67E-01     1.71E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.37E-02     1.66E-02     2.03E-02     2.43E-02     2.88E-02     3.34E-02     3.85E-02     4.50E-02     5.27E-02     6.10E-02     6.98E-02     7.87E-02     8.67E-02     9.33E-02     9.79E-02     1.01E-01     1.03E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.50E-02     1.83E-02     2.17E-02     2.54E-02     3.02E-02     3.60E-02     4.23E-02     4.90E-02     5.58E-02     6.20E-02     6.71E-02     7.06E-02     7.30E-02     7.47E-02     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     1.58E-02     1.93E-02     2.25E-02     2.52E-02     2.71E-02     2.85E-02     2.95E-02     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.31E-02     1.56E-02     1.88E-02     2.22E-02     2.62E-02     3.03E-02     3.49E-02     4.08E-02     4.78E-02     5.55E-02     6.37E-02     7.21E-02     7.97E-02     8.59E-02     9.02E-02     9.31E-02     9.51E-02     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.31E-02     1.56E-02     1.77E-02     1.91E-02     2.01E-02     2.08E-02     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.30E-02     1.52E-02     1.80E-02     2.16E-02     2.54E-02     3.00E-02     3.47E-02     3.98E-02     4.67E-02     5.50E-02     6.40E-02     7.38E-02     8.36E-02     9.26E-02     1.00E-01     1.05E-01     1.08E-01     1.11E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     1.48E-02     1.80E-02     2.22E-02     2.74E-02     3.32E-02     3.96E-02     4.61E-02     5.22E-02     5.74E-02     6.11E-02     6.36E-02     6.54E-02     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     1.36E-02     1.61E-02     1.93E-02     2.27E-02     2.67E-02     3.09E-02     3.55E-02     4.17E-02     4.93E-02     5.77E-02     6.68E-02     7.61E-02     8.47E-02     9.18E-02     9.65E-02     9.97E-02     1.02E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.24E-02     1.53E-02     1.89E-02     2.30E-02     2.76E-02     3.24E-02     3.71E-02     4.11E-02     4.40E-02     4.62E-02     4.78E-02     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.29E-02     1.50E-02     1.71E-02     1.92E-02     2.09E-02     2.20E-02     2.28E-02     2.33E-02     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.16E-02     1.33E-02     1.53E-02     1.76E-02     2.02E-02     2.28E-02     2.54E-02     2.75E-02     2.90E-02     3.00E-02     3.07E-02     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.29E-02     1.54E-02     1.84E-02     2.19E-02     2.58E-02     3.00E-02     3.40E-02     3.75E-02     4.01E-02     4.19E-02     4.33E-02     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.05E-02     1.07E-02     1.21E-02     1.27E-02     1.31E-02     1.33E-02     1.41E-02     1.45E-02     1.60E-02     1.77E-02     1.90E-02     2.09E-02     2.33E-02     2.55E-02     2.82E-02     3.12E-02     3.42E-02     3.73E-02     4.05E-02     4.40E-02     4.84E-02     5.34E-02     5.87E-02     6.45E-02     7.04E-02     7.59E-02     8.03E-02     8.33E-02     8.53E-02     8.68E-02     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.15E-02     1.21E-02     1.24E-02     1.26E-02     1.33E-02     1.37E-02     1.51E-02     1.68E-02     1.80E-02     1.98E-02     2.19E-02     2.38E-02     2.62E-02     2.87E-02     3.11E-02     3.35E-02     3.60E-02     3.85E-02     4.18E-02     4.54E-02     4.91E-02     5.31E-02     5.70E-02     6.09E-02     6.38E-02     6.58E-02     6.72E-02     6.83E-02     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.08E-02     1.10E-02     1.12E-02     1.28E-02     1.34E-02     1.37E-02     1.39E-02     1.45E-02     1.49E-02     1.64E-02     1.82E-02     1.96E-02     2.15E-02     2.36E-02     2.53E-02     2.77E-02     3.01E-02     3.23E-02     3.44E-02     3.65E-02     3.88E-02     4.15E-02     4.45E-02     4.75E-02     5.07E-02     5.37E-02     5.67E-02     5.89E-02     6.04E-02     6.15E-02     6.23E-02     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     1.16E-02     1.29E-02     1.44E-02     1.56E-02     1.72E-02     1.89E-02     2.04E-02     2.19E-02     2.34E-02     2.49E-02     2.69E-02     2.90E-02     3.12E-02     3.35E-02     3.58E-02     3.80E-02     3.98E-02     4.10E-02     4.20E-02     4.28E-02     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.07E-02     1.09E-02     1.11E-02     1.15E-02     1.19E-02     1.30E-02     1.44E-02     1.56E-02     1.72E-02     1.89E-02     2.04E-02     2.25E-02     2.45E-02     2.65E-02     2.83E-02     3.02E-02     3.21E-02     3.46E-02     3.74E-02     4.01E-02     4.30E-02     4.57E-02     4.85E-02     5.04E-02     5.18E-02     5.27E-02     5.35E-02     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.15E-02     1.31E-02     1.48E-02     1.64E-02     1.79E-02     1.95E-02     2.11E-02     2.32E-02     2.55E-02     2.78E-02     3.02E-02     3.25E-02     3.47E-02     3.63E-02     3.74E-02     3.81E-02     3.87E-02     
Eu           63           0.00000E+00  -1.64E-02    -1.64E-02    -1.64E-02    -1.64E-02    -1.63E-02    -1.62E-02    -1.60E-02    -1.58E-02    -1.56E-02    -1.54E-02    -1.54E-02    -1.54E-02    -1.54E-02    -1.54E-02    -1.52E-02    -1.52E-02    -1.52E-02    -1.52E-02    -1.51E-02    -1.51E-02    -1.49E-02    -1.47E-02    -1.45E-02    -1.43E-02    -1.39E-02    -1.37E-02    -1.33E-02    -1.29E-02    -1.26E-02    -1.23E-02    -1.19E-02    -1.16E-02    -1.11E-02    -1.05E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.12E-02     1.20E-02     1.27E-02     1.37E-02     1.48E-02     1.57E-02     1.66E-02     1.76E-02     1.85E-02     1.98E-02     2.13E-02     2.27E-02     2.42E-02     2.57E-02     2.71E-02     2.81E-02     2.88E-02     2.93E-02     2.97E-02     
Tb           65           0.00000E+00  -1.18E-02    -1.18E-02    -1.18E-02    -1.17E-02    -1.16E-02    -1.14E-02    -1.12E-02    -1.09E-02    -1.05E-02    -1.03E-02    -1.03E-02    -1.02E-02    -1.02E-02    -1.02E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.17E-02     1.26E-02     1.38E-02     1.51E-02     1.64E-02     1.78E-02     1.91E-02     2.04E-02     2.14E-02     2.21E-02     2.26E-02     2.29E-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.07E-02     1.14E-02     1.20E-02     1.29E-02     1.39E-02     1.47E-02     1.59E-02     1.71E-02     1.82E-02     1.93E-02     2.04E-02     2.16E-02     2.31E-02     2.49E-02     2.66E-02     2.84E-02     3.02E-02     3.19E-02     3.31E-02     3.39E-02     3.45E-02     3.49E-02     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     1.18E-02     1.25E-02     1.31E-02     1.35E-02     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.02E-02     1.04E-02     1.15E-02     1.20E-02     1.22E-02     1.23E-02     1.28E-02     1.31E-02     1.43E-02     1.58E-02     1.72E-02     1.89E-02     2.09E-02     2.27E-02     2.51E-02     2.76E-02     2.98E-02     3.21E-02     3.44E-02     3.68E-02     4.00E-02     4.36E-02     4.71E-02     5.08E-02     5.43E-02     5.78E-02     6.02E-02     6.17E-02     6.28E-02     6.36E-02     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.25E-02     1.46E-02     1.67E-02     1.88E-02     2.09E-02     2.24E-02     2.33E-02     2.40E-02     2.45E-02     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.18E-02     1.23E-02     1.26E-02     1.28E-02     1.31E-02     1.45E-02     1.52E-02     1.55E-02     1.57E-02     1.63E-02     1.68E-02     1.85E-02     2.05E-02     2.23E-02     2.47E-02     2.74E-02     2.97E-02     3.30E-02     3.63E-02     3.93E-02     4.23E-02     4.53E-02     4.84E-02     5.26E-02     5.74E-02     6.22E-02     6.70E-02     7.16E-02     7.61E-02     7.92E-02     8.12E-02     8.25E-02     8.34E-02     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.24E-02     1.49E-02     1.70E-02     2.00E-02     2.31E-02     2.59E-02     2.87E-02     3.15E-02     3.44E-02     3.84E-02     4.29E-02     4.74E-02     5.21E-02     5.66E-02     6.12E-02     6.44E-02     6.65E-02     6.81E-02     6.92E-02     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.06E-02     1.08E-02     1.11E-02     1.25E-02     1.33E-02     1.36E-02     1.38E-02     1.45E-02     1.49E-02     1.66E-02     1.86E-02     2.06E-02     2.30E-02     2.57E-02     2.80E-02     3.13E-02     3.46E-02     3.76E-02     4.07E-02     4.36E-02     4.68E-02     5.10E-02     5.59E-02     6.06E-02     6.55E-02     7.01E-02     7.47E-02     7.78E-02     7.97E-02     8.09E-02     8.18E-02     
Re           75           0.00000E+00  -2.34E-02    -2.34E-02    -2.34E-02    -2.33E-02    -2.29E-02    -2.22E-02    -2.14E-02    -2.06E-02    -1.96E-02    -1.91E-02    -1.89E-02    -1.87E-02    -1.87E-02    -1.86E-02    -1.79E-02    -1.76E-02    -1.75E-02    -1.74E-02    -1.71E-02    -1.69E-02    -1.62E-02    -1.53E-02    -1.45E-02    -1.34E-02    -1.22E-02    -1.11E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     1.35E-02     1.47E-02     1.55E-02     1.62E-02     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.22E-02     1.34E-02     1.45E-02     1.57E-02     1.65E-02     1.70E-02     1.74E-02     1.76E-02     
Ir           77           0.00000E+00  -1.37E-02    -1.37E-02    -1.37E-02    -1.37E-02    -1.37E-02    -1.37E-02    -1.36E-02    -1.36E-02    -1.35E-02    -1.35E-02    -1.35E-02    -1.35E-02    -1.35E-02    -1.35E-02    -1.35E-02    -1.35E-02    -1.35E-02    -1.36E-02    -1.36E-02    -1.36E-02    -1.36E-02    -1.35E-02    -1.35E-02    -1.34E-02    -1.34E-02    -1.33E-02    -1.32E-02    -1.31E-02    -1.30E-02    -1.30E-02    -1.29E-02    -1.28E-02    -1.27E-02    -1.25E-02    -1.23E-02    -1.22E-02    -1.20E-02    -1.18E-02    -1.17E-02    -1.16E-02    -1.16E-02    -1.15E-02    
