[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        
Nd           60           0.00000E+00  4.29E-01     8.80E-01     1.16E+00     1.35E+00     1.46E+00     1.48E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  3.48E-01     7.33E-01     9.86E-01     1.15E+00     1.26E+00     1.27E+00     
Eu           63           0.00000E+00  8.88E-02     2.55E-01     4.10E-01     5.31E-01     6.16E-01     6.27E-01     
Gd           64           0.00000E+00  2.49E-01     5.29E-01     7.38E-01     8.80E-01     9.76E-01     9.88E-01     
Tb           65           0.00000E+00  1.54E-01     3.82E-01     5.66E-01     6.94E-01     7.81E-01     7.92E-01     
Dy           66           0.00000E+00  2.40E-01     5.56E-01     7.76E-01     9.21E-01     1.01E+00     1.03E+00     
Ho           67           0.00000E+00  1.27E-01     3.44E-01     5.28E-01     6.57E-01     7.44E-01     7.54E-01     
Er           68           0.00000E+00  2.48E-01     5.73E-01     8.09E-01     9.63E-01     1.06E+00     1.08E+00     
Tm           69           0.00000E+00  1.85E-01     5.04E-01     7.49E-01     9.10E-01     1.01E+00     1.02E+00     
Yb           70           0.00000E+00  4.39E-01     8.53E-01     1.12E+00     1.29E+00     1.40E+00     1.41E+00     
Lu           71           0.00000E+00  2.62E-01     6.25E-01     8.81E-01     1.05E+00     1.16E+00     1.17E+00     
Hf           72           0.00000E+00  5.56E-01     9.89E-01     1.26E+00     1.43E+00     1.54E+00     1.56E+00     
Ta           73           0.00000E+00  4.41E-01     8.86E-01     1.17E+00     1.35E+00     1.46E+00     1.48E+00     
W            74           0.00000E+00  5.48E-01     1.02E+00     1.30E+00     1.47E+00     1.59E+00     1.60E+00     
Re           75           -8.82E-02    1.84E-01     5.08E-01     7.56E-01     9.33E-01     1.05E+00     1.07E+00     
Os           76           0.00000E+00  1.50E-01     3.98E-01     6.02E-01     7.44E-01     8.40E-01     8.51E-01     
Ir           77           0.00000E+00  2.87E-02     9.82E-02     1.79E-01     2.50E-01     3.06E-01     3.14E-01     
Pt           78           0.00000E+00  1.15E-01     3.24E-01     5.06E-01     6.37E-01     7.25E-01     7.36E-01     
Au           79           0.00000E+00  8.49E-02     2.76E-01     4.56E-01     5.91E-01     6.84E-01     6.95E-01     
Hg           80           0.00000E+00  4.48E-01     9.37E-01     1.24E+00     1.42E+00     1.54E+00     1.56E+00     
Tl           81           0.00000E+00  5.39E-01     1.10E+00     1.42E+00     1.62E+00     1.74E+00     1.75E+00     
Pb           82           0.00000E+00  5.65E-01     1.24E+00     1.59E+00     1.79E+00     1.91E+00     1.93E+00     
Bi           83           0.00000E+00  1.15E-01     4.66E-01     7.52E-01     9.42E-01     1.06E+00     1.08E+00     
