[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  2.43E-02     8.19E-02     1.55E-01     2.32E-01     3.02E-01     3.61E-01     4.04E-01     4.10E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.31E-02     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  1.54E-02     5.40E-02     1.06E-01     1.62E-01     2.13E-01     2.57E-01     2.89E-01     2.94E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     4.31E-02     8.51E-02     1.31E-01     1.74E-01     2.11E-01     2.37E-01     2.42E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.01E-02     4.07E-02     6.44E-02     8.77E-02     1.08E-01     1.23E-01     1.26E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  1.75E-02     6.06E-02     1.17E-01     1.76E-01     2.31E-01     2.77E-01     3.09E-01     3.14E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.91E-02     3.91E-02     6.19E-02     8.42E-02     1.04E-01     1.18E-01     1.21E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  2.13E-02     7.39E-02     1.43E-01     2.16E-01     2.83E-01     3.39E-01     3.77E-01     3.83E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     4.87E-02     9.68E-02     1.50E-01     2.01E-01     2.44E-01     2.74E-01     2.79E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  2.49E-02     8.59E-02     1.65E-01     2.47E-01     3.21E-01     3.83E-01     4.26E-01     4.33E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.30E-02     6.83E-02     1.11E-01     1.56E-01     1.97E-01     2.29E-01     2.35E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.00E-02     6.01E-02     9.34E-02     1.26E-01     1.54E-01     1.75E-01     1.78E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.87E-02     3.04E-02     4.22E-02     5.29E-02     6.10E-02     6.24E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.12E-02     6.39E-02     1.01E-01     1.39E-01     1.71E-01     1.95E-01     1.99E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.29E-02     7.41E-02     1.28E-01     1.86E-01     2.38E-01     2.77E-01     2.84E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  5.02E-02     1.80E-01     3.33E-01     4.74E-01     5.90E-01     6.78E-01     7.37E-01     7.45E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  4.55E-02     1.71E-01     3.25E-01     4.68E-01     5.85E-01     6.76E-01     7.36E-01     7.45E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  4.31E-02     1.74E-01     3.39E-01     4.91E-01     6.15E-01     7.09E-01     7.71E-01     7.81E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  2.25E-02     1.03E-01     2.24E-01     3.55E-01     4.72E-01     5.66E-01     6.29E-01     6.39E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  3.01E-02     1.33E-01     2.73E-01     4.11E-01     5.28E-01     6.17E-01     6.75E-01     6.84E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  1.51E-02     7.48E-02     1.68E-01     2.68E-01     3.59E-01     4.35E-01     4.88E-01     4.96E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.46E-02     3.70E-02     6.58E-02     9.68E-02     1.26E-01     1.50E-01     1.54E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.75E-02     8.63E-02     1.48E-01     2.13E-01     2.71E-01     3.15E-01     3.21E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.29E-02     5.36E-02     9.16E-02     1.33E-01     1.71E-01     2.01E-01     2.06E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.64E-02     8.44E-02     1.41E-01     1.97E-01     2.49E-01     2.88E-01     2.96E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.48E-02     5.69E-02     9.40E-02     1.31E-01     1.63E-01     1.84E-01     1.81E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.60E-02     1.06E-01     1.76E-01     2.43E-01     3.00E-01     3.41E-01     3.48E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.97E-02     7.11E-02     1.17E-01     1.62E-01     2.02E-01     2.32E-01     2.39E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  1.79E-02     9.01E-02     2.03E-01     3.21E-01     4.23E-01     5.05E-01     5.61E-01     5.70E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.12E-02     1.24E-01     2.05E-01     2.80E-01     3.41E-01     3.85E-01     3.92E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  2.36E-02     1.17E-01     2.55E-01     3.95E-01     5.14E-01     6.05E-01     6.65E-01     6.74E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  1.81E-02     9.75E-02     2.21E-01     3.49E-01     4.59E-01     5.44E-01     6.02E-01     6.11E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  2.26E-02     1.19E-01     2.66E-01     4.13E-01     5.35E-01     6.25E-01     6.84E-01     6.93E-01     
Re           75           -1.70E-02    -1.86E-02    -1.87E-02    -1.42E-02    1.19E-02     7.14E-02     1.53E-01     2.33E-01     2.99E-01     3.46E-01     3.56E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.73E-02     6.58E-02     1.17E-01     1.72E-01     2.20E-01     2.54E-01     2.60E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.79E-02     2.80E-02     3.82E-02     4.63E-02     4.77E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.46E-02     3.68E-02     6.50E-02     9.59E-02     1.26E-01     1.48E-01     1.52E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     3.30E-02     6.01E-02     8.83E-02     1.14E-01     1.34E-01     1.37E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  1.86E-02     1.05E-01     2.43E-01     3.85E-01     5.07E-01     6.00E-01     6.60E-01     6.69E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  2.18E-02     1.28E-01     2.86E-01     4.39E-01     5.66E-01     6.63E-01     7.26E-01     7.36E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.67E-02     1.96E-01     3.47E-01     4.82E-01     5.86E-01     6.53E-01     6.63E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     3.64E-02     6.91E-02     1.05E-01     1.35E-01     1.40E-01     
