[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
Sr           38           0.00000E+00  0.00000E+00  7.03E-02     5.71E-01     9.55E-01     1.17E+00     1.30E+00     1.39E+00     1.45E+00     1.50E+00     1.55E+00     1.57E+00     
Y            39           0.00000E+00  0.00000E+00  8.42E-02     6.13E-01     9.58E-01     1.15E+00     1.28E+00     1.36E+00     1.42E+00     1.47E+00     1.52E+00     1.54E+00     
Zr           40           0.00000E+00  0.00000E+00  9.90E-02     6.21E-01     9.69E-01     1.17E+00     1.29E+00     1.37E+00     1.44E+00     1.48E+00     1.53E+00     1.55E+00     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  8.01E-02     2.38E-01     4.05E-01     5.48E-01     6.63E-01     7.58E-01     8.36E-01     9.01E-01     9.54E-01     
Mo           42           0.00000E+00  0.00000E+00  5.46E-02     4.08E-01     7.48E-01     9.54E-01     1.08E+00     1.17E+00     1.24E+00     1.29E+00     1.33E+00     1.35E+00     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  3.18E-02     3.16E-01     6.27E-01     8.30E-01     9.62E-01     1.05E+00     1.12E+00     1.17E+00     1.22E+00     1.24E+00     
Rh           45           0.00000E+00  0.00000E+00  1.38E-02     1.77E-01     3.99E-01     5.62E-01     6.74E-01     7.53E-01     8.13E-01     8.60E-01     9.01E-01     9.23E-01     
Pd           46           0.00000E+00  0.00000E+00  3.95E-02     4.47E-01     7.93E-01     1.00E+00     1.13E+00     1.22E+00     1.29E+00     1.34E+00     1.39E+00     1.41E+00     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  1.72E-01     3.83E-01     5.38E-01     6.46E-01     7.22E-01     7.81E-01     8.28E-01     8.69E-01     8.91E-01     
Cd           48           0.00000E+00  0.00000E+00  3.67E-02     5.31E-01     8.90E-01     1.10E+00     1.23E+00     1.32E+00     1.39E+00     1.44E+00     1.49E+00     1.51E+00     
In           49           0.00000E+00  0.00000E+00  1.87E-02     3.87E-01     7.11E-01     9.12E-01     1.04E+00     1.13E+00     1.20E+00     1.25E+00     1.30E+00     1.32E+00     
Sn           50           0.00000E+00  0.00000E+00  2.65E-02     5.42E-01     9.19E-01     1.14E+00     1.27E+00     1.37E+00     1.44E+00     1.49E+00     1.54E+00     1.56E+00     
Sb           51           0.00000E+00  0.00000E+00  1.26E-02     3.20E-01     5.90E-01     7.69E-01     8.90E-01     9.76E-01     1.04E+00     1.10E+00     1.15E+00     1.17E+00     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  2.11E-01     4.89E-01     6.82E-01     8.10E-01     8.98E-01     9.63E-01     1.01E+00     1.06E+00     1.08E+00     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  6.85E-02     1.98E-01     3.17E-01     4.08E-01     4.76E-01     5.30E-01     5.73E-01     6.11E-01     6.31E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  2.28E-01     5.07E-01     7.02E-01     8.32E-01     9.22E-01     9.90E-01     1.04E+00     1.09E+00     1.11E+00     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  3.96E-01     6.38E-01     8.04E-01     9.28E-01     1.02E+00     1.09E+00     1.16E+00     1.21E+00     1.24E+00     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  7.03E-01     1.19E+00     1.46E+00     1.62E+00     1.73E+00     1.81E+00     1.87E+00     1.92E+00     1.94E+00     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  6.93E-01     1.19E+00     1.47E+00     1.63E+00     1.74E+00     1.82E+00     1.88E+00     1.93E+00     1.95E+00     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  7.06E-01     1.23E+00     1.51E+00     1.68E+00     1.79E+00     1.87E+00     1.93E+00     1.97E+00     2.00E+00     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  5.76E-01     1.00E+00     1.26E+00     1.42E+00     1.53E+00     1.61E+00     1.68E+00     1.73E+00     1.75E+00     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  5.74E-01     1.08E+00     1.36E+00     1.53E+00     1.64E+00     1.72E+00     1.78E+00     1.83E+00     1.85E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  4.07E-01     8.49E-01     1.11E+00     1.28E+00     1.39E+00     1.46E+00     1.52E+00     1.56E+00     1.59E+00     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  1.09E-01     3.14E-01     4.89E-01     6.18E-01     7.09E-01     7.76E-01     8.26E-01     8.67E-01     8.87E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  2.72E-01     6.27E-01     8.59E-01     1.00E+00     1.10E+00     1.17E+00     1.22E+00     1.26E+00     1.28E+00     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  1.58E-01     4.49E-01     6.64E-01     8.07E-01     9.00E-01     9.66E-01     1.01E+00     1.05E+00     1.07E+00     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  2.51E-01     6.35E-01     8.83E-01     1.04E+00     1.14E+00     1.21E+00     1.26E+00     1.30E+00     1.32E+00     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  1.28E-01     3.94E-01     6.04E-01     7.47E-01     8.42E-01     9.10E-01     9.59E-01     9.99E-01     1.02E+00     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  2.50E-01     6.42E-01     9.00E-01     1.06E+00     1.17E+00     1.24E+00     1.30E+00     1.34E+00     1.36E+00     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  1.79E-01     5.63E-01     8.34E-01     1.01E+00     1.12E+00     1.19E+00     1.25E+00     1.29E+00     1.31E+00     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  4.47E-01     9.33E-01     1.21E+00     1.39E+00     1.50E+00     1.58E+00     1.63E+00     1.68E+00     1.70E+00     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  2.65E-01     6.94E-01     9.70E-01     1.14E+00     1.26E+00     1.33E+00     1.39E+00     1.43E+00     1.45E+00     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  5.83E-01     1.07E+00     1.35E+00     1.53E+00     1.64E+00     1.71E+00     1.77E+00     1.81E+00     1.83E+00     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  4.69E-01     9.61E-01     1.25E+00     1.43E+00     1.55E+00     1.63E+00     1.68E+00     1.73E+00     1.75E+00     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  5.80E-01     1.10E+00     1.39E+00     1.56E+00     1.68E+00     1.75E+00     1.81E+00     1.86E+00     1.88E+00     
Re           75           -5.83E-02    -5.97E-02    -5.95E-02    2.21E-01     5.67E-01     8.21E-01     9.94E-01     1.11E+00     1.20E+00     1.26E+00     1.31E+00     1.34E+00     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.51E-01     4.49E-01     6.72E-01     8.20E-01     9.16E-01     9.83E-01     1.03E+00     1.07E+00     1.09E+00     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  2.87E-02     1.15E-01     2.10E-01     2.90E-01     3.49E-01     3.94E-01     4.29E-01     4.57E-01     4.71E-01     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  1.04E-01     3.52E-01     5.55E-01     6.94E-01     7.86E-01     8.50E-01     8.97E-01     9.33E-01     9.51E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  7.79E-02     2.94E-01     4.90E-01     6.31E-01     7.27E-01     7.95E-01     8.45E-01     8.84E-01     9.03E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  4.77E-01     1.01E+00     1.31E+00     1.49E+00     1.60E+00     1.68E+00     1.73E+00     1.78E+00     1.80E+00     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  5.76E-01     1.17E+00     1.49E+00     1.68E+00     1.79E+00     1.87E+00     1.92E+00     1.96E+00     1.98E+00     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  3.62E-01     9.74E-01     1.33E+00     1.53E+00     1.66E+00     1.74E+00     1.80E+00     1.84E+00     1.86E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  2.62E-02     1.77E-01     3.78E-01     5.47E-01     6.69E-01     7.57E-01     8.20E-01     8.68E-01     8.90E-01     
