[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       
C            6            -1.98E-01    -1.81E-01    -1.45E-01    -8.37E-02    0.00000E+00  6.61E-02     1.37E-01     2.00E-01     2.54E-01     3.01E-01     3.41E-01     3.78E-01     4.13E-01     4.50E-01     4.86E-01     5.21E-01     
N            7            4.01E-01     4.01E-01     4.01E-01     4.01E-01     4.01E-01     4.00E-01     3.99E-01     3.98E-01     3.97E-01     3.95E-01     3.94E-01     3.93E-01     3.92E-01     3.91E-01     3.90E-01     3.88E-01     
O            8            -1.09E-02    -1.12E-02    -1.14E-02    -1.14E-02    -1.13E-02    -1.12E-02    -1.12E-02    -1.13E-02    -1.16E-02    -1.21E-02    -1.26E-02    -1.32E-02    -1.40E-02    -1.49E-02    -1.59E-02    -1.71E-02    
F            9            -1.96E-02    -1.73E-02    0.00000E+00  3.60E-02     7.75E-02     1.24E-01     1.72E-01     2.20E-01     2.66E-01     3.09E-01     3.48E-01     3.87E-01     4.25E-01     4.65E-01     5.08E-01     5.48E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  1.65E-02     3.17E-02     5.04E-02     7.09E-02     9.25E-02     1.14E-01     1.35E-01     1.55E-01     1.74E-01     1.95E-01     2.17E-01     2.41E-01     2.64E-01     
Na           11           1.02E-01     1.03E-01     1.06E-01     1.11E-01     1.18E-01     1.27E-01     1.37E-01     1.49E-01     1.60E-01     1.72E-01     1.83E-01     1.95E-01     2.07E-01     2.21E-01     2.37E-01     2.52E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     1.57E-02     1.83E-02     2.06E-02     2.26E-02     2.45E-02     2.63E-02     2.82E-02     3.00E-02     3.16E-02     
