[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  2.39E-02     4.81E-02     7.51E-02     1.01E-01     1.25E-01     1.48E-01     1.69E-01     1.88E-01     2.06E-01     2.24E-01     2.40E-01     2.54E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  2.71E-02     5.43E-02     8.46E-02     1.14E-01     1.41E-01     1.66E-01     1.90E-01     2.12E-01     2.33E-01     2.53E-01     2.72E-01     2.88E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  2.47E-02     4.97E-02     7.76E-02     1.05E-01     1.30E-01     1.54E-01     1.77E-01     1.98E-01     2.18E-01     2.37E-01     2.56E-01     2.71E-01     
Se           34           0.00000E+00  0.00000E+00  1.26E-02     4.20E-02     8.09E-02     1.22E-01     1.60E-01     1.94E-01     2.26E-01     2.56E-01     2.83E-01     3.08E-01     3.31E-01     3.54E-01     3.73E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  2.83E-02     5.80E-02     9.19E-02     1.25E-01     1.56E-01     1.84E-01     2.11E-01     2.36E-01     2.59E-01     2.80E-01     3.01E-01     3.18E-01     
Kr           36           0.00000E+00  0.00000E+00  1.94E-02     5.93E-02     1.10E-01     1.61E-01     2.07E-01     2.48E-01     2.85E-01     3.18E-01     3.48E-01     3.77E-01     4.03E-01     4.29E-01     4.51E-01     
Rb           37           0.00000E+00  0.00000E+00  5.37E-02     1.25E-01     1.85E-01     2.33E-01     2.71E-01     3.03E-01     3.32E-01     3.59E-01     3.85E-01     4.11E-01     4.36E-01     4.62E-01     4.86E-01     
Sr           38           0.00000E+00  0.00000E+00  9.07E-02     3.12E-01     5.38E-01     7.13E-01     8.42E-01     9.41E-01     1.02E+00     1.08E+00     1.14E+00     1.18E+00     1.22E+00     1.26E+00     1.29E+00     
Y            39           0.00000E+00  0.00000E+00  1.18E-01     3.49E-01     5.63E-01     7.24E-01     8.44E-01     9.37E-01     1.01E+00     1.07E+00     1.12E+00     1.17E+00     1.21E+00     1.25E+00     1.28E+00     
Zr           40           0.00000E+00  0.00000E+00  1.22E-01     3.65E-01     5.91E-01     7.59E-01     8.81E-01     9.74E-01     1.05E+00     1.10E+00     1.15E+00     1.20E+00     1.24E+00     1.27E+00     1.30E+00     
