[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     4.85E-02     1.07E-01     1.73E-01     2.36E-01     2.86E-01     3.06E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.22E-02     5.07E-02     8.58E-02     1.21E-01     1.51E-01     1.62E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  1.55E-02     6.49E-02     1.40E-01     2.23E-01     2.98E-01     3.56E-01     3.77E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.98E-02     4.64E-02     7.94E-02     1.13E-01     1.41E-01     1.52E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  1.72E-02     7.34E-02     1.60E-01     2.54E-01     3.39E-01     4.04E-01     4.28E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     4.68E-02     1.06E-01     1.74E-01     2.40E-01     2.92E-01     3.12E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  1.58E-02     7.14E-02     1.59E-01     2.56E-01     3.43E-01     4.09E-01     4.33E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.45E-02     5.95E-02     1.05E-01     1.52E-01     1.92E-01     2.08E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.08E-02     5.08E-02     8.83E-02     1.26E-01     1.56E-01     1.68E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.47E-02     2.70E-02     4.01E-02     5.16E-02     5.62E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.88E-02     4.75E-02     8.46E-02     1.22E-01     1.54E-01     1.66E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.81E-02     4.92E-02     9.38E-02     1.44E-01     1.88E-01     2.06E-01     
