[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  4.52E-02     1.29E-01     2.35E-01     3.57E-01     4.63E-01     5.56E-01     6.35E-01     6.86E-01     7.19E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  4.61E-02     1.38E-01     2.63E-01     4.07E-01     5.35E-01     6.48E-01     7.44E-01     8.05E-01     8.44E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  5.17E-02     1.50E-01     2.78E-01     4.20E-01     5.49E-01     6.64E-01     7.62E-01     8.30E-01     8.71E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     2.31E-02     4.11E-02     6.55E-02     9.50E-02     1.27E-01     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  3.50E-02     1.06E-01     1.98E-01     3.02E-01     4.04E-01     5.06E-01     6.01E-01     6.74E-01     7.21E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  2.81E-02     8.53E-02     1.61E-01     2.42E-01     3.18E-01     3.96E-01     4.77E-01     5.47E-01     5.97E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     4.09E-02     8.04E-02     1.26E-01     1.71E-01     2.18E-01     2.70E-01     3.18E-01     3.54E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  4.02E-02     1.18E-01     2.18E-01     3.22E-01     4.12E-01     4.97E-01     5.77E-01     6.45E-01     6.94E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  1.24E-02     3.95E-02     7.76E-02     1.23E-01     1.68E-01     2.13E-01     2.59E-01     3.00E-01     3.30E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  5.03E-02     1.50E-01     2.74E-01     4.02E-01     5.09E-01     6.04E-01     6.87E-01     7.53E-01     8.00E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  3.28E-02     1.02E-01     1.94E-01     2.93E-01     3.77E-01     4.53E-01     5.21E-01     5.76E-01     6.16E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  6.01E-02     1.76E-01     3.18E-01     4.63E-01     5.86E-01     6.94E-01     7.87E-01     8.57E-01     9.06E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  2.31E-02     7.71E-02     1.60E-01     2.63E-01     3.64E-01     4.62E-01     5.50E-01     6.17E-01     6.64E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  2.11E-02     6.47E-02     1.23E-01     1.92E-01     2.59E-01     3.27E-01     3.90E-01     4.41E-01     4.77E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.06E-02     4.13E-02     6.65E-02     9.24E-02     1.20E-01     1.49E-01     1.75E-01     1.95E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  2.29E-02     7.27E-02     1.42E-01     2.21E-01     2.96E-01     3.70E-01     4.39E-01     4.97E-01     5.39E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  2.76E-02     9.82E-02     2.06E-01     3.28E-01     4.35E-01     5.32E-01     6.14E-01     6.76E-01     7.20E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  1.83E-01     4.38E-01     6.68E-01     8.52E-01     9.90E-01     1.10E+00     1.19E+00     1.26E+00     1.30E+00     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  1.92E-01     4.54E-01     6.86E-01     8.72E-01     1.01E+00     1.12E+00     1.21E+00     1.28E+00     1.32E+00     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  2.35E-01     5.27E-01     7.71E-01     9.57E-01     1.10E+00     1.21E+00     1.30E+00     1.36E+00     1.40E+00     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  1.48E-01     3.89E-01     6.23E-01     8.11E-01     9.53E-01     1.07E+00     1.15E+00     1.21E+00     1.25E+00     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  1.99E-01     4.66E-01     6.97E-01     8.71E-01     1.00E+00     1.11E+00     1.19E+00     1.26E+00     1.31E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  1.26E-01     3.21E-01     5.15E-01     6.81E-01     8.13E-01     9.25E-01     1.02E+00     1.09E+00     1.15E+00     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  2.63E-02     8.31E-02     1.59E-01     2.44E-01     3.23E-01     3.97E-01     4.64E-01     5.21E-01     5.62E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  6.20E-02     1.82E-01     3.33E-01     4.80E-01     6.07E-01     7.18E-01     8.11E-01     8.85E-01     9.36E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  3.95E-02     1.14E-01     2.15E-01     3.22E-01     4.22E-01     5.14E-01     5.92E-01     6.57E-01     7.03E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  6.84E-02     1.82E-01     3.14E-01     4.46E-01     5.65E-01     6.73E-01     7.64E-01     8.36E-01     8.87E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  3.89E-02     1.10E-01     1.99E-01     2.95E-01     3.90E-01     4.79E-01     5.56E-01     6.18E-01     6.56E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  8.14E-02     2.21E-01     3.70E-01     5.08E-01     6.32E-01     7.45E-01     8.41E-01     9.18E-01     9.70E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  5.30E-02     1.49E-01     2.53E-01     3.56E-01     4.55E-01     5.50E-01     6.36E-01     7.06E-01     7.58E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  1.63E-01     4.01E-01     6.10E-01     7.76E-01     9.12E-01     1.03E+00     1.14E+00     1.22E+00     1.28E+00     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  9.77E-02     2.65E-01     4.26E-01     5.61E-01     6.74E-01     7.77E-01     8.70E-01     9.48E-01     1.00E+00     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  2.15E-01     4.95E-01     7.31E-01     9.08E-01     1.05E+00     1.16E+00     1.27E+00     1.35E+00     1.41E+00     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  1.84E-01     4.40E-01     6.61E-01     8.30E-01     9.63E-01     1.08E+00     1.17E+00     1.26E+00     1.32E+00     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  2.27E-01     5.22E-01     7.56E-01     9.25E-01     1.06E+00     1.17E+00     1.26E+00     1.34E+00     1.40E+00     
Re           75           -2.68E-02    -2.85E-02    -2.85E-02    4.25E-02     2.06E-01     3.80E-01     5.19E-01     6.32E-01     7.32E-01     8.21E-01     8.97E-01     9.57E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  5.80E-02     1.68E-01     3.03E-01     4.23E-01     5.23E-01     6.14E-01     6.96E-01     7.66E-01     8.19E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.66E-02     5.68E-02     9.14E-02     1.26E-01     1.63E-01     1.99E-01     2.34E-01     2.63E-01     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  3.30E-02     9.64E-02     1.82E-01     2.73E-01     3.58E-01     4.40E-01     5.15E-01     5.81E-01     6.31E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  2.92E-02     9.02E-02     1.65E-01     2.43E-01     3.15E-01     3.85E-01     4.51E-01     5.10E-01     5.55E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  2.35E-01     5.29E-01     7.67E-01     9.39E-01     1.06E+00     1.16E+00     1.25E+00     1.32E+00     1.37E+00     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  3.19E-01     6.41E-01     8.81E-01     1.05E+00     1.18E+00     1.28E+00     1.36E+00     1.42E+00     1.46E+00     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  7.27E-01     1.28E+00     1.61E+00     1.82E+00     1.96E+00     2.07E+00     2.15E+00     2.23E+00     2.29E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  1.90E-01     5.81E-01     9.37E-01     1.20E+00     1.39E+00     1.54E+00     1.67E+00     1.78E+00     1.87E+00     
