[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
C            6            -2.40E-01    -2.65E-01    -2.45E-01    -3.48E-02    2.23E-01     4.41E-01     6.12E-01     7.53E-01     8.74E-01     9.81E-01     1.08E+00     1.17E+00     
N            7            4.11E-01     4.43E-01     4.43E-01     4.43E-01     4.43E-01     4.43E-01     4.43E-01     4.42E-01     4.42E-01     4.41E-01     4.41E-01     4.40E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.56E-02     2.20E-02     2.88E-02     3.64E-02     4.38E-02     
F            9            -2.04E-02    -2.90E-02    -2.87E-02    -1.06E-02    2.77E-02     7.41E-02     1.23E-01     1.77E-01     2.39E-01     3.12E-01     4.03E-01     4.97E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.92E-02     6.56E-02     1.05E-01     1.45E-01     1.86E-01     2.30E-01     2.82E-01     3.34E-01     
Na           11           1.40E-01     1.58E-01     1.59E-01     1.59E-01     1.63E-01     1.70E-01     1.80E-01     1.91E-01     2.02E-01     2.16E-01     2.33E-01     2.52E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.57E-02     2.53E-02     4.00E-02     5.82E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.32E-02     2.37E-02     3.67E-02     5.20E-02     6.91E-02     8.79E-02     1.09E-01     1.29E-01     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.58E-02     2.44E-02     3.44E-02     4.60E-02     5.97E-02     7.37E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.36E-02     2.35E-02     3.68E-02     5.42E-02     7.69E-02     1.02E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     3.07E-02     5.48E-02     8.80E-02     1.33E-01     1.79E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.84E-02     3.65E-02     6.32E-02     1.02E-01     1.59E-01     2.25E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     1.74E-02     2.48E-02     3.46E-02     4.83E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.62E-02     3.09E-02     5.11E-02     7.31E-02     1.01E-01     1.34E-01     1.74E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.01E-02     3.90E-02     6.36E-02     8.92E-02     1.20E-01     1.52E-01     1.89E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.85E-02     3.68E-02     6.04E-02     8.46E-02     1.13E-01     1.39E-01     1.69E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     2.85E-02     5.53E-02     8.96E-02     1.25E-01     1.66E-01     1.99E-01     2.33E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     2.92E-02     4.92E-02     7.17E-02     9.81E-02     1.20E-01     1.42E-01     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.19E-02     4.64E-02     8.50E-02     1.32E-01     1.85E-01     2.42E-01     2.87E-01     3.23E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.77E-02     7.24E-02     1.54E-01     2.59E-01     3.71E-01     4.82E-01     5.63E-01     6.23E-01     
