[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
C            6            -2.11E-01    -2.27E-01    -2.26E-01    -2.08E-01    -1.71E-01    -1.22E-01    -6.39E-02    0.00000E+00  5.48E-02     8.62E-02     
N            7            4.46E-01     4.74E-01     4.74E-01     4.74E-01     4.74E-01     4.74E-01     4.74E-01     4.74E-01     4.73E-01     4.73E-01     
O            8            -2.39E-02    -3.06E-02    -3.06E-02    -3.07E-02    -3.06E-02    -3.05E-02    -3.03E-02    -3.00E-02    -2.98E-02    -2.97E-02    
F            9            -3.57E-02    -4.46E-02    -4.43E-02    -4.00E-02    -2.99E-02    -1.45E-02    0.00000E+00  2.64E-02     4.82E-02     6.07E-02     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     2.05E-02     2.42E-02     
Na           11           1.29E-01     1.45E-01     1.45E-01     1.45E-01     1.45E-01     1.46E-01     1.47E-01     1.48E-01     1.49E-01     1.50E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.42E-02     1.69E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     1.85E-02     2.12E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.72E-02     2.62E-02     3.50E-02     4.31E-02     4.72E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.87E-02     2.96E-02     4.07E-02     5.11E-02     5.65E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.63E-02     2.60E-02     3.62E-02     4.59E-02     5.08E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.24E-02     2.47E-02     3.87E-02     5.31E-02     6.65E-02     7.34E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     2.02E-02     2.77E-02     3.50E-02     3.91E-02     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.81E-02     3.76E-02     6.00E-02     8.28E-02     1.04E-01     1.14E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.78E-02     3.89E-02     6.75E-02     1.02E-01     1.38E-01     1.59E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  2.89E-02     9.82E-02     1.83E-01     2.64E-01     3.34E-01     3.89E-01     4.14E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  2.70E-02     9.43E-02     1.80E-01     2.66E-01     3.43E-01     4.06E-01     4.36E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  2.79E-02     9.83E-02     1.87E-01     2.73E-01     3.50E-01     4.11E-01     4.40E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.32E-02     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  1.69E-02     6.31E-02     1.26E-01     1.91E-01     2.50E-01     2.97E-01     3.19E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  1.32E-02     5.02E-02     1.01E-01     1.55E-01     2.05E-01     2.46E-01     2.66E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.34E-02     4.88E-02     7.73E-02     1.05E-01     1.29E-01     1.40E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  1.87E-02     6.97E-02     1.38E-01     2.07E-01     2.68E-01     3.18E-01     3.41E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.20E-02     4.64E-02     7.41E-02     1.01E-01     1.23E-01     1.34E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  2.23E-02     8.35E-02     1.65E-01     2.48E-01     3.22E-01     3.82E-01     4.09E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     5.50E-02     1.12E-01     1.74E-01     2.31E-01     2.78E-01     3.01E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  2.45E-02     9.35E-02     1.85E-01     2.77E-01     3.58E-01     4.23E-01     4.53E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.54E-02     7.60E-02     1.24E-01     1.74E-01     2.18E-01     2.41E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.17E-02     6.72E-02     1.06E-01     1.43E-01     1.75E-01     1.90E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.08E-02     3.46E-02     4.86E-02     6.11E-02     6.73E-02     
