[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
Xe           54           0.00000E+00  0.00000E+00  1.39E-01     3.74E-01     5.66E-01     7.06E-01     7.69E-01     7.71E-01     
Cs           55           0.00000E+00  0.00000E+00  2.60E-01     4.84E-01     6.56E-01     7.90E-01     8.53E-01     8.53E-01     
Ba           56           0.00000E+00  0.00000E+00  5.52E-01     1.04E+00     1.32E+00     1.50E+00     1.58E+00     1.58E+00     
La           57           0.00000E+00  0.00000E+00  5.53E-01     1.05E+00     1.34E+00     1.52E+00     1.60E+00     1.60E+00     
Ce           58           0.00000E+00  0.00000E+00  5.70E-01     1.09E+00     1.38E+00     1.57E+00     1.64E+00     1.65E+00     
Pr           59           0.00000E+00  0.00000E+00  4.48E-01     8.67E-01     1.13E+00     1.31E+00     1.39E+00     1.39E+00     
Nd           60           0.00000E+00  0.00000E+00  4.55E-01     9.48E-01     1.24E+00     1.42E+00     1.50E+00     1.50E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  3.08E-01     7.29E-01     9.99E-01     1.18E+00     1.25E+00     1.25E+00     
Eu           63           0.00000E+00  0.00000E+00  7.48E-02     2.47E-01     4.09E-01     5.37E-01     5.97E-01     5.99E-01     
Gd           64           0.00000E+00  0.00000E+00  1.95E-01     5.06E-01     7.41E-01     8.97E-01     9.63E-01     9.65E-01     
Tb           65           0.00000E+00  0.00000E+00  1.11E-01     3.57E-01     5.63E-01     7.09E-01     7.72E-01     7.75E-01     
Dy           66           0.00000E+00  0.00000E+00  1.81E-01     5.25E-01     7.72E-01     9.35E-01     1.00E+00     1.01E+00     
Ho           67           0.00000E+00  0.00000E+00  8.81E-02     3.12E-01     5.12E-01     6.56E-01     7.19E-01     7.21E-01     
Er           68           0.00000E+00  0.00000E+00  1.78E-01     5.27E-01     7.86E-01     9.58E-01     1.03E+00     1.03E+00     
Tm           69           0.00000E+00  0.00000E+00  1.26E-01     4.62E-01     7.25E-01     9.04E-01     9.80E-01     9.82E-01     
Yb           70           0.00000E+00  0.00000E+00  3.43E-01     8.03E-01     1.09E+00     1.28E+00     1.35E+00     1.36E+00     
Lu           71           0.00000E+00  0.00000E+00  1.96E-01     5.83E-01     8.58E-01     1.04E+00     1.12E+00     1.12E+00     
Hf           72           0.00000E+00  0.00000E+00  4.61E-01     9.37E-01     1.23E+00     1.41E+00     1.49E+00     1.49E+00     
Ta           73           0.00000E+00  0.00000E+00  3.62E-01     8.35E-01     1.13E+00     1.32E+00     1.40E+00     1.40E+00     
W            74           0.00000E+00  0.00000E+00  4.56E-01     9.64E-01     1.26E+00     1.45E+00     1.53E+00     1.53E+00     
Re           75           -9.53E-02    -9.67E-02    1.21E-01     4.45E-01     7.00E-01     8.79E-01     9.59E-01     9.62E-01     
Os           76           0.00000E+00  0.00000E+00  1.09E-01     3.60E-01     5.73E-01     7.24E-01     7.89E-01     7.91E-01     
Ir           77           0.00000E+00  0.00000E+00  1.89E-02     8.30E-02     1.63E-01     2.35E-01     2.71E-01     2.72E-01     
Pt           78           0.00000E+00  0.00000E+00  7.17E-02     2.75E-01     4.65E-01     6.04E-01     6.65E-01     6.67E-01     
Au           79           0.00000E+00  0.00000E+00  5.33E-02     2.28E-01     4.07E-01     5.45E-01     6.08E-01     6.10E-01     
Hg           80           0.00000E+00  0.00000E+00  3.68E-01     8.78E-01     1.19E+00     1.38E+00     1.46E+00     1.46E+00     
Tl           81           0.00000E+00  0.00000E+00  4.48E-01     1.03E+00     1.36E+00     1.56E+00     1.63E+00     1.64E+00     
Pb           82           0.00000E+00  0.00000E+00  2.31E-01     7.84E-01     1.14E+00     1.36E+00     1.45E+00     1.46E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  1.00E-01     2.53E-01     4.02E-01     4.76E-01     4.79E-01     
