[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
C            6            -1.81E-01    5.87E-02     7.18E-01     1.06E+00     1.29E+00     1.45E+00     1.57E+00     1.63E+00     1.64E+00     
N            7            3.52E-01     3.98E-01     3.99E-01     4.00E-01     4.03E-01     4.08E-01     4.15E-01     4.25E-01     4.26E-01     
O            8            0.00000E+00  0.00000E+00  2.00E-02     5.45E-02     9.53E-02     1.32E-01     1.61E-01     1.80E-01     1.80E-01     
F            9            0.00000E+00  1.69E-01     8.28E-01     1.10E+00     1.26E+00     1.37E+00     1.46E+00     1.51E+00     1.51E+00     
Ne           10           0.00000E+00  0.00000E+00  1.29E-01     2.97E-01     4.43E-01     5.62E-01     6.62E-01     7.28E-01     7.29E-01     
Na           11           7.82E-02     1.10E-01     1.34E-01     1.97E-01     2.65E-01     3.23E-01     3.69E-01     4.01E-01     4.02E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     2.90E-02     4.91E-02     7.15E-02     8.97E-02     9.01E-02     
Al           13           0.00000E+00  0.00000E+00  1.41E-02     2.52E-02     3.56E-02     4.40E-02     5.04E-02     5.43E-02     5.41E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  1.24E-02     2.95E-02     4.88E-02     6.65E-02     8.16E-02     9.12E-02     9.13E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     2.10E-02     2.89E-02     3.56E-02     3.97E-02     3.97E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.44E-02     1.81E-02     2.06E-02     2.09E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.60E-02     3.45E-02     5.75E-02     8.08E-02     1.02E-01     1.17E-01     1.17E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.54E-02     2.16E-02     2.71E-02     3.06E-02     3.06E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.83E-02     3.38E-02     5.04E-02     6.72E-02     8.39E-02     9.74E-02     9.96E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.23E-02     1.33E-02     1.32E-02     
Cu           29           0.00000E+00  1.16E-02     6.70E-02     1.20E-01     1.68E-01     2.06E-01     2.37E-01     2.57E-01     2.57E-01     
Zn           30           0.00000E+00  0.00000E+00  3.34E-02     7.32E-02     1.12E-01     1.44E-01     1.67E-01     1.81E-01     1.81E-01     
Ga           31           0.00000E+00  1.18E-02     1.38E-01     2.69E-01     3.75E-01     4.48E-01     4.98E-01     5.24E-01     5.25E-01     
Ge           32           0.00000E+00  1.09E-02     1.31E-01     2.61E-01     3.71E-01     4.49E-01     5.03E-01     5.32E-01     5.32E-01     
As           33           0.00000E+00  0.00000E+00  8.98E-02     1.87E-01     2.77E-01     3.43E-01     3.91E-01     4.17E-01     4.18E-01     
Se           34           0.00000E+00  1.58E-02     1.65E-01     3.10E-01     4.31E-01     5.16E-01     5.75E-01     6.06E-01     6.04E-01     
Br           35           0.00000E+00  0.00000E+00  9.10E-02     1.94E-01     2.92E-01     3.71E-01     4.32E-01     4.73E-01     4.91E-01     
Kr           36           0.00000E+00  2.49E-02     2.17E-01     3.96E-01     5.36E-01     6.31E-01     6.95E-01     7.30E-01     7.31E-01     
Rb           37           0.00000E+00  4.68E-02     2.80E-01     4.47E-01     5.94E-01     7.07E-01     7.94E-01     8.45E-01     8.46E-01     
Sr           38           0.00000E+00  3.45E-02     6.28E-01     9.91E-01     1.22E+00     1.36E+00     1.45E+00     1.49E+00     1.49E+00     
Y            39           0.00000E+00  3.24E-02     5.97E-01     9.51E-01     1.19E+00     1.34E+00     1.43E+00     1.48E+00     1.48E+00     
Zr           40           0.00000E+00  2.36E-02     5.60E-01     9.21E-01     1.16E+00     1.31E+00     1.40E+00     1.45E+00     1.45E+00     
Nb           41           0.00000E+00  0.00000E+00  5.31E-02     1.69E-01     3.08E-01     4.46E-01     5.67E-01     6.65E-01     7.40E-01     
Mo           42           0.00000E+00  0.00000E+00  4.01E-01     7.28E-01     9.54E-01     1.10E+00     1.19E+00     1.23E+00     1.23E+00     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  3.21E-01     6.22E-01     8.40E-01     9.84E-01     1.07E+00     1.12E+00     1.13E+00     
Rh           45           0.00000E+00  0.00000E+00  1.80E-01     3.97E-01     5.76E-01     6.99E-01     7.78E-01     8.19E-01     8.20E-01     
Pd           46           0.00000E+00  0.00000E+00  4.30E-01     7.71E-01     1.00E+00     1.15E+00     1.24E+00     1.29E+00     1.29E+00     
Ag           47           0.00000E+00  0.00000E+00  1.63E-01     3.65E-01     5.36E-01     6.56E-01     7.35E-01     7.76E-01     7.78E-01     
Cd           48           0.00000E+00  0.00000E+00  4.95E-01     8.57E-01     1.10E+00     1.25E+00     1.35E+00     1.40E+00     1.40E+00     
In           49           0.00000E+00  0.00000E+00  3.67E-01     6.90E-01     9.20E-01     1.07E+00     1.17E+00     1.22E+00     1.22E+00     
Sn           50           0.00000E+00  0.00000E+00  5.20E-01     8.92E-01     1.14E+00     1.30E+00     1.40E+00     1.45E+00     1.45E+00     
Sb           51           0.00000E+00  0.00000E+00  2.66E-01     5.52E-01     7.75E-01     9.30E-01     1.03E+00     1.09E+00     1.09E+00     
Te           52           0.00000E+00  0.00000E+00  2.32E-01     4.91E-01     6.90E-01     8.26E-01     9.13E-01     9.58E-01     9.58E-01     
I            53           0.00000E+00  0.00000E+00  8.34E-02     2.14E-01     3.42E-01     4.42E-01     5.11E-01     5.48E-01     5.48E-01     
Xe           54           0.00000E+00  0.00000E+00  2.43E-01     5.13E-01     7.21E-01     8.64E-01     9.57E-01     1.01E+00     1.01E+00     
Cs           55           0.00000E+00  0.00000E+00  3.20E-01     6.20E-01     8.62E-01     1.03E+00     1.14E+00     1.20E+00     1.20E+00     
Ba           56           0.00000E+00  0.00000E+00  8.34E-01     1.26E+00     1.52E+00     1.69E+00     1.80E+00     1.85E+00     1.85E+00     
La           57           0.00000E+00  0.00000E+00  8.53E-01     1.28E+00     1.54E+00     1.71E+00     1.82E+00     1.87E+00     1.87E+00     
Ce           58           0.00000E+00  0.00000E+00  9.20E-01     1.35E+00     1.60E+00     1.77E+00     1.88E+00     1.94E+00     1.94E+00     
Pr           59           0.00000E+00  0.00000E+00  7.25E-01     1.13E+00     1.39E+00     1.56E+00     1.68E+00     1.75E+00     1.75E+00     
