[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     2.09E-02     3.11E-02     4.53E-02     6.38E-02     8.48E-02     9.89E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.33E-02     1.69E-02     2.10E-02     2.39E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     1.81E-02     2.48E-02     3.22E-02     4.08E-02     5.14E-02     6.42E-02     7.86E-02     8.82E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     2.18E-02     3.02E-02     3.91E-02     4.90E-02     6.06E-02     7.42E-02     8.91E-02     9.92E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.95E-02     2.73E-02     3.56E-02     4.46E-02     5.48E-02     6.65E-02     7.90E-02     8.74E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.79E-02     2.83E-02     3.94E-02     5.13E-02     6.39E-02     7.81E-02     9.39E-02     1.10E-01     1.21E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     1.95E-02     2.59E-02     3.28E-02     4.07E-02     4.95E-02     5.85E-02     6.45E-02     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.55E-02     3.04E-02     4.76E-02     6.57E-02     8.44E-02     1.04E-01     1.25E-01     1.48E-01     1.70E-01     1.83E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.85E-02     4.13E-02     7.33E-02     1.11E-01     1.53E-01     1.99E-01     2.47E-01     2.96E-01     3.41E-01     3.68E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  2.24E-02     6.86E-02     1.25E-01     1.81E-01     2.31E-01     2.75E-01     3.14E-01     3.50E-01     3.84E-01     4.13E-01     4.29E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  2.18E-02     6.97E-02     1.32E-01     1.98E-01     2.60E-01     3.14E-01     3.64E-01     4.10E-01     4.52E-01     4.88E-01     5.07E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  2.29E-02     7.14E-02     1.33E-01     1.97E-01     2.57E-01     3.12E-01     3.63E-01     4.11E-01     4.54E-01     4.91E-01     5.11E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.56E-02     2.01E-02     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  1.46E-02     4.66E-02     8.78E-02     1.31E-01     1.72E-01     2.11E-01     2.50E-01     2.89E-01     3.28E-01     3.62E-01     3.80E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     3.66E-02     6.91E-02     1.03E-01     1.33E-01     1.62E-01     1.89E-01     2.19E-01     2.49E-01     2.76E-01     2.92E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.70E-02     3.28E-02     4.97E-02     6.57E-02     8.04E-02     9.49E-02     1.10E-01     1.27E-01     1.42E-01     1.52E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  1.64E-02     5.13E-02     9.53E-02     1.40E-01     1.81E-01     2.17E-01     2.50E-01     2.83E-01     3.15E-01     3.43E-01     3.60E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.62E-02     3.12E-02     4.74E-02     6.29E-02     7.74E-02     9.11E-02     1.05E-01     1.19E-01     1.32E-01     1.39E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  2.03E-02     6.43E-02     1.21E-01     1.78E-01     2.30E-01     2.75E-01     3.16E-01     3.55E-01     3.91E-01     4.22E-01     4.39E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     4.20E-02     8.06E-02     1.21E-01     1.59E-01     1.92E-01     2.22E-01     2.51E-01     2.78E-01     3.02E-01     3.16E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  2.40E-02     7.49E-02     1.39E-01     2.06E-01     2.66E-01     3.20E-01     3.69E-01     4.14E-01     4.57E-01     4.93E-01     5.13E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.92E-02     5.91E-02     9.43E-02     1.31E-01     1.67E-01     2.02E-01     2.38E-01     2.72E-01     3.02E-01     3.19E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.52E-02     4.75E-02     7.16E-02     9.53E-02     1.18E-01     1.40E-01     1.62E-01     1.84E-01     2.03E-01     2.14E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.49E-02     2.29E-02     3.08E-02     3.83E-02     4.58E-02     5.36E-02     6.16E-02     6.91E-02     7.36E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.72E-02     5.26E-02     8.05E-02     1.08E-01     1.34E-01     1.58E-01     1.83E-01     2.08E-01     2.30E-01     2.43E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.28E-02     7.03E-02     1.14E-01     1.58E-01     1.99E-01     2.37E-01     2.74E-01     3.08E-01     3.37E-01     3.54E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  6.61E-02     1.88E-01     3.18E-01     4.33E-01     5.26E-01     6.03E-01     6.66E-01     7.23E-01     7.73E-01     8.12E-01     8.33E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  6.75E-02     1.91E-01     3.23E-01     4.39E-01     5.34E-01     6.12E-01     6.77E-01     7.35E-01     7.85E-01     8.25E-01     8.46E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  7.93E-02     2.19E-01     3.61E-01     4.83E-01     5.82E-01     6.62E-01     7.29E-01     7.88E-01     8.39E-01     8.79E-01     9.00E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  4.56E-02     1.42E-01     2.57E-01     3.66E-01     4.59E-01     5.35E-01     5.99E-01     6.56E-01     7.04E-01     7.42E-01     7.62E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  6.48E-02     1.84E-01     3.11E-01     4.23E-01     5.13E-01     5.85E-01     6.46E-01     7.00E-01     7.49E-01     7.87E-01     8.07E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  3.76E-02     1.13E-01     2.00E-01     2.85E-01     3.62E-01     4.28E-01     4.86E-01     5.40E-01     5.89E-01     6.29E-01     6.49E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.41E-02     4.68E-02     7.28E-02     9.97E-02     1.26E-01     1.51E-01     1.76E-01     2.01E-01     2.22E-01     2.33E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  1.86E-02     5.69E-02     1.09E-01     1.67E-01     2.23E-01     2.77E-01     3.27E-01     3.74E-01     4.17E-01     4.53E-01     4.71E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     3.48E-02     6.61E-02     1.02E-01     1.39E-01     1.75E-01     2.10E-01     2.44E-01     2.76E-01     3.03E-01     3.17E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  1.83E-02     5.54E-02     1.02E-01     1.52E-01     2.03E-01     2.51E-01     2.98E-01     3.43E-01     3.84E-01     4.19E-01     4.38E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  1.31E-02     3.87E-02     6.90E-02     1.02E-01     1.34E-01     1.66E-01     1.98E-01     2.29E-01     2.58E-01     2.81E-01     2.87E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  2.40E-02     7.25E-02     1.31E-01     1.90E-01     2.47E-01     3.01E-01     3.53E-01     4.03E-01     4.49E-01     4.87E-01     5.06E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  1.54E-02     4.78E-02     8.56E-02     1.25E-01     1.63E-01     2.01E-01     2.38E-01     2.77E-01     3.13E-01     3.45E-01     3.63E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  4.94E-02     1.46E-01     2.51E-01     3.46E-01     4.28E-01     4.99E-01     5.64E-01     6.26E-01     6.83E-01     7.29E-01     7.53E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  2.79E-02     8.77E-02     1.58E-01     2.23E-01     2.81E-01     3.33E-01     3.82E-01     4.29E-01     4.75E-01     5.13E-01     5.34E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  6.77E-02     1.92E-01     3.24E-01     4.37E-01     5.30E-01     6.08E-01     6.76E-01     7.39E-01     7.96E-01     8.44E-01     8.68E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  5.68E-02     1.66E-01     2.84E-01     3.87E-01     4.74E-01     5.47E-01     6.11E-01     6.71E-01     7.26E-01     7.72E-01     7.97E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  7.13E-02     2.06E-01     3.44E-01     4.58E-01     5.49E-01     6.24E-01     6.89E-01     7.48E-01     8.03E-01     8.47E-01     8.70E-01     
Re           75           -1.32E-02    -1.78E-02    -1.78E-02    0.00000E+00  5.06E-02     1.21E-01     1.89E-01     2.49E-01     3.02E-01     3.49E-01     3.96E-01     4.40E-01     4.78E-01     5.00E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.67E-02     4.98E-02     9.54E-02     1.44E-01     1.89E-01     2.29E-01     2.67E-01     3.03E-01     3.39E-01     3.68E-01     3.84E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.44E-02     2.34E-02     3.26E-02     4.16E-02     5.06E-02     6.00E-02     6.97E-02     7.84E-02     8.33E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.79E-02     5.25E-02     8.09E-02     1.10E-01     1.39E-01     1.67E-01     1.95E-01     2.23E-01     2.47E-01     2.60E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.56E-02     4.86E-02     7.36E-02     9.87E-02     1.23E-01     1.47E-01     1.72E-01     1.96E-01     2.17E-01     2.29E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  7.42E-02     2.07E-01     3.45E-01     4.63E-01     5.56E-01     6.31E-01     6.93E-01     7.49E-01     8.00E-01     8.41E-01     8.63E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  1.01E-01     2.57E-01     4.03E-01     5.23E-01     6.18E-01     6.95E-01     7.57E-01     8.13E-01     8.61E-01     9.00E-01     9.20E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  2.24E-01     5.63E-01     8.40E-01     1.04E+00     1.19E+00     1.30E+00     1.38E+00     1.45E+00     1.52E+00     1.56E+00     1.59E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  3.41E-02     1.43E-01     3.07E-01     4.81E-01     6.33E-01     7.63E-01     8.73E-01     9.69E-01     1.05E+00     1.12E+00     1.15E+00     
