[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
C            6            -1.58E-01    -1.34E-01    8.52E-02     3.45E-01     5.41E-01     6.84E-01     7.68E-01     7.71E-01     
N            7            3.26E-01     3.43E-01     3.44E-01     3.43E-01     3.43E-01     3.43E-01     3.44E-01     3.44E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.54E-02     1.83E-02     1.84E-02     
F            9            0.00000E+00  0.00000E+00  4.21E-02     1.41E-01     2.58E-01     3.70E-01     4.51E-01     4.54E-01     
Ne           10           0.00000E+00  0.00000E+00  1.36E-02     4.72E-02     9.29E-02     1.43E-01     1.82E-01     1.84E-01     
Na           11           4.34E-02     5.48E-02     5.93E-02     6.85E-02     8.08E-02     9.45E-02     1.06E-01     1.07E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.14E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48E-02     1.81E-02     1.83E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.24E-02     1.99E-02     2.73E-02     3.29E-02     3.31E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
