[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        
Er           68           0.00000E+00  0.00000E+00  1.99E-01     4.05E-01     5.72E-01     6.89E-01     
Tm           69           0.00000E+00  0.00000E+00  1.21E-01     2.93E-01     4.39E-01     5.40E-01     
Yb           70           0.00000E+00  0.00000E+00  3.58E-01     6.48E-01     8.59E-01     9.99E-01     
Lu           71           0.00000E+00  0.00000E+00  2.61E-01     5.27E-01     7.31E-01     8.68E-01     
Hf           72           0.00000E+00  0.00000E+00  4.38E-01     7.39E-01     9.56E-01     1.10E+00     
Ta           73           0.00000E+00  0.00000E+00  3.81E-01     6.88E-01     9.06E-01     1.05E+00     
W            74           0.00000E+00  0.00000E+00  4.62E-01     7.89E-01     1.02E+00     1.16E+00     
Re           75           -1.12E-01    -1.15E-01    1.23E-01     3.54E-01     5.54E-01     7.00E-01     
Os           76           0.00000E+00  0.00000E+00  1.56E-01     3.17E-01     4.62E-01     5.73E-01     
Ir           77           0.00000E+00  0.00000E+00  2.26E-02     5.72E-02     9.78E-02     1.36E-01     
Pt           78           0.00000E+00  0.00000E+00  8.69E-02     1.99E-01     3.06E-01     3.90E-01     
Au           79           0.00000E+00  0.00000E+00  7.15E-02     1.78E-01     2.85E-01     3.70E-01     
Hg           80           0.00000E+00  0.00000E+00  4.20E-01     7.53E-01     9.92E-01     1.15E+00     
Tl           81           0.00000E+00  0.00000E+00  5.27E-01     8.88E-01     1.14E+00     1.29E+00     
Pb           82           0.00000E+00  0.00000E+00  1.36E+00     1.81E+00     2.06E+00     2.21E+00     
Bi           83           0.00000E+00  0.00000E+00  7.05E-01     1.06E+00     1.29E+00     1.44E+00     
