[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       
C            6            -2.01E-01    -1.97E-01    -1.62E-01    -1.01E-01    -3.06E-02    3.88E-02     1.03E-01     1.62E-01     2.14E-01     2.62E-01     3.06E-01     3.48E-01     3.88E-01     4.29E-01     4.67E-01     
N            7            4.27E-01     4.29E-01     4.29E-01     4.29E-01     4.28E-01     4.28E-01     4.27E-01     4.25E-01     4.24E-01     4.23E-01     4.22E-01     4.20E-01     4.19E-01     4.17E-01     4.16E-01     
O            8            -1.98E-02    -1.99E-02    -1.99E-02    -1.98E-02    -1.96E-02    -1.96E-02    -1.97E-02    -2.00E-02    -2.04E-02    -2.10E-02    -2.17E-02    -2.25E-02    -2.34E-02    -2.45E-02    -2.56E-02    
F            9            -2.95E-02    -2.88E-02    -2.07E-02    0.00000E+00  3.44E-02     7.70E-02     1.23E-01     1.71E-01     2.17E-01     2.61E-01     3.05E-01     3.47E-01     3.89E-01     4.32E-01     4.73E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     2.33E-02     3.92E-02     5.69E-02     7.59E-02     9.50E-02     1.15E-01     1.35E-01     1.56E-01     1.77E-01     2.00E-01     2.23E-01     
Na           11           1.15E-01     1.16E-01     1.17E-01     1.21E-01     1.26E-01     1.32E-01     1.39E-01     1.46E-01     1.53E-01     1.61E-01     1.69E-01     1.77E-01     1.86E-01     1.96E-01     2.07E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.34E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.20E-02     1.36E-02     1.51E-02     1.67E-02     1.82E-02     1.96E-02     
