[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
Sn           50           0.00000E+00  4.57E-02     6.69E-01     1.01E+00     1.21E+00     1.34E+00     1.42E+00     1.48E+00     1.48E+00     
Sb           51           0.00000E+00  1.75E-02     4.04E-01     6.74E-01     8.60E-01     9.83E-01     1.07E+00     1.12E+00     1.12E+00     
Te           52           0.00000E+00  1.01E-02     3.07E-01     5.70E-01     7.46E-01     8.58E-01     9.32E-01     9.78E-01     9.78E-01     
I            53           0.00000E+00  0.00000E+00  1.11E-01     2.55E-01     3.76E-01     4.62E-01     5.22E-01     5.60E-01     5.61E-01     
Xe           54           0.00000E+00  0.00000E+00  3.23E-01     5.93E-01     7.77E-01     8.96E-01     9.75E-01     1.02E+00     1.03E+00     
Cs           55           0.00000E+00  1.24E-02     4.74E-01     7.48E-01     9.48E-01     1.08E+00     1.17E+00     1.23E+00     1.23E+00     
Ba           56           0.00000E+00  1.71E-02     9.54E-01     1.36E+00     1.59E+00     1.73E+00     1.82E+00     1.88E+00     1.88E+00     
La           57           0.00000E+00  0.00000E+00  9.63E-01     1.38E+00     1.61E+00     1.75E+00     1.84E+00     1.90E+00     1.90E+00     
Ce           58           0.00000E+00  0.00000E+00  1.02E+00     1.44E+00     1.68E+00     1.83E+00     1.92E+00     1.98E+00     1.98E+00     
Pr           59           0.00000E+00  0.00000E+00  8.47E-01     1.23E+00     1.47E+00     1.62E+00     1.72E+00     1.78E+00     1.78E+00     
Nd           60           0.00000E+00  0.00000E+00  9.16E-01     1.32E+00     1.56E+00     1.71E+00     1.80E+00     1.86E+00     1.86E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  7.32E-01     1.11E+00     1.33E+00     1.47E+00     1.56E+00     1.61E+00     1.62E+00     
Eu           63           0.00000E+00  0.00000E+00  2.58E-01     5.01E-01     6.78E-01     7.96E-01     8.77E-01     9.29E-01     9.30E-01     
Gd           64           0.00000E+00  0.00000E+00  5.14E-01     8.32E-01     1.04E+00     1.18E+00     1.27E+00     1.33E+00     1.33E+00     
Tb           65           0.00000E+00  0.00000E+00  3.50E-01     6.32E-01     8.15E-01     9.36E-01     1.02E+00     1.07E+00     1.07E+00     
Dy           66           0.00000E+00  0.00000E+00  5.02E-01     8.45E-01     1.05E+00     1.18E+00     1.26E+00     1.31E+00     1.31E+00     
Ho           67           0.00000E+00  0.00000E+00  3.10E-01     5.96E-01     7.84E-01     9.04E-01     9.83E-01     1.03E+00     1.03E+00     
Er           68           0.00000E+00  0.00000E+00  5.20E-01     8.85E-01     1.11E+00     1.24E+00     1.33E+00     1.39E+00     1.39E+00     
Tm           69           0.00000E+00  0.00000E+00  4.36E-01     8.13E-01     1.03E+00     1.16E+00     1.25E+00     1.30E+00     1.30E+00     
Yb           70           0.00000E+00  0.00000E+00  7.86E-01     1.20E+00     1.44E+00     1.59E+00     1.68E+00     1.74E+00     1.74E+00     
Lu           71           0.00000E+00  0.00000E+00  5.61E-01     9.55E-01     1.19E+00     1.33E+00     1.42E+00     1.48E+00     1.48E+00     
Hf           72           0.00000E+00  0.00000E+00  9.49E-01     1.35E+00     1.59E+00     1.73E+00     1.83E+00     1.89E+00     1.89E+00     
Ta           73           0.00000E+00  0.00000E+00  8.45E-01     1.26E+00     1.50E+00     1.65E+00     1.74E+00     1.80E+00     1.80E+00     
W            74           0.00000E+00  0.00000E+00  9.77E-01     1.40E+00     1.64E+00     1.79E+00     1.88E+00     1.94E+00     1.94E+00     
Re           75           -8.83E-02    -9.07E-02    5.20E-01     8.96E-01     1.14E+00     1.29E+00     1.39E+00     1.45E+00     1.45E+00     
Os           76           0.00000E+00  0.00000E+00  3.71E-01     6.73E-01     8.75E-01     1.01E+00     1.09E+00     1.15E+00     1.15E+00     
Ir           77           0.00000E+00  0.00000E+00  8.99E-02     2.16E-01     3.31E-01     4.18E-01     4.81E-01     5.24E-01     5.24E-01     
Pt           78           0.00000E+00  0.00000E+00  2.84E-01     5.58E-01     7.47E-01     8.70E-01     9.54E-01     1.01E+00     1.01E+00     
Au           79           0.00000E+00  0.00000E+00  2.47E-01     5.19E-01     7.12E-01     8.38E-01     9.20E-01     9.71E-01     9.72E-01     
Hg           80           0.00000E+00  0.00000E+00  9.13E-01     1.34E+00     1.59E+00     1.74E+00     1.83E+00     1.89E+00     1.89E+00     
Tl           81           0.00000E+00  0.00000E+00  1.05E+00     1.51E+00     1.77E+00     1.92E+00     2.02E+00     2.07E+00     2.07E+00     
Pb           82           0.00000E+00  0.00000E+00  1.68E+00     2.14E+00     2.40E+00     2.56E+00     2.66E+00     2.71E+00     2.71E+00     
Bi           83           0.00000E+00  0.00000E+00  1.14E+00     1.57E+00     1.82E+00     1.98E+00     2.09E+00     2.16E+00     2.16E+00     
