[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
C            6            -1.74E-01    2.97E-01     6.87E-01     9.40E-01     1.12E+00     1.25E+00     1.34E+00     1.39E+00     
N            7            3.43E-01     3.73E-01     3.74E-01     3.76E-01     3.78E-01     3.80E-01     3.85E-01     3.93E-01     
O            8            0.00000E+00  0.00000E+00  2.18E-02     4.43E-02     6.71E-02     8.75E-02     1.04E-01     1.13E-01     
F            9            0.00000E+00  4.17E-02     2.06E-01     3.74E-01     5.30E-01     6.78E-01     8.11E-01     8.95E-01     
Ne           10           0.00000E+00  0.00000E+00  6.60E-02     1.56E-01     2.59E-01     3.62E-01     4.57E-01     5.16E-01     
Na           11           6.25E-02     8.63E-02     9.35E-02     1.09E-01     1.33E-01     1.63E-01     1.96E-01     2.22E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     2.22E-02     3.20E-02     4.00E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.59E-02     2.01E-02     2.35E-02     2.57E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  2.64E-02     4.98E-02     7.20E-02     9.14E-02     1.07E-01     1.16E-01     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.81E-02     2.40E-02     2.94E-02     3.26E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     1.45E-02     1.77E-02     1.98E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  1.79E-02     3.74E-02     5.68E-02     7.59E-02     9.50E-02     1.13E-01     1.24E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  1.42E-02     2.13E-02     2.79E-02     3.34E-02     3.66E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  1.55E-02     3.25E-02     4.73E-02     6.06E-02     7.43E-02     8.83E-02     9.91E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.18E-02     
