[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
Tb           65           0.00000E+00  0.00000E+00  2.44E-01     5.37E-01     7.36E-01     8.72E-01     9.58E-01     9.65E-01     
Dy           66           0.00000E+00  0.00000E+00  3.73E-01     7.38E-01     9.62E-01     1.11E+00     1.20E+00     1.21E+00     
Ho           67           0.00000E+00  0.00000E+00  2.12E-01     4.90E-01     6.89E-01     8.29E-01     9.17E-01     9.24E-01     
Er           68           0.00000E+00  0.00000E+00  3.77E-01     7.58E-01     9.95E-01     1.15E+00     1.25E+00     1.26E+00     
Tm           69           0.00000E+00  0.00000E+00  2.87E-01     6.83E-01     9.34E-01     1.10E+00     1.20E+00     1.20E+00     
Yb           70           0.00000E+00  0.00000E+00  6.07E-01     1.06E+00     1.31E+00     1.48E+00     1.59E+00     1.60E+00     
Lu           71           0.00000E+00  0.00000E+00  3.84E-01     8.09E-01     1.07E+00     1.24E+00     1.34E+00     1.35E+00     
Hf           72           0.00000E+00  0.00000E+00  7.52E-01     1.20E+00     1.46E+00     1.63E+00     1.73E+00     1.74E+00     
Ta           73           0.00000E+00  0.00000E+00  6.24E-01     1.10E+00     1.37E+00     1.54E+00     1.65E+00     1.66E+00     
W            74           0.00000E+00  0.00000E+00  7.66E-01     1.24E+00     1.51E+00     1.68E+00     1.78E+00     1.79E+00     
Re           75           -8.82E-02    -8.98E-02    3.46E-01     7.10E-01     9.55E-01     1.13E+00     1.25E+00     1.26E+00     
Os           76           0.00000E+00  0.00000E+00  2.50E-01     5.63E-01     7.75E-01     9.22E-01     1.01E+00     1.02E+00     
Ir           77           0.00000E+00  0.00000E+00  5.37E-02     1.62E-01     2.67E-01     3.56E-01     4.20E-01     4.25E-01     
Pt           78           0.00000E+00  0.00000E+00  1.90E-01     4.63E-01     6.61E-01     8.00E-01     8.89E-01     8.96E-01     
Au           79           0.00000E+00  0.00000E+00  1.46E-01     4.02E-01     6.03E-01     7.49E-01     8.43E-01     8.50E-01     
Hg           80           0.00000E+00  0.00000E+00  6.83E-01     1.18E+00     1.45E+00     1.63E+00     1.74E+00     1.75E+00     
Tl           81           0.00000E+00  0.00000E+00  8.38E-01     1.37E+00     1.66E+00     1.84E+00     1.95E+00     1.96E+00     
Pb           82           0.00000E+00  0.00000E+00  9.25E-01     1.53E+00     1.85E+00     2.04E+00     2.15E+00     2.16E+00     
Bi           83           0.00000E+00  0.00000E+00  2.82E-01     7.15E-01     1.01E+00     1.21E+00     1.33E+00     1.33E+00     
