[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        
C            6            -1.69E-01    -1.67E-01    2.57E-01     5.86E-01     8.02E-01     9.60E-01     1.07E+00     1.08E+00     
N            7            3.38E-01     3.61E-01     3.62E-01     3.62E-01     3.63E-01     3.64E-01     3.66E-01     3.67E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  1.63E-02     2.97E-02     4.30E-02     5.36E-02     5.45E-02     
F            9            0.00000E+00  0.00000E+00  1.01E-01     2.73E-01     4.31E-01     5.72E-01     6.85E-01     6.97E-01     
Ne           10           0.00000E+00  0.00000E+00  2.23E-02     7.59E-02     1.43E-01     2.17E-01     2.85E-01     2.92E-01     
Na           11           5.83E-02     7.45E-02     7.95E-02     9.12E-02     1.08E-01     1.29E-01     1.49E-01     1.52E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     1.88E-02     1.95E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     1.67E-02     1.68E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  2.14E-02     3.73E-02     5.25E-02     6.44E-02     6.54E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.47E-02     2.06E-02     2.57E-02     2.62E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.31E-02     1.36E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.66E-02     3.40E-02     4.98E-02     6.52E-02     7.84E-02     7.97E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     1.75E-02     2.20E-02     2.23E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.45E-02     2.99E-02     4.31E-02     5.52E-02     6.60E-02     6.88E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  4.92E-02     9.74E-02     1.35E-01     1.64E-01     1.86E-01     1.88E-01     
Zn           30           0.00000E+00  0.00000E+00  1.61E-02     4.54E-02     7.40E-02     9.85E-02     1.17E-01     1.18E-01     
Ga           31           0.00000E+00  0.00000E+00  8.12E-02     1.96E-01     2.88E-01     3.57E-01     4.03E-01     4.06E-01     
Ge           32           0.00000E+00  0.00000E+00  7.60E-02     1.83E-01     2.73E-01     3.42E-01     3.89E-01     3.93E-01     
As           33           0.00000E+00  0.00000E+00  5.20E-02     1.28E-01     1.96E-01     2.51E-01     2.90E-01     2.93E-01     
Se           34           0.00000E+00  0.00000E+00  1.04E-01     2.27E-01     3.24E-01     3.98E-01     4.48E-01     4.50E-01     
Br           35           0.00000E+00  0.00000E+00  5.80E-02     1.44E-01     2.23E-01     2.89E-01     3.38E-01     3.59E-01     
Kr           36           0.00000E+00  0.00000E+00  1.37E-01     3.02E-01     4.24E-01     5.12E-01     5.70E-01     5.74E-01     
Rb           37           0.00000E+00  0.00000E+00  2.73E-01     4.37E-01     5.38E-01     6.11E-01     6.62E-01     6.67E-01     
Sr           38           0.00000E+00  0.00000E+00  3.77E-01     7.75E-01     1.01E+00     1.17E+00     1.26E+00     1.27E+00     
Y            39           0.00000E+00  0.00000E+00  4.30E-01     7.84E-01     1.00E+00     1.15E+00     1.24E+00     1.25E+00     
Zr           40           0.00000E+00  0.00000E+00  4.30E-01     7.91E-01     1.01E+00     1.16E+00     1.25E+00     1.25E+00     
Nb           41           0.00000E+00  0.00000E+00  4.13E-02     1.42E-01     2.69E-01     3.88E-01     4.92E-01     5.75E-01     
Mo           42           0.00000E+00  0.00000E+00  2.52E-01     5.86E-01     8.06E-01     9.53E-01     1.04E+00     1.05E+00     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  1.50E-01     4.47E-01     6.66E-01     8.18E-01     9.14E-01     9.26E-01     
Rh           45           0.00000E+00  0.00000E+00  7.33E-02     2.60E-01     4.24E-01     5.49E-01     6.31E-01     6.37E-01     
Pd           46           0.00000E+00  0.00000E+00  2.20E-01     5.78E-01     8.16E-01     9.76E-01     1.07E+00     1.08E+00     
Ag           47           0.00000E+00  0.00000E+00  7.18E-02     2.42E-01     3.95E-01     5.14E-01     5.93E-01     6.01E-01     
Cd           48           0.00000E+00  0.00000E+00  3.09E-01     6.81E-01     9.19E-01     1.08E+00     1.18E+00     1.19E+00     
In           49           0.00000E+00  0.00000E+00  2.15E-01     5.27E-01     7.46E-01     8.98E-01     9.94E-01     1.00E+00     
Sn           50           0.00000E+00  0.00000E+00  3.93E-01     7.64E-01     9.95E-01     1.15E+00     1.25E+00     1.25E+00     
Sb           51           0.00000E+00  0.00000E+00  2.28E-01     4.75E-01     6.55E-01     7.89E-01     8.78E-01     8.85E-01     
Te           52           0.00000E+00  0.00000E+00  1.54E-01     3.98E-01     5.83E-01     7.14E-01     7.98E-01     8.05E-01     
I            53           0.00000E+00  0.00000E+00  4.69E-02     1.53E-01     2.58E-01     3.47E-01     4.09E-01     4.14E-01     
Xe           54           0.00000E+00  0.00000E+00  1.69E-01     4.19E-01     6.07E-01     7.43E-01     8.30E-01     8.37E-01     
Cs           55           0.00000E+00  0.00000E+00  2.88E-01     5.26E-01     7.07E-01     8.51E-01     9.49E-01     9.54E-01     
Ba           56           0.00000E+00  0.00000E+00  6.81E-01     1.15E+00     1.41E+00     1.58E+00     1.69E+00     1.69E+00     
La           57           0.00000E+00  0.00000E+00  7.05E-01     1.18E+00     1.45E+00     1.62E+00     1.72E+00     1.73E+00     
Ce           58           0.00000E+00  0.00000E+00  7.83E-01     1.27E+00     1.53E+00     1.70E+00     1.81E+00     1.82E+00     
Pr           59           0.00000E+00  0.00000E+00  6.32E-01     1.04E+00     1.29E+00     1.46E+00     1.57E+00     1.58E+00     
Nd           60           0.00000E+00  0.00000E+00  6.74E-01     1.15E+00     1.41E+00     1.58E+00     1.69E+00     1.70E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  5.37E-01     9.53E-01     1.20E+00     1.36E+00     1.46E+00     1.47E+00     
Eu           63           0.00000E+00  0.00000E+00  1.63E-01     3.87E-01     5.62E-01     6.95E-01     7.83E-01     7.90E-01     
Gd           64           0.00000E+00  0.00000E+00  3.81E-01     7.16E-01     9.26E-01     1.07E+00     1.16E+00     1.17E+00     
