[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
C            6            -1.81E-01    1.85E-01     7.42E-01     1.07E+00     1.29E+00     1.45E+00     1.57E+00     1.64E+00     1.64E+00     
N            7            3.52E-01     3.97E-01     3.98E-01     3.99E-01     4.02E-01     4.06E-01     4.13E-01     4.24E-01     4.25E-01     
O            8            0.00000E+00  0.00000E+00  1.69E-02     4.86E-02     8.42E-02     1.17E-01     1.46E-01     1.64E-01     1.64E-01     
F            9            0.00000E+00  -1.30E-02    6.18E-01     9.47E-01     1.14E+00     1.28E+00     1.39E+00     1.45E+00     1.45E+00     
Ne           10           0.00000E+00  0.00000E+00  9.94E-02     2.59E-01     3.97E-01     5.23E-01     6.31E-01     7.04E-01     7.06E-01     
Na           11           7.82E-02     1.09E-01     1.16E-01     1.53E-01     1.96E-01     2.45E-01     2.90E-01     3.23E-01     3.25E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.67E-02     3.09E-02     4.87E-02     6.50E-02     6.56E-02     
Al           13           0.00000E+00  0.00000E+00  1.35E-02     2.40E-02     3.38E-02     4.22E-02     4.87E-02     5.29E-02     5.28E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.44E-02     2.05E-02     2.63E-02     3.07E-02     3.08E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     1.92E-02     2.36E-02     2.63E-02     2.62E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.34E-02     1.37E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.52E-02     2.91E-02     4.44E-02     5.98E-02     7.09E-02     7.12E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.06E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.54E-02     2.88E-02     4.49E-02     6.28E-02     7.82E-02     8.09E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  1.11E-02     3.34E-02     6.10E-02     8.93E-02     1.14E-01     1.30E-01     1.31E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  2.13E-02     4.02E-02     5.85E-02     7.27E-02     8.04E-02     8.06E-02     
Ga           31           0.00000E+00  0.00000E+00  3.26E-02     9.76E-02     1.68E-01     2.25E-01     2.64E-01     2.84E-01     2.84E-01     
Ge           32           0.00000E+00  0.00000E+00  3.08E-02     9.41E-02     1.67E-01     2.27E-01     2.68E-01     2.89E-01     2.89E-01     
As           33           0.00000E+00  0.00000E+00  2.00E-02     6.28E-02     1.16E-01     1.63E-01     1.96E-01     2.12E-01     2.12E-01     
Se           34           0.00000E+00  0.00000E+00  4.09E-02     1.17E-01     2.04E-01     2.74E-01     3.21E-01     3.43E-01     3.42E-01     
Br           35           0.00000E+00  0.00000E+00  2.06E-02     6.47E-02     1.22E-01     1.75E-01     2.17E-01     2.45E-01     2.58E-01     
Kr           36           0.00000E+00  0.00000E+00  4.66E-02     1.39E-01     2.46E-01     3.30E-01     3.87E-01     4.16E-01     4.16E-01     
Rb           37           0.00000E+00  0.00000E+00  5.63E-02     1.45E-01     2.63E-01     3.73E-01     4.60E-01     5.10E-01     5.11E-01     
Sr           38           0.00000E+00  0.00000E+00  2.87E-01     5.89E-01     8.28E-01     9.62E-01     1.04E+00     1.08E+00     1.08E+00     
Y            39           0.00000E+00  0.00000E+00  2.80E-01     5.64E-01     8.01E-01     9.40E-01     1.03E+00     1.08E+00     1.08E+00     
Zr           40           0.00000E+00  0.00000E+00  2.73E-01     5.41E-01     7.68E-01     8.94E-01     9.82E-01     1.03E+00     1.03E+00     
Nb           41           0.00000E+00  0.00000E+00  1.79E-02     6.40E-02     1.33E-01     2.12E-01     2.89E-01     3.57E-01     4.13E-01     
Mo           42           0.00000E+00  0.00000E+00  1.87E-01     3.93E-01     5.84E-01     6.90E-01     7.68E-01     8.10E-01     8.11E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           
