[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.84E-02     3.45E-02     5.39E-02     7.61E-02     1.02E-01     1.30E-01     1.61E-01     1.93E-01     2.28E-01     2.58E-01     2.62E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     1.63E-02     1.99E-02     2.34E-02     2.68E-02     3.01E-02     3.44E-02     3.81E-02     3.87E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.87E-02     3.28E-02     5.22E-02     7.85E-02     1.12E-01     1.49E-01     1.90E-01     2.30E-01     2.68E-01     3.01E-01     3.07E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.35E-02     1.66E-02     1.71E-02     
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  2.29E-02     3.88E-02     5.81E-02     8.24E-02     1.13E-01     1.51E-01     1.95E-01     2.42E-01     2.90E-01     3.32E-01     3.39E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.40E-02     1.96E-02     2.53E-02     3.18E-02     3.98E-02     4.92E-02     6.14E-02     7.27E-02     7.46E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  2.07E-02     3.81E-02     5.77E-02     7.85E-02     9.89E-02     1.20E-01     1.44E-01     1.70E-01     2.03E-01     2.31E-01     2.35E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  2.34E-02     4.38E-02     6.66E-02     9.00E-02     1.12E-01     1.34E-01     1.57E-01     1.81E-01     2.15E-01     2.40E-01     2.44E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  2.05E-02     3.89E-02     5.99E-02     8.16E-02     1.02E-01     1.21E-01     1.42E-01     1.62E-01     1.93E-01     2.15E-01     2.18E-01     
Se           34           0.00000E+00  0.00000E+00  1.03E-02     3.19E-02     5.79E-02     8.69E-02     1.16E-01     1.43E-01     1.69E-01     1.95E-01     2.19E-01     2.59E-01     2.84E-01     2.86E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  1.64E-02     3.11E-02     4.92E-02     6.93E-02     8.92E-02     1.10E-01     1.29E-01     1.49E-01     1.77E-01     1.98E-01     2.06E-01     
Kr           36           0.00000E+00  0.00000E+00  1.39E-02     4.26E-02     7.80E-02     1.15E-01     1.52E-01     1.86E-01     2.20E-01     2.52E-01     2.81E-01     3.29E-01     3.59E-01     3.63E-01     
Rb           37           0.00000E+00  0.00000E+00  2.68E-02     6.76E-02     1.25E-01     1.94E-01     2.68E-01     3.39E-01     4.07E-01     4.68E-01     5.22E-01     6.01E-01     6.52E-01     6.58E-01     
Sr           38           0.00000E+00  0.00000E+00  9.01E-02     2.36E-01     3.80E-01     4.90E-01     5.70E-01     6.36E-01     6.89E-01     7.32E-01     7.69E-01     8.36E-01     8.73E-01     8.77E-01     
Y            39           0.00000E+00  0.00000E+00  1.06E-01     2.60E-01     4.18E-01     5.40E-01     6.29E-01     7.05E-01     7.67E-01     8.17E-01     8.59E-01     9.33E-01     9.76E-01     9.81E-01     
Zr           40           0.00000E+00  0.00000E+00  1.07E-01     2.67E-01     4.32E-01     5.56E-01     6.43E-01     7.20E-01     7.82E-01     8.33E-01     8.76E-01     9.46E-01     9.91E-01     9.96E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     2.81E-02     5.70E-02     9.45E-02     1.36E-01     1.81E-01     2.26E-01     2.69E-01     3.10E-01     3.52E-01     3.86E-01     
