[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
In           49           0.00000E+00  0.00000E+00  7.18E-02     1.99E-01     3.33E-01     4.45E-01     5.26E-01     5.83E-01     5.84E-01     
Sn           50           0.00000E+00  0.00000E+00  1.53E-01     3.50E-01     5.23E-01     6.57E-01     7.50E-01     8.15E-01     8.17E-01     
Sb           51           0.00000E+00  0.00000E+00  7.68E-02     1.85E-01     3.01E-01     4.03E-01     4.80E-01     5.37E-01     5.39E-01     
Te           52           0.00000E+00  0.00000E+00  5.27E-02     1.44E-01     2.41E-01     3.25E-01     3.86E-01     4.30E-01     4.31E-01     
I            53           0.00000E+00  0.00000E+00  1.43E-02     4.53E-02     8.51E-02     1.24E-01     1.55E-01     1.79E-01     1.80E-01     
Xe           54           0.00000E+00  0.00000E+00  6.16E-02     1.62E-01     2.69E-01     3.63E-01     4.31E-01     4.80E-01     4.81E-01     
Cs           55           0.00000E+00  0.00000E+00  1.07E-01     2.34E-01     3.74E-01     4.99E-01     5.89E-01     6.53E-01     6.51E-01     
Ba           56           0.00000E+00  0.00000E+00  3.91E-01     7.19E-01     9.57E-01     1.12E+00     1.23E+00     1.31E+00     1.31E+00     
La           57           0.00000E+00  0.00000E+00  4.18E-01     7.56E-01     9.97E-01     1.16E+00     1.27E+00     1.35E+00     1.35E+00     
Ce           58           0.00000E+00  0.00000E+00  4.89E-01     8.48E-01     1.10E+00     1.27E+00     1.38E+00     1.46E+00     1.46E+00     
Pr           59           0.00000E+00  0.00000E+00  3.66E-01     6.68E-01     9.06E-01     1.08E+00     1.20E+00     1.28E+00     1.28E+00     
Nd           60           0.00000E+00  0.00000E+00  4.16E-01     7.55E-01     1.00E+00     1.17E+00     1.28E+00     1.36E+00     1.36E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  3.19E-01     6.00E-01     8.12E-01     9.64E-01     1.07E+00     1.14E+00     1.14E+00     
Eu           63           0.00000E+00  0.00000E+00  7.94E-02     1.90E-01     3.04E-01     4.01E-01     4.75E-01     5.29E-01     5.31E-01     
Gd           64           0.00000E+00  0.00000E+00  2.00E-01     4.02E-01     5.76E-01     7.14E-01     8.13E-01     8.84E-01     8.86E-01     
Tb           65           0.00000E+00  0.00000E+00  1.21E-01     2.71E-01     4.04E-01     5.13E-01     5.95E-01     6.55E-01     6.57E-01     
Dy           66           0.00000E+00  0.00000E+00  2.00E-01     4.14E-01     5.85E-01     7.12E-01     8.01E-01     8.65E-01     8.67E-01     
Ho           67           0.00000E+00  0.00000E+00  1.08E-01     2.52E-01     3.84E-01     4.89E-01     5.64E-01     6.17E-01     6.18E-01     
Er           68           0.00000E+00  0.00000E+00  2.12E-01     4.46E-01     6.36E-01     7.75E-01     8.71E-01     9.37E-01     9.39E-01     
Tm           69           0.00000E+00  0.00000E+00  1.67E-01     3.94E-01     5.74E-01     7.02E-01     7.89E-01     8.51E-01     8.52E-01     
Yb           70           0.00000E+00  0.00000E+00  5.05E-01     7.84E-01     9.87E-01     1.13E+00     1.23E+00     1.30E+00     1.30E+00     
Lu           71           0.00000E+00  0.00000E+00  3.42E-01     5.95E-01     7.77E-01     9.08E-01     9.97E-01     1.06E+00     1.06E+00     
Hf           72           0.00000E+00  0.00000E+00  6.51E-01     9.61E-01     1.16E+00     1.31E+00     1.40E+00     1.47E+00     1.47E+00     
Ta           73           0.00000E+00  0.00000E+00  5.69E-01     8.86E-01     1.09E+00     1.23E+00     1.32E+00     1.39E+00     1.39E+00     
W            74           0.00000E+00  0.00000E+00  5.64E-01     9.43E-01     1.18E+00     1.34E+00     1.44E+00     1.51E+00     1.51E+00     
Re           75           -8.83E-02    -9.10E-02    1.76E-01     4.65E-01     6.94E-01     8.51E-01     9.54E-01     1.03E+00     1.03E+00     
Os           76           0.00000E+00  0.00000E+00  1.34E-01     3.12E-01     4.79E-01     6.06E-01     6.93E-01     7.53E-01     7.54E-01     
Ir           77           0.00000E+00  0.00000E+00  2.42E-02     6.81E-02     1.25E-01     1.80E-01     2.24E-01     2.57E-01     2.58E-01     
Pt           78           0.00000E+00  0.00000E+00  9.70E-02     2.35E-01     3.71E-01     4.85E-01     5.67E-01     6.23E-01     6.24E-01     
Au           79           0.00000E+00  0.00000E+00  7.90E-02     2.10E-01     3.44E-01     4.55E-01     5.34E-01     5.89E-01     5.90E-01     
Hg           80           0.00000E+00  0.00000E+00  4.44E-01     8.13E-01     1.07E+00     1.25E+00     1.37E+00     1.44E+00     1.44E+00     
Tl           81           0.00000E+00  0.00000E+00  5.64E-01     9.81E-01     1.25E+00     1.43E+00     1.55E+00     1.62E+00     1.62E+00     
Pb           82           0.00000E+00  0.00000E+00  1.36E+00     1.84E+00     2.11E+00     2.28E+00     2.39E+00     2.45E+00     2.46E+00     
Bi           83           0.00000E+00  0.00000E+00  8.96E-01     1.32E+00     1.58E+00     1.76E+00     1.87E+00     1.94E+00     1.95E+00     
