[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
C            6            -1.96E-01    -1.36E-01    1.19E-02     1.71E-01     3.11E-01     4.28E-01     5.22E-01     6.01E-01     6.74E-01     7.22E-01     
N            7            3.67E-01     3.74E-01     3.74E-01     3.73E-01     3.72E-01     3.71E-01     3.69E-01     3.68E-01     3.67E-01     3.66E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  0.00000E+00  2.52E-02     8.44E-02     1.63E-01     2.47E-01     3.29E-01     4.08E-01     4.88E-01     5.46E-01     
Ne           10           0.00000E+00  0.00000E+00  1.32E-02     3.61E-02     6.70E-02     1.03E-01     1.40E-01     1.79E-01     2.21E-01     2.54E-01     
Na           11           9.10E-02     9.52E-02     9.95E-02     1.07E-01     1.16E-01     1.28E-01     1.40E-01     1.53E-01     1.68E-01     1.81E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.34E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.22E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.34E-02     1.72E-02     2.08E-02     2.43E-02     2.66E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.35E-02     1.51E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.78E-02     2.41E-02     3.05E-02     3.72E-02     4.46E-02     5.03E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  1.02E-02     1.89E-02     2.67E-02     3.35E-02     3.96E-02     4.58E-02     5.26E-02     5.87E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  1.30E-02     2.45E-02     3.52E-02     4.47E-02     5.27E-02     6.02E-02     6.75E-02     7.28E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.33E-02     1.93E-02     2.49E-02     3.03E-02     3.55E-02     3.90E-02     
Ga           31           0.00000E+00  0.00000E+00  1.66E-02     3.93E-02     6.73E-02     9.66E-02     1.23E-01     1.48E-01     1.71E-01     1.86E-01     
Ge           32           0.00000E+00  0.00000E+00  1.65E-02     3.89E-02     6.66E-02     9.59E-02     1.23E-01     1.48E-01     1.72E-01     1.87E-01     
As           33           0.00000E+00  0.00000E+00  1.11E-02     2.64E-02     4.58E-02     6.67E-02     8.65E-02     1.05E-01     1.23E-01     1.34E-01     
Se           34           0.00000E+00  0.00000E+00  2.55E-02     5.80E-02     9.59E-02     1.35E-01     1.70E-01     2.01E-01     2.30E-01     2.49E-01     
Br           35           0.00000E+00  0.00000E+00  1.42E-02     3.58E-02     6.38E-02     9.36E-02     1.22E-01     1.49E-01     1.74E-01     1.92E-01     
Kr           36           0.00000E+00  0.00000E+00  3.37E-02     8.01E-02     1.34E-01     1.89E-01     2.36E-01     2.79E-01     3.17E-01     3.42E-01     
Rb           37           0.00000E+00  1.33E-02     7.06E-02     1.27E-01     1.79E-01     2.25E-01     2.65E-01     3.02E-01     3.37E-01     3.62E-01     
Sr           38           0.00000E+00  1.60E-02     1.90E-01     4.35E-01     6.46E-01     8.06E-01     9.21E-01     1.01E+00     1.08E+00     1.12E+00     
