[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
C            6            -2.00E-01    -2.50E-01    -1.95E-01    1.13E-01     4.19E-01     6.55E-01     8.35E-01     9.78E-01     1.10E+00     1.21E+00     1.31E+00     1.40E+00     1.48E+00     
N            7            3.71E-01     4.40E-01     4.40E-01     4.40E-01     4.40E-01     4.40E-01     4.40E-01     4.40E-01     4.40E-01     4.39E-01     4.39E-01     4.39E-01     4.40E-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.85E-02     2.96E-02     4.09E-02     5.26E-02     6.57E-02     8.10E-02     9.61E-02     
F            9            0.00000E+00  -2.55E-02    -2.52E-02    2.15E-01     4.98E-01     6.97E-01     8.30E-01     9.21E-01     9.89E-01     1.04E+00     1.09E+00     1.14E+00     1.19E+00     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  1.29E-02     5.13E-02     9.80E-02     1.45E-01     1.89E-01     2.33E-01     2.79E-01     3.32E-01     3.94E-01     4.56E-01     
Na           11           6.06E-02     1.61E-01     1.61E-01     1.62E-01     1.69E-01     1.80E-01     1.93E-01     2.06E-01     2.20E-01     2.35E-01     2.55E-01     2.83E-01     3.14E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.68E-02     2.72E-02     4.18E-02     6.30E-02     9.41E-02     1.31E-01     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     1.79E-02     2.65E-02     3.81E-02     5.27E-02     7.07E-02     9.32E-02     1.17E-01     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.48E-02     1.89E-02     2.32E-02     
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     2.38E-02     3.53E-02     4.86E-02     6.41E-02     8.31E-02     1.07E-01     1.33E-01     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.13E-02     1.47E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.54E-02     2.51E-02     3.81E-02     5.53E-02     7.75E-02     1.07E-01     1.37E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.00E-02     3.82E-02     6.31E-02     9.45E-02     1.32E-01     1.74E-01     2.13E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     1.93E-02     
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     2.60E-02     4.96E-02     8.41E-02     1.30E-01     1.89E-01     2.62E-01     3.35E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.29E-02     1.94E-02     2.88E-02     4.23E-02     6.31E-02     8.88E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     2.43E-02     3.81E-02     5.55E-02     8.00E-02     1.13E-01     1.56E-01     2.16E-01     2.84E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.50E-02     3.18E-02     4.87E-02     6.80E-02     9.38E-02     1.28E-01     1.71E-01     2.32E-01     3.01E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     3.04E-02     4.67E-02     6.44E-02     8.68E-02     1.16E-01     1.52E-01     2.04E-01     2.64E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.14E-02     4.66E-02     7.15E-02     9.75E-02     1.29E-01     1.67E-01     2.12E-01     2.74E-01     3.44E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     2.39E-02     3.83E-02     5.40E-02     7.30E-02     9.63E-02     1.24E-01     1.62E-01     2.06E-01     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.26E-02     7.14E-02     1.12E-01     1.53E-01     1.98E-01     2.48E-01     3.03E-01     3.69E-01     4.34E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.98E-02     1.30E-01     2.22E-01     3.13E-01     4.04E-01     4.97E-01     5.89E-01     6.87E-01     7.76E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  3.44E-02     1.67E-01     3.02E-01     4.03E-01     4.80E-01     5.45E-01     6.03E-01     6.55E-01     7.09E-01     7.49E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  3.59E-02     1.85E-01     3.48E-01     4.75E-01     5.72E-01     6.51E-01     7.21E-01     7.83E-01     8.44E-01     8.85E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  3.94E-02     1.89E-01     3.53E-01     4.86E-01     5.90E-01     6.75E-01     7.50E-01     8.18E-01     8.83E-01     9.26E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     2.34E-02     3.89E-02     5.83E-02     8.09E-02     1.06E-01     1.34E-01     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  2.67E-02     1.29E-01     2.45E-01     3.51E-01     4.44E-01     5.28E-01     6.07E-01     6.80E-01     7.52E-01     7.98E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  2.12E-02     1.01E-01     1.90E-01     2.68E-01     3.42E-01     4.15E-01     4.91E-01     5.68E-01     6.47E-01     6.99E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.95E-02     9.70E-02     1.41E-01     1.84E-01     2.29E-01     2.79E-01     3.35E-01     3.94E-01     4.35E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  3.04E-02     1.40E-01     2.56E-01     3.49E-01     4.27E-01     5.00E-01     5.75E-01     6.55E-01     7.40E-01     7.96E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.71E-02     9.40E-02     1.36E-01     1.75E-01     2.13E-01     2.55E-01     3.03E-01     3.59E-01     3.98E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  3.91E-02     1.80E-01     3.26E-01     4.37E-01     5.25E-01     6.01E-01     6.72E-01     7.48E-01     8.30E-01     8.87E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  2.55E-02     1.23E-01     2.32E-01     3.19E-01     3.88E-01     4.49E-01     5.06E-01     5.68E-01     6.38E-01     6.90E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  4.72E-02     2.07E-01     3.76E-01     5.09E-01     6.10E-01     6.96E-01     7.72E-01     8.48E-01     9.25E-01     9.80E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  1.86E-02     9.57E-02     2.01E-01     3.03E-01     3.90E-01     4.67E-01     5.38E-01     6.07E-01     6.76E-01     7.25E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  1.61E-02     7.31E-02     1.45E-01     2.14E-01     2.74E-01     3.30E-01     3.83E-01     4.38E-01     4.94E-01     5.34E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.37E-02     4.85E-02     7.40E-02     9.83E-02     1.23E-01     1.48E-01     1.77E-01     2.10E-01     2.35E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  1.81E-02     8.40E-02     1.65E-01     2.41E-01     3.08E-01     3.71E-01     4.32E-01     4.99E-01     5.71E-01     6.24E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  2.32E-02     1.22E-01     2.46E-01     3.54E-01     4.42E-01     5.16E-01     5.84E-01     6.53E-01     7.25E-01     7.78E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  1.45E-01     4.56E-01     6.99E-01     8.66E-01     9.82E-01     1.07E+00     1.14E+00     1.21E+00     1.28E+00     1.32E+00     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  1.51E-01     4.65E-01     7.10E-01     8.80E-01     9.98E-01     1.09E+00     1.16E+00     1.23E+00     1.29E+00     1.33E+00     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  1.81E-01     5.21E-01     7.73E-01     9.45E-01     1.06E+00     1.15E+00     1.23E+00     1.29E+00     1.35E+00     1.39E+00     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  1.16E-01     3.98E-01     6.36E-01     8.03E-01     9.18E-01     1.00E+00     1.07E+00     1.13E+00     1.18E+00     1.22E+00     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  1.51E-01     4.57E-01     6.94E-01     8.55E-01     9.68E-01     1.06E+00     1.13E+00     1.21E+00     1.28E+00     1.32E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  9.19E-02     3.11E-01     5.18E-01     6.77E-01     7.94E-01     8.89E-01     9.73E-01     1.06E+00     1.14E+00     1.19E+00     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  1.91E-02     8.09E-02     1.63E-01     2.44E-01     3.13E-01     3.74E-01     4.33E-01     4.93E-01     5.56E-01     6.02E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  4.49E-02     1.84E-01     3.45E-01     4.87E-01     5.96E-01     6.86E-01     7.67E-01     8.47E-01     9.27E-01     9.83E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  2.72E-02     1.12E-01     2.23E-01     3.28E-01     4.15E-01     4.89E-01     5.57E-01     6.26E-01     6.98E-01     7.49E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  4.67E-02     1.71E-01     3.17E-01     4.51E-01     5.57E-01     6.45E-01     7.22E-01     7.98E-01     8.76E-01     9.33E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  2.61E-02     1.01E-01     2.01E-01     3.02E-01     3.87E-01     4.59E-01     5.24E-01     5.90E-01     6.60E-01     7.02E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  5.88E-02     2.09E-01     3.70E-01     5.15E-01     6.30E-01     7.24E-01     8.05E-01     8.85E-01     9.66E-01     1.02E+00     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  3.91E-02     1.38E-01     2.52E-01     3.63E-01     4.58E-01     5.39E-01     6.10E-01     6.82E-01     7.57E-01     8.15E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  1.21E-01     3.81E-01     5.95E-01     7.64E-01     8.94E-01     1.00E+00     1.09E+00     1.18E+00     1.26E+00     1.33E+00     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  7.19E-02     2.50E-01     4.12E-01     5.47E-01     6.57E-01     7.51E-01     8.34E-01     9.14E-01     9.94E-01     1.05E+00     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  1.61E-01     4.83E-01     7.26E-01     9.01E-01     1.03E+00     1.14E+00     1.24E+00     1.33E+00     1.41E+00     1.48E+00     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  1.35E-01     4.20E-01     6.45E-01     8.11E-01     9.35E-01     1.04E+00     1.13E+00     1.22E+00     1.31E+00     1.37E+00     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  1.71E-01     4.95E-01     7.32E-01     8.99E-01     1.02E+00     1.12E+00     1.21E+00     1.30E+00     1.39E+00     1.45E+00     
Re           75           -2.07E-02    -2.88E-02    -2.88E-02    2.99E-02     2.03E-01     3.69E-01     5.02E-01     6.08E-01     6.98E-01     7.80E-01     8.64E-01     9.49E-01     1.01E+00     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  4.13E-02     1.62E-01     2.93E-01     4.04E-01     4.95E-01     5.74E-01     6.48E-01     7.24E-01     8.04E-01     8.62E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.62E-02     5.61E-02     8.70E-02     1.17E-01     1.48E-01     1.79E-01     2.15E-01     2.56E-01     2.90E-01     
