[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
Sn           50           0.00000E+00  5.23E-01     9.58E-01     1.21E+00     1.37E+00     1.47E+00     1.55E+00     1.60E+00     1.63E+00     
Sb           51           0.00000E+00  2.68E-01     6.05E-01     8.33E-01     9.90E-01     1.10E+00     1.17E+00     1.23E+00     1.26E+00     
Te           52           0.00000E+00  2.34E-01     5.42E-01     7.48E-01     8.87E-01     9.80E-01     1.05E+00     1.09E+00     1.12E+00     
I            53           0.00000E+00  8.48E-02     2.45E-01     3.83E-01     4.88E-01     5.63E-01     6.17E-01     6.57E-01     6.79E-01     
Xe           54           0.00000E+00  2.49E-01     5.69E-01     7.84E-01     9.30E-01     1.03E+00     1.10E+00     1.15E+00     1.18E+00     
Cs           55           0.00000E+00  3.28E-01     6.89E-01     9.38E-01     1.11E+00     1.22E+00     1.30E+00     1.36E+00     1.39E+00     
Ba           56           0.00000E+00  8.90E-01     1.37E+00     1.63E+00     1.80E+00     1.90E+00     1.98E+00     2.03E+00     2.06E+00     
La           57           0.00000E+00  9.01E-01     1.38E+00     1.64E+00     1.80E+00     1.91E+00     1.99E+00     2.04E+00     2.07E+00     
Ce           58           0.00000E+00  9.99E-01     1.48E+00     1.74E+00     1.91E+00     2.01E+00     2.09E+00     2.14E+00     2.17E+00     
Pr           59           0.00000E+00  8.12E-01     1.28E+00     1.54E+00     1.71E+00     1.82E+00     1.90E+00     1.96E+00     1.99E+00     
Nd           60           0.00000E+00  9.14E-01     1.38E+00     1.64E+00     1.80E+00     1.91E+00     1.98E+00     2.04E+00     2.06E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  7.08E-01     1.15E+00     1.40E+00     1.56E+00     1.66E+00     1.74E+00     1.79E+00     1.82E+00     
Eu           63           0.00000E+00  2.51E-01     5.45E-01     7.47E-01     8.90E-01     9.88E-01     1.06E+00     1.11E+00     1.14E+00     
Gd           64           0.00000E+00  4.58E-01     8.44E-01     1.08E+00     1.25E+00     1.36E+00     1.44E+00     1.50E+00     1.53E+00     
Tb           65           0.00000E+00  3.18E-01     6.48E-01     8.60E-01     1.01E+00     1.11E+00     1.19E+00     1.24E+00     1.28E+00     
Dy           66           0.00000E+00  4.71E-01     8.72E-01     1.10E+00     1.25E+00     1.35E+00     1.42E+00     1.48E+00     1.51E+00     
Ho           67           0.00000E+00  3.00E-01     6.37E-01     8.47E-01     9.88E-01     1.08E+00     1.15E+00     1.20E+00     1.22E+00     
Er           68           0.00000E+00  5.13E-01     9.31E-01     1.17E+00     1.33E+00     1.43E+00     1.50E+00     1.55E+00     1.58E+00     
Tm           69           0.00000E+00  3.86E-01     7.56E-01     9.75E-01     1.12E+00     1.21E+00     1.28E+00     1.33E+00     1.35E+00     
Yb           70           0.00000E+00  8.09E-01     1.27E+00     1.53E+00     1.69E+00     1.80E+00     1.87E+00     1.93E+00     1.96E+00     
Lu           71           0.00000E+00  7.03E-01     1.15E+00     1.39E+00     1.55E+00     1.65E+00     1.72E+00     1.77E+00     1.80E+00     
Hf           72           0.00000E+00  9.25E-01     1.39E+00     1.64E+00     1.81E+00     1.92E+00     1.99E+00     2.04E+00     2.08E+00     
Ta           73           0.00000E+00  8.72E-01     1.33E+00     1.58E+00     1.74E+00     1.85E+00     1.92E+00     1.97E+00     2.00E+00     
W            74           0.00000E+00  9.72E-01     1.45E+00     1.71E+00     1.87E+00     1.97E+00     2.05E+00     2.10E+00     2.12E+00     
Re           75           -8.74E-02    4.83E-01     9.27E-01     1.19E+00     1.36E+00     1.47E+00     1.55E+00     1.60E+00     1.63E+00     
Os           76           0.00000E+00  4.38E-01     8.11E-01     1.04E+00     1.20E+00     1.31E+00     1.39E+00     1.44E+00     1.47E+00     
Ir           77           0.00000E+00  8.91E-02     2.38E-01     3.71E-01     4.80E-01     5.60E-01     6.19E-01     6.63E-01     6.89E-01     
Pt           78           0.00000E+00  2.72E-01     5.88E-01     7.93E-01     9.36E-01     1.03E+00     1.10E+00     1.16E+00     1.18E+00     
Au           79           0.00000E+00  2.52E-01     5.61E-01     7.66E-01     9.04E-01     9.97E-01     1.06E+00     1.11E+00     1.14E+00     
Hg           80           0.00000E+00  9.69E-01     1.45E+00     1.70E+00     1.87E+00     1.97E+00     2.05E+00     2.10E+00     2.13E+00     
Tl           81           0.00000E+00  1.10E+00     1.60E+00     1.86E+00     2.02E+00     2.13E+00     2.20E+00     2.25E+00     2.27E+00     
Pb           82           0.00000E+00  1.11E+00     1.79E+00     2.10E+00     2.31E+00     2.47E+00     2.60E+00     2.69E+00     2.74E+00     
Bi           83           0.00000E+00  2.37E-01     7.92E-01     1.14E+00     1.39E+00     1.60E+00     1.77E+00     1.90E+00     1.98E+00     
