[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Nb           41           0.00000E+00  0.00000E+00  1.12E-02     4.75E-02     1.18E-01     2.03E-01     2.90E-01     3.72E-01     4.47E-01     5.13E-01     5.71E-01     
Mo           42           0.00000E+00  0.00000E+00  8.24E-02     2.83E-01     4.79E-01     6.33E-01     7.51E-01     8.45E-01     9.21E-01     9.85E-01     9.98E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  5.06E-02     2.12E-01     3.94E-01     5.44E-01     6.62E-01     7.56E-01     8.33E-01     8.96E-01     9.12E-01     
Rh           45           0.00000E+00  0.00000E+00  2.31E-02     1.07E-01     2.16E-01     3.19E-01     4.07E-01     4.81E-01     5.44E-01     5.98E-01     6.09E-01     
Pd           46           0.00000E+00  0.00000E+00  7.91E-02     2.84E-01     4.91E-01     6.53E-01     7.76E-01     8.73E-01     9.51E-01     1.01E+00     1.03E+00     
Ag           47           0.00000E+00  0.00000E+00  2.59E-02     1.08E-01     2.16E-01     3.17E-01     4.04E-01     4.78E-01     5.40E-01     5.94E-01     6.06E-01     
Cd           48           0.00000E+00  0.00000E+00  1.20E-01     3.61E-01     5.82E-01     7.49E-01     8.74E-01     9.73E-01     1.05E+00     1.12E+00     1.13E+00     
In           49           0.00000E+00  0.00000E+00  8.02E-02     2.64E-01     4.50E-01     5.99E-01     7.15E-01     8.07E-01     8.83E-01     9.46E-01     9.59E-01     
Sn           50           0.00000E+00  0.00000E+00  1.55E-01     4.26E-01     6.55E-01     8.23E-01     9.48E-01     1.04E+00     1.12E+00     1.19E+00     1.20E+00     
Sb           51           0.00000E+00  0.00000E+00  8.03E-02     2.27E-01     3.76E-01     5.01E-01     6.02E-01     6.85E-01     7.55E-01     8.15E-01     8.28E-01     
Te           52           0.00000E+00  0.00000E+00  4.86E-02     1.81E-01     3.29E-01     4.55E-01     5.54E-01     6.33E-01     6.99E-01     7.53E-01     7.64E-01     
I            53           0.00000E+00  0.00000E+00  1.31E-02     5.74E-02     1.20E-01     1.83E-01     2.41E-01     2.91E-01     3.36E-01     3.75E-01     3.83E-01     
Xe           54           0.00000E+00  0.00000E+00  5.42E-02     1.92E-01     3.45E-01     4.73E-01     5.75E-01     6.57E-01     7.24E-01     7.81E-01     7.92E-01     
Cs           55           0.00000E+00  0.00000E+00  1.13E-01     2.72E-01     4.19E-01     5.43E-01     6.48E-01     7.37E-01     8.14E-01     8.81E-01     8.94E-01     
Ba           56           0.00000E+00  0.00000E+00  2.30E-01     6.48E-01     9.48E-01     1.15E+00     1.29E+00     1.39E+00     1.47E+00     1.53E+00     1.54E+00     
La           57           0.00000E+00  0.00000E+00  2.06E-01     6.17E-01     9.17E-01     1.12E+00     1.25E+00     1.35E+00     1.43E+00     1.49E+00     1.50E+00     
Ce           58           0.00000E+00  0.00000E+00  1.87E-01     6.21E-01     9.36E-01     1.14E+00     1.28E+00     1.38E+00     1.45E+00     1.51E+00     1.52E+00     
Pr           59           0.00000E+00  0.00000E+00  1.33E-01     4.43E-01     7.06E-01     8.94E-01     1.03E+00     1.13E+00     1.21E+00     1.27E+00     1.28E+00     
Nd           60           0.00000E+00  0.00000E+00  1.21E-01     4.90E-01     7.85E-01     9.83E-01     1.12E+00     1.22E+00     1.29E+00     1.35E+00     1.36E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  7.21E-02     3.29E-01     5.68E-01     7.44E-01     8.69E-01     9.59E-01     1.03E+00     1.08E+00     1.09E+00     
Eu           63           0.00000E+00  0.00000E+00  1.46E-02     8.19E-02     1.71E-01     2.58E-01     3.32E-01     3.93E-01     4.42E-01     4.81E-01     4.90E-01     
Gd           64           0.00000E+00  0.00000E+00  4.08E-02     1.87E-01     3.63E-01     5.01E-01     6.03E-01     6.79E-01     7.38E-01     7.85E-01     7.95E-01     
Tb           65           0.00000E+00  0.00000E+00  2.14E-02     1.22E-01     2.52E-01     3.67E-01     4.55E-01     5.22E-01     5.74E-01     6.16E-01     6.24E-01     
Dy           66           0.00000E+00  0.00000E+00  3.71E-02     2.05E-01     3.91E-01     5.37E-01     6.43E-01     7.21E-01     7.80E-01     8.26E-01     8.35E-01     
Ho           67           0.00000E+00  0.00000E+00  1.57E-02     1.02E-01     2.19E-01     3.25E-01     4.08E-01     4.73E-01     5.24E-01     5.64E-01     5.72E-01     
